Mldg #,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,Description,UPC
100AR,0.5,0.562,0.188,2.67,3.79,6.06,Wood,Raw #100 Ash,
FC-100AR,0.5,0.562,0.188,,,23.04,Wood,FC Raw #100 Ash,
100AF,0.5,0.562,0.188,5.93,8.42,11.79,Wood,Oil & Wax #100 Ash,
FC-100AF,0.5,0.562,0.188,,,23.73,Wood,FC Oil & Wax #100 Ash,
100AL,0.5,0.562,0.188,6.47,9.19,12.87,Wood,Clear Lacquer #100 Ash,
FC-100AL,0.5,0.562,0.188,,,23.73,Wood,FC Clear Lacquer #100 Ash,
100AW,0.5,0.562,0.188,8.37,11.89,16.65,Wood,WhiteWash #100 Ash,
FC-100AW,0.5,0.562,0.188,,,24.42,Wood,FC WhiteWash #100 Ash,
100AT,0.5,0.562,0.188,8.37,11.89,16.65,Wood,White #100 Ash,
FC-100AT,0.5,0.562,0.188,,,25.79,Wood,FC White #100 Ash,
100AK,0.5,0.562,0.188,8.37,11.89,16.65,Wood,Satin Black #100 Ash,
FC-100AK,0.5,0.562,0.188,,,25.79,Wood,FC Satin Black #100 Ash,
100AA,0.5,0.562,0.188,8.37,11.89,16.65,Wood,Warm White #100 Ash,
FC-100AA,0.5,0.562,0.188,,,25.79,Wood,FC Warm White #100 Ash,
100AC,0.5,0.562,0.188,8.37,11.89,16.65,Wood,Charcoal #100 Ash,
FC-100AC,0.5,0.562,0.188,,,25.79,Wood,FC Charcoal #100 Ash,
100AI,0.5,0.562,0.188,8.37,11.89,16.65,Wood,Rising White #100 Ash,
FC-100AI,0.5,0.562,0.188,,,25.79,Wood,FC Rising White #100 Ash,
100A1,0.5,0.562,0.188,8.37,11.89,16.65,Wood,Light Grey #100 Ash,
FC-100A1,0.5,0.562,0.188,,,25.79,Wood,FC Light Grey #100 Ash,
100A2,0.5,0.562,0.188,8.37,11.89,16.65,Wood,Medium Grey #100 Ash,
FC-100A2,0.5,0.562,0.188,,,25.79,Wood,FC Medium Grey #100 Ash,
100A3,0.5,0.562,0.188,8.37,11.89,16.65,Wood,Dark Grey #100 Ash,
FC-100A3,0.5,0.562,0.188,,,25.79,Wood,FC Dark Grey #100 Ash,
100CR,0.5,0.562,0.188,2.9,4.23,6.77,Wood,Raw #100 Cherry,
FC-100CR,0.5,0.562,0.188,,,23.48,Wood,FC Raw #100 Cherry,
100CF,0.5,0.562,0.188,6.43,9.39,13.15,Wood,Oil & Wax #100 Cherry,
FC-100CF,0.5,0.562,0.188,,,24.17,Wood,FC Oil & Wax #100 Cherry,
100CL,0.5,0.562,0.188,8.33,12.16,17.02,Wood,Clear Lacquer #100 Cherry,
FC-100CL,0.5,0.562,0.188,,,25.54,Wood,FC Clear Lacquer #100 Cherry,
100CG,0.5,0.562,0.188,8.33,12.16,17.02,Wood,Aged #100 Cherry,
FC-100CG,0.5,0.562,0.188,,,25.54,Wood,FC Aged #100 Cherry,
