Item,Description,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,UPC
100AR,Raw #100 Ash,0.5,0.562,0.188,2.67,3.79,6.06,Wood,
FC-100AR,FC Raw #100 Ash,0.5,0.562,0.188,,,23.04,Wood,
100AF,Oil & Wax #100 Ash,0.5,0.562,0.188,5.93,8.42,11.79,Wood,
FC-100AF,FC Oil & Wax #100 Ash,0.5,0.562,0.188,,,23.73,Wood,
100AL,Clear Lacquer #100 Ash,0.5,0.562,0.188,6.47,9.19,12.87,Wood,
FC-100AL,FC Clear Lacquer #100 Ash,0.5,0.562,0.188,,,23.73,Wood,
100AW,WhiteWash #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100AW,FC WhiteWash #100 Ash,0.5,0.562,0.188,,,24.42,Wood,
100AT,White #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100AT,FC White #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100AK,Satin Black #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100AK,FC Satin Black #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100AA,Warm White #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100AA,FC Warm White #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100AC,Charcoal #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100AC,FC Charcoal #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100AI,Rising White #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100AI,FC Rising White #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100A1,Light Grey #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100A1,FC Light Grey #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100A2,Medium Grey #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100A2,FC Medium Grey #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100A3,Dark Grey #100 Ash,0.5,0.562,0.188,8.37,11.89,16.65,Wood,
FC-100A3,FC Dark Grey #100 Ash,0.5,0.562,0.188,,,25.79,Wood,
100CR,Raw #100 Cherry,0.5,0.562,0.188,2.9,4.23,6.77,Wood,
FC-100CR,FC Raw #100 Cherry,0.5,0.562,0.188,,,23.48,Wood,
100CF,Oil & Wax #100 Cherry,0.5,0.562,0.188,6.43,9.39,13.15,Wood,
FC-100CF,FC Oil & Wax #100 Cherry,0.5,0.562,0.188,,,24.17,Wood,
100CL,Clear Lacquer #100 Cherry,0.5,0.562,0.188,8.33,12.16,17.02,Wood,
FC-100CL,FC Clear Lacquer #100 Cherry,0.5,0.562,0.188,,,25.54,Wood,
100CG,Aged #100 Cherry,0.5,0.562,0.188,8.33,12.16,17.02,Wood,
FC-100CG,FC Aged #100 Cherry,0.5,0.562,0.188,,,25.54,Wood,
100CQ,Antique #100 Cherry,0.5,0.562,0.188,8.33,12.16,17.02,Wood,
FC-100CQ,FC Antique #100 Cherry,0.5,0.562,0.188,,,25.54,Wood,
100CD,Black Cherry #100 Cherry,0.5,0.562,0.188,8.33,12.16,17.02,Wood,
FC-100CD,FC Black Cherry #100 Cherry,0.5,0.562,0.188,,,26.23,Wood,
100MR,Raw #100 Maple,0.5,0.562,0.188,3.19,4.4,7.04,Wood,
FC-100MR,FC Raw #100 Maple,0.5,0.562,0.188,,,23.65,Wood,
100MF,Oil & Wax #100 Maple,0.5,0.562,0.188,6.45,8.9,12.46,Wood,
FC-100MF,FC Oil & Wax #100 Maple,0.5,0.562,0.188,,,24.34,Wood,
100ML,Clear Lacquer #100 Maple,0.5,0.562,0.188,6.72,9.27,12.98,Wood,
FC-100ML,FC Clear Lacquer #100 Maple,0.5,0.562,0.188,,,24.34,Wood,
100MW,WhiteWash #100 Maple,0.5,0.562,0.188,7.78,10.74,15.04,Wood,
FC-100MW,FC WhiteWash #100 Maple,0.5,0.562,0.188,,,25.03,Wood,
100MT,White #100 Maple,0.5,0.562,0.188,6.99,9.65,13.51,Wood,
FC-100MT,FC White #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100MK,Satin Black #100 Maple,0.5,0.562,0.188,6.99,9.65,13.51,Wood,
FC-100MK,FC Satin Black #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100MA,Warm White #100 Maple,0.5,0.562,0.188,6.99,9.65,13.51,Wood,
FC-100MA,FC Warm White #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100MI,Rising White #100 Maple,0.5,0.562,0.188,6.99,9.65,13.51,Wood,
FC-100MI,FC Rising White #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100M1,Light Grey #100 Maple,0.5,0.562,0.188,6.99,9.65,13.51,Wood,
FC-100M1,FC Light Grey #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100M2,Medium Grey #100 Maple,0.5,0.562,0.188,6.99,9.65,13.51,Wood,
FC-100M2,FC Medium Grey #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100M3,Dark Grey #100 Maple,0.5,0.562,0.188,6.99,9.65,13.51,Wood,
FC-100M3,FC Dark Grey #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100M9,Wheat #100 Maple,0.5,0.562,0.188,7.78,10.74,15.04,Wood,
FC-100M9,FC Wheat #100 Maple,0.5,0.562,0.188,,,25.71,Wood,
100OR,Raw #100 Oak,0.5,0.562,0.188,2.44,3.37,5.39,Wood,
FC-100OR,FC Raw #100 Oak,0.5,0.562,0.188,,,22.62,Wood,
100OF,Oil & Wax #100 Oak,0.5,0.562,0.188,5.7,7.87,11.02,Wood,
FC-100OF,FC Oil & Wax #100 Oak,0.5,0.562,0.188,,,23.31,Wood,
100OL,Clear Lacquer #100 Oak,0.5,0.562,0.188,5.97,8.24,11.54,Wood,
FC-100OL,FC Clear Lacquer #100 Oak,0.5,0.562,0.188,,,23.31,Wood,
100WR,Raw #100 Walnut,0.5,0.562,0.188,5.3,7.74,12.38,Wood,
FC-100WR,FC Raw #100 Walnut,0.5,0.562,0.188,,,26.99,Wood,
100WF,Oil & Wax #100 Walnut,0.5,0.562,0.188,9.89,14.44,20.22,Wood,
FC-100WF,FC Oil & Wax #100 Walnut,0.5,0.562,0.188,,,27.68,Wood,
100WP,Padauk #100 Walnut,0.5,0.562,0.188,10.73,15.67,21.94,Wood,
FC-100WP,FC Padauk #100 Walnut,0.5,0.562,0.188,,,28.37,Wood,
100WB,Special Dark #100 Walnut,0.5,0.562,0.188,10.73,15.67,21.94,Wood,
FC-100WB,FC Special Dark #100 Walnut,0.5,0.562,0.188,,,28.37,Wood,
100WE,Ebony #100 Walnut,0.5,0.562,0.188,9.89,14.44,20.22,Wood,
FC-100WE,FC Ebony #100 Walnut,0.5,0.562,0.188,,,28.37,Wood,
