CODE,description,rabbet,width,cost,group
1SBAR,Raw - Stretcher Bar (65M/BOX),32,32,8.1,Extender
2SBAR,Raw - Stretcher Bar (53M/BOX),38,32,9.65,Extender
3SBAR,Raw - Stretcher Bar (47M/BOX),28,67,14.8,Extender
4SBAR,Raw - Stretcher Bar (47M/BOX),33,67,17.85,Extender
5SBAR,Raw - Stretcher Bar (53M/BOX),30,40,9.8,Extender
BB4212,Brace Bar Square Dressed (50M/Box),12,42,4.9,Extender
BB4219,Brace Bar Square Dressed,19,42,6.4,Extender
BB4710,Raw  - Brace Bar (120M/BOX),10,47,6,Extender
BB6812,Brace Bar Square Dressed (50M/Box),12,68,7.45,Extender
BB6819,Brace Bar Square Dressed,19,68,10.95,Extender
BLSBAR,Raw  - Stretcher Bar (44M/BOX),28,62,14.8,Extender
BMLSBAR,Stretcher Bar - Raw (58M/Box),19,63,11,Extender
BMSBAR,Raw - Stretcher Bar (53M/BOX),38,32,9.65,Extender
BSBAR,Raw  - Stretcher Bar (53M/BOX),32,32,8.15,Extender
BXLSBAR,Raw  - Stretcher Bar (38M/BOX),33,67,17.85,Extender
LSBAR,Raw  - Stretcher Bar (105M/BOX),18,40,6.5,Extender
SSBAR,Raw  - Stretcher Bar (106M/BOX),18,30,6.15,Extender
XLSBAR,Raw  - Stretcher Bar (50M/BOX),21,64,11,Extender
A059B,Black - Chapel (150M/BOX),15,13,8.05,Wood
A073BE,Brown/Gold - Belconnen (175M/BOX),15,25,10.55,Wood
A100301,DISC - Charcoal - Nocturne (109M/BOX),22,45,15.7,Wood
A100302,DISC - Lava - Nocturne (109M/BOX),22,45,15.7,Wood
A100303,DISC - Terra - Nocturne (109M/BOX),22,45,15.7,Wood
A100304,DISC - Sand - Nocturne (109M/BOX),22,45,15.7,Wood
A100401,DISC Charcoal - Nocturne (87M/BOX),20,28,9.2,Wood
A100402,DISC Lava - Nocturne (87M/BOX),20,28,7.15,Wood
A100403,DISC Terra - Nocturne (87M/BOX),20,28,7.15,Wood
A100404,DISC - Sand - Nocturne (87M/BOX),20,28,9.2,Wood
A100501,DISC White - Provincial (98/BOX),22,45,8.95,Wood
A100601,DISC White - Provincial (109/BOX),20,28,5.45,Wood
A100801,DISC Gold - Lucy (320M/BOX),18,12,6.55,Wood
A100802,DISC - Silver - Lucy (320M/BOX),18,12,8.45,Wood
A100803,DISC Black - Lucy (320M/BOX),18,12,6.55,Wood
A100901,Gold - Lotti (250M/BOX),20,17,11.95,Wood
A100902,Silver - Lotti (250M/BOX),20,17,11.95,Wood
A100903,Black/Gold - Lotti (250M/BOX),20,17,11.95,Wood
A101001,Gold - Lyric (200M/BOX),20,20,13.35,Wood
A101002,Silver - Lyric (200M/BOX),20,20,13.35,Wood
A101003,Black/Gold - Lyric (200M/BOX),20,20,13.35,Wood
A101101,Gold - London (230M/BOX),17,17,12.7,Wood
A101102,Silver - London (230M/BOX),17,17,12.7,Wood
A101103,Black - London (230M/BOX),17,17,12.7,Wood
A101104,White - London (230M/BOX),17,17,12.7,Wood
A101201,Grey - Grove (92M/BOX),22,40,15.4,Wood
A101202,Camel - Grove (92M/BOX),22,40,15.4,Wood
A101203,White - Grove (92M/BOX),22,40,15.4,Wood
A101204,Black - Grove (92M/BOX),22,40,15.4,Wood
A101205,Anthracite - Grove (104M/BOX),22,40,15.4,Wood
A101206,White Lime - Grove (104M/BOX),22,40,15.4,Wood
A101207,Taupe - Grove (104M/BOX),22,40,15.4,Wood
A101208,Chocolate - Grove (104M/BOX),22,40,15.4,Wood
A101301,Grey - Grove (156M/BOX),30,22,11.05,Wood
A101302,Camel - Grove (156M/BOX),30,22,11.05,Wood
A101303,White - Grove (156M/BOX),30,22,11.05,Wood
A101304,Black - Grove (156M/BOX),30,22,11.05,Wood
A101305,Anthracite - Grove (174M/BOX),30,22,11.05,Wood
A101306,White Lime - Grove (174M/BOX),30,22,11.05,Wood
A101307,Taupe - Grove (174M/BOX),30,22,11.05,Wood
A101308,Chocolate - Grove (174M/BOX),30,22,11.05,Wood
A101401,DISC - Grey - Grove (75M/BOX),60,21,20.95,Wood
A101402,DISC - Camel - Grove (75M/BOX),60,21,20.95,Wood
A101403,DISC - White - Grove (75M/BOX),60,21,20.95,Wood
A101404,DISC - Black - Grove (75M/BOX),60,21,20.95,Wood
A101405,DISC - Anthracite - Grove (81M/BOX),60,21,20.95,Wood
A101406,DISC - White Lime - Grove (81M/BOX),60,21,20.95,Wood
A101407,DISC - Taupe - Grove (81M/BOX),60,21,20.95,Wood
A101408,DISC - Chocolate - Grove (81M/BOX),60,21,20.95,Wood
A101501,Grey - Grove (206M/BOX),20,22,9.5,Wood
A101502,Camel - Grove (206M/BOX),20,22,9.5,Wood
A101503,White - Grove (206M/BOX),20,22,9.5,Wood
A101504,Black - Grove (206M/BOX),20,22,9.5,Wood
A101505,Anthracite - Grove (220M/BOX),20,22,9.5,Wood
A101506,White Lime - Grove (220M/BOX),20,22,9.5,Wood
A101507,Taupe - Grove (220M/BOX),20,22,9.5,Wood
A101508,Chocolate - Grove (220M/BOX),20,22,9.5,Wood
A101601,Grey  - Grove (87M/BOX),50,30,24.95,Wood
A101602,Camel - Grove (87M/BOX),50,30,24.95,Wood
A101603,White  - Grove (87M/BOX),50,30,24.95,Wood
A101604,Black  - Grove (87M/BOX),50,30,24.95,Wood
A101605,Anthracite - Grove (92M/BOX),50,30,24.95,Wood
A101606,White Lime - Grove (92M/BOX),50,30,24.95,Wood
A101607,Taupe - Grove (92M/BOX),50,30,24.95,Wood
A101608,Chocolate - Grove (92M/BOX),50,30,24.95,Wood
A101701,DISC - Grey - Grove (266M/BOX),40,13,12.6,Wood
A101702,DISC - Camel - Grove (266M/BOX),40,13,12.6,Wood
A101703,DISC - White - Grove (266M/BOX),40,13,12.6,Wood
A101704,DISC - Black - Grove (266M/BOX),40,13,12.6,Wood
A101705,DISC - Anthracite - Grove (266M/BOX),40,13,12.6,Wood
A101706,DISC - White Lime - Grove (266M/BOX),40,13,12.6,Wood
A101707,DISC - Taupe - Grove (266M/BOX),40,13,12.6,Wood
A101708,DISC - Chocolate - Grove (266M/BOX),40,13,12.6,Wood
A101801,DISC - Grey - Grove (522M/BOX),16,13,8.95,Wood
A101802,Camel - Grove (522M/BOX),16,13,8.95,Wood
A101803,White - Grove (522M/BOX),16,13,8.95,Wood
A101804,Black - Grove (522M/BOX),16,13,8.95,Wood
A101805,Anthracite - Grove (522M/BOX),16,13,8.95,Wood
A101806,White Lime - Grove (522M/BOX),16,13,8.95,Wood
A101807,Taupe - Grove (522M/BOX),16,13,8.95,Wood
A101808,Chocolate - Grove (522M/BOX),16,13,8.95,Wood
A101901,Black - Jazz (35M/BOX),54,45,25.95,Wood
A101902,White - Jazz (35M/BOX),54,45,25.95,Wood
A102101,ANTHRACITE - PRIME (65MTRS/BOX),45,28,19.6,Wood
A102102,TOBACCO - PRIME (65MTRS/BOX),45,28,19.6,Wood
A102103,NATURAL - PRIME (65MTRS/BOX),45,28,19.6,Wood
A102104,WHITE WASH - PRIME (65MTRS/BOX),45,28,19.6,Wood
A102105,BLACK - PRIME (65MTRS/BOX),45,28,19.6,Wood
A102106,WHITE - PRIME (65MTRS/BOX),45,28,19.6,Wood
A102107,TEAK - PRIME (65MTRS/BOX),45,28,19.6,Wood
A102201,ANTHRACITE - PRIME (95MTRS/BOX),38,20,13.35,Wood
A102202,TOBACCO - PRIME (95MTRS/BOX),38,20,13.35,Wood
A102203,NATURAL - PRIME (95MTRS/BOX,38,20,13.35,Wood
A102204,WHITE WASH - PRIME (95MTRS/BOX),38,20,13.35,Wood
A102205,BLACK - PRIME (95MTRS/BOX),38,20,13.35,Wood
A102206,WHITE - PRIME (95MTRS/BOX),38,20,13.35,Wood
A102207,TEAK - PRIME (95MTRS/BOX),38,20,13.35,Wood
A102301,ANTRHACITE - PRIME (145MTRS/BOX),29,16,10.95,Wood
A102302,TOBACCO - PRIME (145MTRS/BOX),29,16,10.95,Wood
A102303,NATURAL - PRIME (145MTRS/BOX),29,16,10.95,Wood
A102304,WHITE WASH - PRIME (145MTRS/BOX),29,16,10.95,Wood
A102305,BLACK - PRIME (145MTRS/BOX),29,16,10.95,Wood
A102306,WHITE - PRIME (145MTRS/BOX),29,16,10.95,Wood
A102307,TEAK - PRIME (145MTRS/BOX),29,16,10.95,Wood
A102401,ANTHRACITE - PRIME (180MTRS/BOX),20,20,8.95,Wood
A102402,TOBACCO - PRIME (180MTRS/BOX),20,20,8.95,Wood
A102403,NATURAL - PRIME (180MTRS/BOX),20,20,8.95,Wood
A102404,WHITE WASH - PRIME (180MTRS/BOX),20,20,8.95,Wood
A102405,BLACK - PRIME (180MTRS/BOX),20,20,8.95,Wood
A102406,WHITE - PRIME (180MTRS/BOX),20,20,8.95,Wood
A102407,TEAK - PRIME (180MTRS/BOX),20,20,8.95,Wood
A102501,ANTHRACITE - PRIME (120MTRS/BOX),20,30,11.65,Wood
A102502,TOBACCO - PRIME (120MTRS/BOX),20,30,11.65,Wood
A102503,NATURAL - PRIME (120MTRS/BOX),20,30,11.65,Wood
A102504,WHITE WASH - PRIME (120MTRS/BOX),20,30,11.65,Wood
A102505,BLACK - PRIME (120MTRS/BOX),20,30,11.65,Wood
A102506,WHITE - PRIME (120MTRS/BOX),20,30,11.65,Wood
A102507,TEAK - PRIME (120MTRS/BOX),20,30,11.65,Wood
A102601,ANTHRACITE - PRIME FLOAT (60MTRS/BOX),50,37,22.95,Wood
A102602,TOBACCO - PRIME FLOAT (60MTRS/BOX,50,37,22.95,Wood
A102603,NATURAL - PRIME FLOAT (60MTRS/BOX),50,37,22.95,Wood
A102604,WHITE WASH - PRIME FLOAT (60MTRS/BOX),50,37,22.95,Wood
A102605,BLACK - PRIME FLOAT (60MTRS/BOX),50,37,22.95,Wood
A102606,WHITE - PRIME FLOAT (60MTRS/BOX),50,37,22.95,Wood
A102607,TEAK - PRIME FLOAT (60MTRS/BOX),50,37,22.95,Wood
A102701,Anthracite - Prime (120M/Box),15,15,7.5,Wood
A102702,Tobacco - Prime (120M/Box),15,15,7.5,Wood
A102703,Natural - Prime (120M/Box),15,15,7.5,Wood
A102704,White Wash - Prime (120M/Box),15,15,7.5,Wood
A102705,Black - Prime (120M/Box),15,15,7.5,Wood
A102706,White - Prime (120M/Box),15,15,7.5,Wood
A102707,Teak - Prime (120M/Box),15,15,7.5,Wood
A102805,Black - Prime (46M/Box),35,40,19.95,Wood
A102806,White - Prime (46M/Box),35,40,19.95,Wood
A103001,Black - Noir (36M/BOX),45,74,33.95,Wood
A103002,White - Noir (32 MTRS/BOX),45,74,33.95,Wood
A103003,DISC - Gold - Noir  (32 MTRS/BOX),45,74,29.4,Wood
A103004,DISC - Silver - Noir  (32 MTRS/BOX),45,74,29.4,Wood
A103101,Black - Noir (144M/BOX),24,40,11.15,Wood
A103102,White - Noir (144 MTRS/BOX),24,40,11.15,Wood
A103103,DISC - Gold - Noir  (98 MTRS/BOX),24,40,9.2,Wood
A103104,DISC - Silver - Noir  (98 MTRS/BOX),24,40,9.2,Wood
A103105,Black/Gold  - Noir  (98 MTRS/BOX),24,40,11.95,Wood
A103106,Black/Silver  - Noir  (98 MTRS/BOX),24,40,11.95,Wood
A103107,White/Gold  - Noir  (98 MTRS/BOX),24,40,11.95,Wood
A103108,White/Silver  - Noir  (98 MTRS/BOX),24,40,11.95,Wood
A103201,Black - Noir (288M/BOX),17,17,7.45,Wood
A103202,White - Noir (288 MTRS/BOX),17,17,7.45,Wood
A103203,DISC - Gold - Noir  (148 MTRS/BOX),17,17,6.25,Wood
A103204,DISC - Silver - Noir  (148 MTRS/BOX),17,17,6.25,Wood
A103205,Black/Gold  - Noir  (148 MTRS/BOX),17,17,7.95,Wood
A103206,Black/Silver  - Noir  (148 MTRS/BOX),17,17,7.95,Wood
A103207,White/Gold  - Noir  (148 MTRS/BOX),17,17,7.95,Wood
A103208,White/Silver  - Noir  (148 MTRS/BOX),17,17,7.95,Wood
A103301,Black & Timber - Prisma (72M/BOX),35,40,17.65,Wood
A103302,White & Timber - Prisma (72M/BOX),35,40,17.65,Wood
A103401,Black & Timber - Prisma (144M/BOX),29,24,10.7,Wood
A103402,White & Timber - Prisma (144M/BOX),29,24,10.7,Wood
A103501,Black & Timber - Prisma (184M/BOX),35,20,11.75,Wood
A103502,DISC - White & Timber - Prisma (184M/BOX),35,20,11.75,Wood
A103601,Black & Timber - Prisma (126M/BOX),30,30,12.1,Wood
A103602,White & Timber - Prisma (126M/BOX),30,30,12.1,Wood
A103701,BLACK - BOTANICA (88 MTRS/BOX),50,25,15.05,Wood
A103702,WHITE - BOTANICA (88 MTRS/BOX),50,25,15.05,Wood
A103703,TEAK - BOTANICA (88 MTRS/BOX),50,25,15.05,Wood
A103704,CHOCOLATE - BOTANICA (88 MTRS/BOX),50,25,15.05,Wood
A103705,Taupe - Botanica (88 MTRS/BOX),50,25,15.05,Wood
A103706,DISC - Terra - Botanica (88 MTRS/BOX),50,25,12.7,Wood
A103707,DISC - Grey - Botanica (88 MTRS/BOX),50,25,12.7,Wood
A103801,DISC - DISC - BLACK - BOTANICA (110 MTRS/BOX),40,20,11.75,Wood
A103802,WHITE - BOTANICA (110 MTRS/BOX),40,20,11.75,Wood
A103803,DISC - TEAK - BOTANICA (110 MTRS/BOX),40,20,11.75,Wood
A103804,DISC - CHOCOLATE - BOTANICA (110 MTRS/BOX),40,20,11.75,Wood
