item,Description,category,size decimal,rabbet decimal,cost,Chop,Join, upc ,group
511062,MATTE BLACK RIPPLED PATTERN,Pompeii,1.1250,0.2500,5.45,8.72,11.41,,Wood
520193,TINY SILVER W/GRAY DIAMONDS,Diamanti,.625,.3125,10.54,17.37,22.11,,Wood
520195,TINY SILVER W/ TEAL DIAMONDS,Diamanti,.625,.3125,10.54,17.37,22.11,,Wood
520196,TINY GOLD W/UMBER DIAMONDS,Diamanti,.625,.3125,9.37,15.49,20.03,,Wood
520198,TINY GOLD W/GREEN DIAMONDS,Diamanti,.625,.3125,9.37,15.49,20.03,,Wood
520199,TINY SILVER W/DIAMONDS,Diamanti,.625,.3125,9.91,16.36,20.99,,Wood
520200,TINY GOLD W/DIAMONDS,Diamanti,.625,.3125,9.37,15.49,20.03,,Wood
520203,BLUE CELESTINE CENTURY ANGLE,Century,1.625,.6875,12.86,21.13,26.25,,Wood
520205,BLACK DIAMOND CENTURY ANGLE,Century,1.625,.6875,12.86,21.13,26.25,,Wood
520215,CREME CREPE SHIMMY,Shimmy,.9375,.625,7.96,13.19,17.51,,Wood
520216,CHAMPAGNE CREPE SHIMMY,Shimmy,.9375,.375,7.96,13.19,17.51,,Wood
520217,SILVER NOIR SHIMMY,Shimmy,.9375,.625,7.96,13.19,17.51,,Wood
520218,TURQUOISE CREPE SHIMMY,Shimmy,.9375,.625,7.96,13.19,17.51,,Wood
520219,MOUTARDE CREPE SHIMMY,Shimmy,.9375,.625,7.96,13.19,17.51,,Wood
520220,MANDARINE CREPE SHIMMY,Shimmy,.9375,.625,7.96,13.19,17.51,,Wood
520221,NOIR CREPE SHIMMY,Shimmy,.9375,.625,7.96,13.19,17.51,,Wood
520224,CHARTREUSE CREPE SHIMMY,Shimmy,.9375,.375,7.96,13.19,17.51,,Wood
520225,ECRU CREPE SHIMMY,Shimmy,.9375,.375,7.96,13.19,17.51,,Wood
520226,DENIM CREPE SHIMMY,Shimmy,.9375,.375,7.96,13.19,17.51,,Wood
520227,CABERNET CREPE SHIMMY,Shimmy,.9375,.375,7.96,13.19,17.51,,Wood
520233,SANDSTONE SILVER BLOCK,Indus,1.1875,.75,11.36,18.71,23.58,,Wood
520234,PURPLE MOUNTAINS SILVER BLOCK,Indus,1.1875,.75,11.36,18.71,23.58,,Wood
520235,BLUE DELTA SILVER BLOCK,Indus,1.1875,.75,11.36,18.71,23.58,,Wood
520236,EUCALYPTUS GOLD BLOCK,Indus,1.1875,.75,11.36,18.71,23.58,,Wood
520237,GREEN JADE GOLD BLOCK,Indus,1.1875,.75,11.36,18.71,23.58,,Wood
520238,WHITE HERON GOLD BLOCK,Indus,1.1875,.75,11.36,18.71,23.58,,Wood
520239,SILVER ZEPHYR MID-CENTURY,Century,1,.375,10.61,17.49,22.24,,Wood
520244,ESPRESSO SCOOP,Gelato,1.0625,.5,12.44,20.45,25.49,,Wood
520245,FRUTTI DI BOSCO SCOOP,Gelato,1.0625,.5,12.44,20.45,25.49,,Wood
520246,LIMONCELLO SCOOP,Gelato,1.0625,.5,12.44,20.45,25.49,,Wood
520247,ROSMARINO SCOOP,Gelato,1.0625,.5,12.44,20.45,25.49,,Wood
520248,PISTACHIO SCOOP,Gelato,1.0625,.5,12.44,20.45,25.49,,Wood
520249,MENTA SCOOP,Gelato,1.0625,.5,12.44,20.45,25.49,,Wood
520250,AMARETTO SCOOP,Gelato,1.0625,.5,12.44,20.45,25.49,,Wood
520251,BACCELLO DI VANIGLIA SCOOP,Gelato,1.0625,.5,15.73,25.79,31.37,,Wood
520254,SMOKE SILVER LEAF HALF DOME,Duomo,1,.4375,9.14,15.10,18.11,,Wood
520257,ECRU CREPE SHIMMY CAP,Shimmy,.9375,.9375,12.47,20.50,25.55,,Wood
520258,TURQUOISE CREPE SHIMMY CAP,Shimmy,.9375,.9375,12.47,20.50,25.55,,Wood
520259,NOIR CREPE SHIMMY CAP,Shimmy,.9375,.9375,12.47,20.50,25.55,,Wood
520260,MANDARINE CREPE SHIMMY CAP,Shimmy,.9375,.9375,12.47,20.50,25.55,,Wood
520261,SILVER NOIR SHIMMY CAP,Shimmy,.9375,.9375,12.47,20.50,25.55,,Wood
520262,CRÈME CREPE SHIMMY CAP,Shimmy,.9375,.9375,12.47,20.50,25.55,,Wood
520263,MOCHA RUST CENTURY ANGLE,Oxide,1.625,.6875,11.98,19.71,24.68,,Wood
520264,AMBER RUST CENTURY ANGLE,Oxide,1.625,.6875,10.99,18.11,22.92,,Wood
520266,TEAL RUST CENTURY ANGLE,Oxide,1.625,.6875,11.98,19.71,24.68,,Wood
520267,BLACK IRAN RUST CENTURY ANGLE,Oxide,1.625,.6875,11.98,19.71,24.68,,Wood
520270,OXBLOOD RUST MID-CENTURY,Oxide,1,.4375,9.20,15.21,19.73,,Wood
520271,TEAL RUST MID-CENTURY,Oxide,1,.4375,9.20,15.21,19.73,,Wood
520272,BLACK IRON RUST MID-CENTURY,Oxide,1,.4375,9.20,15.21,19.73,,Wood
520274,IRON & BRONZE STONEHENGE,Stonehenge,2.75,1,18.19,29.76,33.50,,Wood
520292,WASABI BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520293,KOI BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520294,SHIBORI BLUE BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520295,FUJI GREY BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520296,NATURAL BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520297,GEISHA BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520298,WHISKEY BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520299,TOMAGO BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520300,SANDSTONE TINY BLOCK,Indus,.5625,.4375,8.14,13.49,17.83,,Wood
520301,PURPLE MOUNTAINS TINY BLOCK,Indus,.5625,.4375,8.14,13.49,17.83,,Wood
520302,BLUE DELTA TINY BLOCK,Indus,.5625,.4375,8.14,13.49,17.83,,Wood
520303,EUCALYPTUS TINY BLOCK,Indus,.5625,.4375,8.14,13.49,17.83,,Wood
520304,GREEN JADE TINY BLOCK,Indus,.5625,.4375,8.14,13.49,17.83,,Wood
520305,WHITE HERON TINY BLOCK,Indus,.5625,.4375,8.14,13.49,17.83,,Wood
520306,FELDSPAR GREEN RAKU,Raku,1.9375,.75,16.28,26.67,32.34,,Wood
520307,IRRIDESCENT FLINT RAKU,Raku,1.9375,.75,16.28,26.67,32.34,,Wood
520308,COBALT BLUE RAKU,Raku,1.9375,.75,16.28,26.67,32.34,,Wood
520309,COPPER RED RAKU,Raku,1.9375,.75,16.28,26.67,32.34,,Wood
520310,COPPER FLAME RAKU,Raku,1.9375,.75,16.28,26.67,32.34,,Wood
520311,SPARTA GOLD RAKU,Raku,1.9375,.75,16.28,26.67,32.34,,Wood
520312,FELDSPAR GREEN KINTSUGI,Raku,1,.4375,9.21,15.21,19.74,,Wood
520313,IRRIDESCENT FLINT KINTSUGI,Raku,1,.4375,9.21,15.21,19.74,,Wood
520314,COBALT BLUE KINTSUGI,Raku,1,.4375,9.21,15.21,19.74,,Wood
520315,COPPER RED KINTSUGI,Raku,1,.4375,9.21,15.21,19.74,,Wood
520316,COPPER FLAME KINTSUGI,Raku,1,.4375,9.21,15.21,19.74,,Wood
520317,SPARTA GOLD KINTSUGI,Raku,1,.4375,9.21,15.21,19.74,,Wood
520330,ORO BRANCUSI DEEP CAP,Brancusi,.75,1,12.86,21.14,26.25,,Wood
520331,NERO BRANCUSI DEEP CAP,Brancusi,.75,1,11.74,19.31,24.24,,Wood
520332,ARGENTO BRANCUSI DEEP CAP,Brancusi,.75,1,12.86,21.14,26.25,,Wood
520333,PLATINO BRANCUSI DEEP CAP,Brancusi,.75,1,15.38,25.22,30.74,,Wood
520334,ORO ROSA BRANCUSI DEEP CAP,Brancusi,.75,1,15.38,25.22,30.74,,Wood
520335,PIOMBO BRANCUSI DEEP CAP,Brancusi,.75,1,12.86,21.14,26.25,,Wood
520336,TINY ORO BRANCUSI,Brancusi,.625,.3125,7.40,12.29,16.52,,Wood
520337,TINY NERO BRANCUSI,Brancusi,.625,.3125,5.45,9.14,13.05,,Wood
520338,TINY ARGENTO BRANCUSI,Brancusi,.625,.3125,7.40,12.29,16.52,,Wood
520339,TINY PLATINO BRANCUSI,Brancusi,.625,.3125,9.23,15.25,19.78,,Wood
520340,TINY ORO ROSA BRANCUSI,Brancusi,.625,.3125,9.23,15.25,19.78,,Wood
520341,TINY PIOMBO BRANCUSI,Brancusi,.625,.3125,7.40,12.29,16.52,,Wood
520342,CHESTNUT TINY BRAMBLE,Bramble,.5625,.4375,5.54,9.27,13.20,,Wood
520343,HONEYSUCKLE TINY BRAMBLE,Bramble,.5625,.4375,5.54,9.27,13.20,,Wood
520344,PRIMROSE TINY BRAMBLE,Bramble,.5625,.4375,5.54,9.27,13.20,,Wood
520345,THISLTE TINY BRAMBLE,Bramble,.5625,.4375,5.54,9.27,13.20,,Wood
520346,GOLDENROD TINY BRAMBLE,Bramble,.5625,.4375,5.54,9.27,13.20,,Wood
520347,TSUNAMI BAMBU,Bambu,.75,.4375,13.11,21.53,26.68,,Wood
520372,BEL AIR BLUE LINE,LaLa,1,.4375,6.44,10.73,13.51,,Wood
520376,PACIFIC BLUE SCOOP,LaLa,2,.5,15.18,24.90,30.39,,Wood
520377,TECHNICOLOR SCOOP,LaLa,2,.5,15.18,24.90,30.39,,Wood
520379,OSCAR GOLD SCOOP,LaLa,2,.5,15.18,24.90,30.39,,Wood
520381,LUNAR SURFACE SCOOP,Luna,2,.5,17.20,28.17,33.99,,Wood
520382,MARS ROVER SCOOP,Luna,2,.5,17.20,28.17,33.99,,Wood
520383,2 LUNAR SURFACE,Luna,2,.5,15.08,24.73,30.20,,Wood
520384,2 MARS ROVER,Luna,2,.5,15.08,24.73,30.20,,Wood
520385,2 SILVER MOONWALK NEBULA,Luna,2,.5,19.19,31.39,37.53,,Wood
520386,2 TEAL GALAXY NEBULA,Luna,2,.5,19.19,31.39,37.53,,Wood
520387,2 DEEP SPACE NEBULA,Luna,2,.5,19.19,31.39,37.53,,Wood
520388,SILVER MOONWALK NEBULA BLOCK,Luna,1.1875,.6875,15.72,25.77,31.35,,Wood
520389,TEAL GALAXY NEBULA BLOCK,Luna,1.1875,.6875,15.72,25.77,31.35,,Wood
520390,DEEP SPACE NEBULA BLOCK,Luna,1.1875,.6875,15.72,25.77,31.35,,Wood
520391,APRICOT METALLIC GINGHAM,Gingham,1.7500,.5625,14.21,23.33,28.66,,Wood
520394,PERIWINKLE METALLIC GINGHAM,Gingham,1.7500,.5625,14.21,23.33,28.66,,Wood
520395,BUBBLEGUM METALLIC GINGHAM,Gingham,1.7500,.5625,14.21,23.33,28.66,,Wood
520396,EBONY ARABESQUE,Bernini,1,.375,10.07,16.61,21.28,,Wood
520397,CHERUB ARABESQUE,Bernini,1,.375,10.07,16.61,21.28,,Wood
520398,OLIVE ARABESQUE,Bernini,1,.375,10.07,16.61,21.28,,Wood
520399,STERLING ARABESQUE,Bernini,1,.375,11.74,19.32,24.25,,Wood
520400,CERULEAN BLUE LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520401,PHARAOH GREEN LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520402,ROYAL HEATHER LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520403,EBONY ROSE LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520404,OLIVE GREEN LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520405,CHIFFON GOLD LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520406,COPPER FLAME RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520407,FELDSPAR GREEN RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520408,SPARTA GOLD RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520409,COBALT BLUE RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520410,COPPER RED RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520411,COPPER FLAME RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520412,FELDSPAR GREEN RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520413,SPARTA GOLD RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520414,COBALT BLUE RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520415,COPPER RED RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520416,TINY COPPER FLAME RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520417,TINY FELDSPAR GREEN RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520418,TINY SPARTA GOLD RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520419,TINY COBALT BLUE RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520420,TINY COPPER RED RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520451,CELESTINE BLUE FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520452,CHIFFON GOLD FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520453,CAPPUCCINO ROSE FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520454,ITALIAN ORCHID FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520459,CAMPFIRE BLACK TRACKS MEDIUM BLOCK,Scout,1.5625,1.0625,12.10,19.91,24.90,,Wood
520462,SCOUT BLUE TRACKS MEDIUM BLOCK,Scout,1.5625,1.0625,12.10,19.91,24.90,,Wood
520463,CAMPFIRE BLACK TRACKS  BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520464,CABINE RED TRACKS  BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520465,SCOUT GREEN TRACKS BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520466,SCOUT BLUE TRACKS  BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520473,GILDED BERRIES OF VERSAILLES,Marie,2.6875,0.5000,27.36,44.62,52.08,,Wood
520474,VERDANT BERRIES OF VERSAILLES,Marie,2.6875,0.5000,27.36,44.62,52.08,,Wood
520475,PETITE GOLD AND GREY ROCOCO RUFFLE,Marie,0.7500,0.375,12.72,20.90,25.99,,Wood
