Item #,Description,Line                   Name,Size Decimal,Rabbet Decimal, cost , Chop , Join , Sugg. Retail , AC 
511062,MATTE BLACK RIPPLED PATTERN,Pompeii,1.1250,0.2500, $ 5.45 , $ 8.72 , $ 11.41 , $ 24.80 ,
520193,TINY SILVER W/GRAY DIAMONDS,Diamanti,.625,.3125, $ 10.54 , $ 17.37 , $ 22.11 , $ 46.40 ,
520195,TINY SILVER W/ TEAL DIAMONDS,Diamanti,.625,.3125, $ 10.54 , $ 17.37 , $ 22.11 , $ 46.40 ,
520196,TINY GOLD W/UMBER DIAMONDS,Diamanti,.625,.3125, $ 9.37 , $ 15.49 , $ 20.03 , $ 41.70 ,
520198,TINY GOLD W/GREEN DIAMONDS,Diamanti,.625,.3125, $ 9.37 , $ 15.49 , $ 20.03 , $ 41.70 ,
520199,TINY SILVER W/DIAMONDS,Diamanti,.625,.3125, $ 9.91 , $ 16.36 , $ 20.99 , $ 43.90 ,
520200,TINY GOLD W/DIAMONDS,Diamanti,.625,.3125, $ 9.37 , $ 15.49 , $ 20.03 , $ 41.70 ,
520203,BLUE CELESTINE CENTURY ANGLE,Century,1.625,.6875, $ 12.86 , $ 21.13 , $ 26.25 , $ 55.80 ,
520205,BLACK DIAMOND CENTURY ANGLE,Century,1.625,.6875, $ 12.86 , $ 21.13 , $ 26.25 , $ 55.80 ,
520215,CREME CREPE SHIMMY,Shimmy,.9375,.625, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520216,CHAMPAGNE CREPE SHIMMY,Shimmy,.9375,.375, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520217,SILVER NOIR SHIMMY,Shimmy,.9375,.625, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520218,TURQUOISE CREPE SHIMMY,Shimmy,.9375,.625, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520219,MOUTARDE CREPE SHIMMY,Shimmy,.9375,.625, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520220,MANDARINE CREPE SHIMMY,Shimmy,.9375,.625, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520221,NOIR CREPE SHIMMY,Shimmy,.9375,.625, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520224,CHARTREUSE CREPE SHIMMY,Shimmy,.9375,.375, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520225,ECRU CREPE SHIMMY,Shimmy,.9375,.375, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520226,DENIM CREPE SHIMMY,Shimmy,.9375,.375, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520227,CABERNET CREPE SHIMMY,Shimmy,.9375,.375, $ 7.96 , $ 13.19 , $ 17.51 , $ 36.00 ,
520233,SANDSTONE SILVER BLOCK,Indus,1.1875,.75, $ 11.36 , $ 18.71 , $ 23.58 , $ 49.80 ,
520234,PURPLE MOUNTAINS SILVER BLOCK,Indus,1.1875,.75, $ 11.36 , $ 18.71 , $ 23.58 , $ 49.80 ,
520235,BLUE DELTA SILVER BLOCK,Indus,1.1875,.75, $ 11.36 , $ 18.71 , $ 23.58 , $ 49.80 ,
520236,EUCALYPTUS GOLD BLOCK,Indus,1.1875,.75, $ 11.36 , $ 18.71 , $ 23.58 , $ 49.80 ,
520237,GREEN JADE GOLD BLOCK,Indus,1.1875,.75, $ 11.36 , $ 18.71 , $ 23.58 , $ 49.80 ,
520238,WHITE HERON GOLD BLOCK,Indus,1.1875,.75, $ 11.36 , $ 18.71 , $ 23.58 , $ 49.80 ,
520239,SILVER ZEPHYR MID-CENTURY,Century,1,.375, $ 10.61 , $ 17.49 , $ 22.24 , $ 46.70 ,
520244,ESPRESSO SCOOP,Gelato,1.0625,.5, $ 12.44 , $ 20.45 , $ 25.49 , $ 54.10 ,
520245,FRUTTI DI BOSCO SCOOP,Gelato,1.0625,.5, $ 12.44 , $ 20.45 , $ 25.49 , $ 54.10 ,
520246,LIMONCELLO SCOOP,Gelato,1.0625,.5, $ 12.44 , $ 20.45 , $ 25.49 , $ 54.10 ,
520247,ROSMARINO SCOOP,Gelato,1.0625,.5, $ 12.44 , $ 20.45 , $ 25.49 , $ 54.10 ,
520248,PISTACHIO SCOOP,Gelato,1.0625,.5, $ 12.44 , $ 20.45 , $ 25.49 , $ 54.10 ,
520249,MENTA SCOOP,Gelato,1.0625,.5, $ 12.44 , $ 20.45 , $ 25.49 , $ 54.10 ,
520250,AMARETTO SCOOP,Gelato,1.0625,.5, $ 12.44 , $ 20.45 , $ 25.49 , $ 54.10 ,
520251,BACCELLO DI VANIGLIA SCOOP,Gelato,1.0625,.5, $ 15.73 , $ 25.79 , $ 31.37 , $ 67.50 ,
520254,SMOKE SILVER LEAF HALF DOME,Duomo,1,.4375, $ 9.14 , $ 15.10 , $ 18.11 , $ 40.80 ,
520257,ECRU CREPE SHIMMY CAP,Shimmy,.9375,.9375, $ 12.47 , $ 20.50 , $ 25.55 , $ 54.30 ,
520258,TURQUOISE CREPE SHIMMY CAP,Shimmy,.9375,.9375, $ 12.47 , $ 20.50 , $ 25.55 , $ 54.30 ,
520259,NOIR CREPE SHIMMY CAP,Shimmy,.9375,.9375, $ 12.47 , $ 20.50 , $ 25.55 , $ 54.30 ,
520260,MANDARINE CREPE SHIMMY CAP,Shimmy,.9375,.9375, $ 12.47 , $ 20.50 , $ 25.55 , $ 54.30 ,
520261,SILVER NOIR SHIMMY CAP,Shimmy,.9375,.9375, $ 12.47 , $ 20.50 , $ 25.55 , $ 54.30 ,
520262,CRÈME CREPE SHIMMY CAP,Shimmy,.9375,.9375, $ 12.47 , $ 20.50 , $ 25.55 , $ 54.30 ,
520263,MOCHA RUST CENTURY ANGLE,Oxide,1.625,.6875, $ 11.98 , $ 19.71 , $ 24.68 , $ 52.30 ,
520264,AMBER RUST CENTURY ANGLE,Oxide,1.625,.6875, $ 10.99 , $ 18.11 , $ 22.92 , $ 48.30 ,
520266,TEAL RUST CENTURY ANGLE,Oxide,1.625,.6875, $ 11.98 , $ 19.71 , $ 24.68 , $ 52.30 ,
520267,BLACK IRAN RUST CENTURY ANGLE,Oxide,1.625,.6875, $ 11.98 , $ 19.71 , $ 24.68 , $ 52.30 ,
520270,OXBLOOD RUST MID-CENTURY,Oxide,1,.4375, $ 9.20 , $ 15.21 , $ 19.73 , $ 41.00 ,
520271,TEAL RUST MID-CENTURY,Oxide,1,.4375, $ 9.20 , $ 15.21 , $ 19.73 , $ 41.00 ,
520272,BLACK IRON RUST MID-CENTURY,Oxide,1,.4375, $ 9.20 , $ 15.21 , $ 19.73 , $ 41.00 ,
520274,IRON & BRONZE STONEHENGE,Stonehenge,2.75,1, $ 18.19 , $ 29.76 , $ 33.50 , $ 77.40 ,
520292,WASABI BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520293,KOI BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520294,SHIBORI BLUE BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520295,FUJI GREY BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520296,NATURAL BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520297,GEISHA BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520298,WHISKEY BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520299,TOMAGO BAMBU,Bambu,.75,.4375, $ 13.11 , $ 21.53 , $ 26.68 , $ 56.80 ,
520300,SANDSTONE TINY BLOCK,Indus,.5625,.4375, $ 8.14 , $ 13.49 , $ 17.83 , $ 36.70 ,
520301,PURPLE MOUNTAINS TINY BLOCK,Indus,.5625,.4375, $ 8.14 , $ 13.49 , $ 17.83 , $ 36.70 ,
520302,BLUE DELTA TINY BLOCK,Indus,.5625,.4375, $ 8.14 , $ 13.49 , $ 17.83 , $ 36.70 ,
