Code,Description,Width,rabbet,category,Cost,chop,group
0004AS,28x19mm Raw Ash Cushion Moulding,28,12,Natural,6.86,13.71,Wood
0005LI,23x27mm Raw Lime Flat Moulding,23,22,Natural,6.73,13.46,Wood
0005TU,22x27mm Raw Tulip Flat Moulding,22,22,Natural,5.96,11.93,Wood
0010TU,22x47mm Raw Tulip Flat Moulding,22,40,Natural,8.37,16.74,Wood
0011AS,21x17mm Raw Ash Flat Moulding,21,12,Natural,4.49,8.99,Wood
0011OA,21x17mm Raw Oak Flat Moulding,21,12,Natural,4.66,9.32,Wood
0011OB,21x17mm Raw Obeche Flat Moulding,21,12,Natural,2.38,4.77,Wood
0011WA,21x17mm Raw Walnut Flat Moulding,21,12,Brown,6.32,12.63,Wood
0013LI,41x21mm Raw Lime Flat Moulding,41,14,Natural,10.19,20.37,Wood
0014AS,59x21mm Raw Ash Flat Moulding,56,14,Natural,9.92,19.85,Wood
0014OA,56x22mm Raw Oak Flat Moulding,56,14,Natural,11.15,22.3,Wood
0015CM,21x20mm Cream Bevel Moulding,21,10,Cream,4.81,9.62,Wood
0018OA,51x16mm Raw Oak Flat Moulding,51,12,Natural,11.58,23.16,Wood
0021OB,67x35mm Raw Obeche Scoop Moulding,67,12,Natural,9.36,18.71,Wood
0029OB,91x33mm Raw Obeche Step Moulding,91,13,Natural,13.43,26.86,Wood
0031OB,55x25mm Raw Obeche Step Moulding,55,10,Natural,6.55,13.1,Wood
0037OB,22x47mm Raw Obeche Flat Moulding,22,39,Natural,5.04,10.08,Wood
0040AS,34x21mm Raw Ash Flat Moulding,34,16,Natural,7.89,15.77,Wood
0040OA,34x21mm Raw Oak Flat Moulding,34,16,Natural,8.31,16.61,Wood
0040OB,34x21mm Raw Obeche Flat Moulding,34,16,Natural,3.82,7.64,Wood
0044PI,39x12mm Raw Pine Flat Moulding,39,7,Natural,3.51,7.01,Wood
0045OB,93x41mm Raw Obeche Step/Scoop Moulding,93,22,Natural,14.11,28.22,Wood
0046BK,46x47mm Matt Black Block Moulding,46,37,Black,9.45,18.9,Wood
0046WH,46x47mm Matt White Block Moulding,46,37,White,9.45,18.9,Wood
0047OB,77x34mm Raw Obeche Step/Scoop Moulding,77,17,Natural,10.36,20.73,Wood
0056LI,12x24mm Raw Lime Flat Moulding,12,20,Natural,5.33,10.67,Wood
0057LI,12x12mm Raw Lime Flat Moulding,12,7,Natural,4.38,8.76,Wood
0061RA,11x4mm Raw Ramin Slip Moulding,11,,Natural,2.76,5.52,Wood
0066AS,15x31mm Raw Ash Flat Moulding,15,27,Natural,6.36,12.73,Wood
0066OA,15x31mm Raw Oak Flat Moulding,15,27,Natural,7.9,15.79,Wood
0066OB,15x31mm Raw Obeche Flat Moulding,15,27,Natural,3.18,6.36,Wood
0066TU,15x31mm Raw Tulip Flat Moulding,15,27,Natural,6.71,13.42,Wood
0066WA,15x31mm Raw Walnut Flat Moulding,15,27,Brown,8.84,17.68,Wood
0073SI,16x15mm Antique Silver Scoop Moulding,16,8,Silver,4.84,9.68,Wood
0084OB,14x21mm Raw Obeche Bevel Moulding,14,10,Natural,2.82,5.65,Wood
0086OA,20x22mm Raw Oak Cushion Moulding,20,11,Natural,5.62,11.24,Wood
0092OA,12x12mm Raw Oak Cushion Moulding,12,8,Natural,3.53,7.06,Wood
0097OA,47x22mm Raw Oak Flat Moulding,47,17,Natural,10.28,20.56,Wood
0097OB,47x22mm Raw Obeche Flat Moulding,47,17,Natural,6.02,12.03,Wood
0099AS,20x20mm Raw Ash Flat Moulding,20,15,Natural,4.58,9.16,Wood
0099OA,20x20mm Raw Oak Flat Moulding,20,15,Natural,4.97,9.93,Wood
0100AS,12x12mm Raw AshFlat Moulding,12,9,Natural,3.43,6.87,Wood
0100OA,12x12mm Raw Oak Flat Moulding,12,9,Natural,3.43,6.87,Wood
0100OB,12x12mm Raw Obeche Flat Moulding,12,9,Natural,1.75,3.51,Wood
0100WG,25x17mm Walnut & Gold Scoop Moulding,25,9,Brown,5.73,11.47,Wood
0101OB,25x32mm Raw Obeche Bevel Moulding,25,26,Natural,4.85,9.7,Wood
0102AS,16x21mm Raw Ash Cushion Moulding,16,16,Natural,4.53,9.05,Wood
0120OB,20x15mm Raw Obeche Bevel Moulding,20,9,Natural,2.68,5.36,Wood
0124OB,33x20mm Raw Obeche Bevel Moulding,33,13,Natural,4.66,9.32,Wood
0130OB,20x20mm Raw Obeche Flat Moulding,20,15,Natural,3.3,6.59,Wood
0136OB,68x20mm Raw Obeche Step Moulding,68,12,Natural,7.36,14.72,Wood
0140OB,25x22mm Raw Obeche Bevel Moulding,25,12,Natural,2.87,5.73,Wood
