item,Description,size decimal,cost,chop,join,group
ANBK212,"CFC Angles Black/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKBL212,"CFC Angles Black/Blue 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKBRN212,"CFC Angles Black/Brown 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKDRKGRN212,"CFC Angles Black/Dark Green 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKGLD212,"CFC Angles Black / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANBKGRN212,CFC Angles Black/Green 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBKGRY212,"CFC Angles Black/Gray 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKLAV212,CFC Angles Black/Lavender 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBKLEN212,"CFC Angles Black/Lentil 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKNAT212,CFC Angles Black/Natural 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBKOR212,"CFC Angles Black/Orange 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKPNK212,"CFC Angles Black/Pink 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKPRP212,"CFC Angles Black/Purple 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKPUT212,"CFC Angles Black/Putty 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKRD212,CFC Angles Black/Red 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBKSG212,"CFC Angles Black/Sage 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKTL212,"CFC Angles Black/Teal 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBKTRQ212,CFC Angles Black/Turquoise 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBKWT212,CFC Angles Black/White 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBKY212,CFC Angles Black/Yellow 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBL212,"CFC Angles Blue/Blue 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBLBK212,"CFC Angles Blue/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBLGLD212,"CFC Angles Blue / Gold 2  1/2""",2.5,25.00,25.00,25.00,Wood
ANBLNAT212,CFC Angles Blue/Natural 2 1/2,2.5,21.00,21.00,21.00,Wood
ANBLWHT212,"CFC Angles Blue/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBRN212,"CFC Angles Brown/Brown 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBRNBK212,"CFC Angles Brown/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBRNGLD212,"CFC Angles Brown / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANBRNNAT212,"CFC Angles Brown/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANBRNWHT212,"CFC Angles Brown/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANCUST212,CFC Angles Custom Color 2 1/2,2.5,21.00,21.00,21.00,Wood
ANCUSTGLD212,"CFC Angles Custom / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANDRKGRN212,"CFC Angles Dark Green/Dark Green 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANDRKGRNBK212,"CFC Angles Dark Green/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANDRKGRNGLD212,"CFC Angles Dark Green / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANDRKGRNNAT212,"CFC Angles Dark Green/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANDRKGRNWHT212,"CFC Angles Dark Green/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANGRNGLD212,"CFC Angles Green / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANGRNNAT212,CFC Angles Green/Natural 2 1/2,2.5,21.00,21.00,21.00,Wood
ANGRY212,"CFC Angles Gray/Gray 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANGRYBK212,"CFC Angles Gray/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANGRYGLD212,"CFC Angles Gray / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANGRYNAT212,"CFC Angles Gray/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANGRYRD212,"CFC Angles Gray/Red 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANGRYWHT212,"CFC Angles Gray/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANLAV212,"CFC Angles Lavender/Lavender 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANLAVBK212,"CFC Angles Lavender/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
