CFS #,Description,Size,Length,Chop,Join,group
0101,Raw Stretcher Bar,2 1/2,5.58,10.06,13.19,Extender
01011,"Gallery Wrap 2 3/8""",7/8,5.58,10.06,13.19,Extender
0202,"1 1/2"" x 1 3/8"" Stretcher Bar",1 1/2,4.80,8.65,11.35,Extender
0701,Instant Edge Silver ,1/8,1.12,,,Wood
0702,Instant Edge Gold,1/8,1.12,,,Wood
0703,Instant Edge Black,1/8,1.12,,,Wood
1045,Gold w Beaded Lip,3/4,4.09,7.94,10.33,Wood
2025,Broken Gold w Bead,2,7.00,12.74,16.64,Wood
2514603,Forged Pewter,3/4,6.16,10.17,13.22,Wood
2514604,Forged Iron,3/4,6.16,10.17,13.22,Wood
2514606,Forged Brass,3/4,6.16,10.17,13.22,Wood
2514609,Forged Bronze,3/4,6.16,10.17,13.22,Wood
2514703,Forged Pewter,1 1/4,8.07,13.32,17.32,Wood
2514704,Forged Iron,1 1/4,8.07,13.32,17.32,Wood
2514706,Forged Brass,1 1/4,8.07,13.32,17.32,Wood
2514709,Forged Bronze,1 1/4,8.07,13.32,17.32,Wood
2514803,Forged Pewter,2 3/8,11.71,19.33,25.12,Wood
2514804,Forged Iron,2 3/8,11.71,19.33,25.12,Wood
2514806,Forged Brass,2 3/8,11.71,19.33,25.12,Wood
2514809,Forged Bronze,2 3/8,11.71,19.33,25.12,Wood
2517004,Ebony w/Natural Edge,2,8.98,14.82,19.27,Wood
2517005,White Oak w/Black Edge,2,8.98,14.82,19.27,Wood
2517009,Mahogany w/Black Edge,2,8.98,14.82,19.27,Wood
2517013,Black Walnut w/Black Edge,2,8.98,14.82,19.27,Wood
2517017,Honey Birch w/Black Edge,2,8.98,14.82,19.27,Wood
2517027,Hickory w/Black Edge,2,8.98,14.82,19.27,Wood
2517104,Ebony w/Natural Edge,1 1/2,7.25,11.96,15.54,Wood
2517105,White Oak w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517109,Mahogany w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517113,Black Walnut w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517117,Honey Birch w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517127,Hickory w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517403,Colonna Windswept,1 1/2,7.25,11.96,15.54,Wood
2517404,Colonna Gilded Black,1 1/2,7.25,11.96,15.54,Wood
2517409,Colonna Sepia,1 1/2,7.25,11.96,15.54,Wood
2517481,Colonna Sage,1 1/2,7.25,11.96,15.54,Wood
2517491,Colonna Terra,1 1/2,7.25,11.96,15.54,Wood
2517492,Colonna Slate,1 1/2,7.25,11.96,15.54,Wood
2517503,Colonna Windswept,2 1/4,9.04,14.91,19.39,Wood
2517504,Colonna Gilded Black,2 1/4,9.04,14.91,19.39,Wood
2517509,Colonna Sepia,2 1/4,9.04,14.91,19.39,Wood
2517581,Colonna Sage,2 1/4,9.04,14.91,19.39,Wood
2517591,Colonna Terra,2 1/4,9.04,14.91,19.39,Wood
2517592,Colonna Slate,2 1/4,9.04,14.91,19.39,Wood
2517607,Painted Desert Nouveau Sun,1 3/8,9.68,15.98,20.77,Wood
2517609,Painted Desert Nouveau Grey,1 3/8,9.68,15.98,20.77,Wood
2517641,Painted Desert Nouveau Noir,1 3/8,9.68,15.98,20.77,Wood
2517681,Painted Desert Nouveau Sage,1 3/8,9.68,15.98,20.77,Wood
2517691,Painted Desert Nouveau Clay,1 3/8,9.68,15.98,20.77,Wood
2517692,Painted Desert Nouveau Fog,1 3/8,9.68,15.98,20.77,Wood
2517703,Rialto Pelican,1 3/4,7.26,11.99,15.58,Wood
2517704,Rialto Cypress,1 3/4,7.26,11.99,15.58,Wood
2517707,Painted Desert Deco Sun,1 3/8,9.68,15.98,20.77,Wood
2517709,Rialto Walnut,1 3/4,7.26,11.99,15.58,Wood
2517741,Painted Desert Deco Noir,1 3/8,9.68,15.98,20.77,Wood
2517781,Painted Desert Deco Sage,1 3/8,9.68,15.98,20.77,Wood
2517791,Rialto Cedar,1 3/4,7.26,11.99,15.58,Wood
2517792,Painted Desert Deco Fog,1 3/8,9.68,15.98,20.77,Wood
2517793,Painted Desert Deco Grey,1 3/8,9.68,15.98,20.77,Wood
2517794,Painted Desert Deco Clay,1 3/8,9.68,15.98,20.77,Wood
2517803,Rialto Pelican,2 1/2,9.22,15.22,19.78,Wood
2517804,Rialto Cypress,2 1/2,9.22,15.22,19.78,Wood
2517809,Rialto Walnut,2 1/2,9.22,15.22,19.78,Wood
2517891,Rialto Cedar,2 1/2,9.22,15.22,19.78,Wood
2517902,Marrakesh Medina Silver,1,4.86,8.02,10.43,Wood
2517914,Marrakesh Galena Black,1,4.86,8.02,10.43,Wood
2517915,Marrakesh Tajine,1,4.86,8.02,10.43,Wood
2517941,Marrakesh Saffron Gold,1,4.86,8.02,10.43,Wood
2518002,Marrakesh Medina Silver,2 1/4,9.83,16.05,20.87,Wood
2518014,Marrakesh Galena Black,2 1/4,9.83,16.05,20.87,Wood
2518015,Marrakesh Tajine,2 1/4,9.83,16.05,20.87,Wood
2518041,Marrakesh Saffron Gold,2 1/4,9.83,16.05,20.87,Wood
2518102,Marrakesh Medina Silver,1 3/8,7.61,12.56,16.34,Wood
2518114,Marrakesh Galena Black,1 3/8,7.61,12.56,16.34,Wood
2518115,Marrakesh Tajine,1 3/8,7.61,12.56,16.34,Wood
2518141,Marrakesh Saffron Gold,1 3/8,7.61,12.56,16.34,Wood
2518302,Marrakesh Minis Medina Silver,3/4,3.94,6.50,8.45,Wood
2518314,Marrakesh Minis Galena Black,3/4,3.94,6.50,8.45,Wood
2518315,Marrakesh Minis Saffron Gold,3/4,3.94,6.50,8.45,Wood
2518341,Marrakesh Minis Tajine,3/4,3.94,6.50,8.45,Wood
2518402,Marrakesh Minis Medina Silver,5/8,3.57,5.90,7.67,Wood
2518414,Marrakesh Minis Galena Black,5/8,3.57,5.90,7.67,Wood
2518415,Marrakesh Minis Saffron Gold,5/8,3.57,5.90,7.67,Wood
2518441,Marrakesh Minis Tajine,5/8,3.57,5.90,7.67,Wood
2519104,Nantucket Black Cap,3/4,4.33,7.15,9.29,Wood
2519123,Nantucket Dover Grey Cap,3/4,4.33,7.15,9.29,Wood
2519127,Nantucket Taupe Cap,3/4,4.33,7.15,9.29,Wood
2519131,Nantucket Driftwood Cap,3/4,4.33,7.15,9.29,Wood
2519192,Nantucket Blue Grey Cap,3/4,4.33,7.15,9.29,Wood
2519304,Nantucket Black Flat,1 3/4,5.63,9.30,12.11,Wood
2519323,Nantucket Dover Grey Flat,1 3/4,5.63,9.30,12.11,Wood
2519327,Nantucket Taupe Flat,1 3/4,5.63,9.30,12.11,Wood
2519331,Nantucket Driftwood Flat,1 3/4,5.63,9.30,12.11,Wood
2519392,Nantucket Blue Grey Flat,1 3/4,5.63,9.30,12.11,Wood
2542331,American Hardwood Natural Maple,5/8,6.86,11.33,14.74,Wood
2542332,American Hardwood White Wash Maple,5/8,6.17,10.20,13.26,Wood
2542414,American Hardwood Black Ash,3/4,6.33,10.48,13.63,Wood
2542431,American Hardwood Natural Maple,3/4,7.52,12.44,16.18,Wood
2542432,American Hardwood White Wash Maple,3/4,8.07,13.34,17.38,Wood
2542631,American Hardwood Natural Maple,3/4,11.63,19.20,24.95,Wood
2545204,Provence Charred Black w/Beveled Lip,3/4,4.24,6.98,9.07,Wood
2545207,Provence Cottage White w/Beveled Lip,3/4,4.24,6.98,9.07,Wood
2545209,Provence Weathered Brown w/Beveled Lip,3/4,4.24,6.98,9.07,Wood
2545304,Provence Charred Black w/Beveled Lip,1 1/8,3.85,6.36,8.28,Wood
2545307,Provence Cottage White w/Beveled Lip,1 1/8,3.85,6.36,8.28,Wood
