item,code txt,Description,cost,group
M032-500-2 1/4,CE13,Sherwood Espresso,9.20,Wood
M032-600-2 1/4,CE13,Sherwood Grey,9.20,Wood
M032-700-2 1/4,CE13,Sherwood Walnut,9.20,Wood
M033-500-1 1/2,CE08,Sherwood Espresso,7.53,Wood
M033-600-1 1/2,CE08,Sherwood Grey,7.53,Wood
M033-700-1 1/2,CE08,Sherwood Walnut,7.53,Wood
M100-BK-1 1/2,CE04,Black,3.13,Wood
M100-MAH-1 1/2,CE04,Mahogany,3.38,Wood
M100-NB-1 1/2,CE05,Navy Blue,3.38,Wood
M100-W-1 1/2,CE04,Walnut,3.13,Wood
M102-BK-1 1/2,CE07,Black,4.55,Wood
M102-BK-2,CE08,Black,4.47,Wood
M102-BKG-1 1/2,CE07,Black/Gold,4.88,Wood
M102-BKS-1 1/2,CE07,Black/Silver,4.88,Wood
M102-CH-1 1/2,CE07,Chocolate,4.55,Wood
M102-CH-2,CE08,Chocolate,4.47,Wood
M102-NAT-1 1/2,CE07,Natural,3.94,Wood
M102-NAT-2,CE09,Natural,5.25,Wood
M102-RB-1 1/2,CE06,Raw Bass,3.70,Wood
M102-WH-1 1/2,CE07,White,4.88,Wood
M102-WH-2,CE08,White,4.47,Wood
M103-BK-1 1/4,CE03,Black,3.33,Wood
M103-BK-2 1/4,CE09,Black,5.39,Wood
M103-GO-1 1/4,CE08,Gold Leaf,5.38,Wood
M103-MAH-1 1/4,CE03,Mahogany,3.46,Wood
M103-MAH-1 3/4,CE05,Mahogany,3.85,Wood
M103-MAH-2 1/4,CE09,Mahogany,5.39,Wood
M103-NB-1 1/4,CE03,Navy Blue,3.46,Wood
M103-NB-1 3/4,CE05,Navy Blue,3.85,Wood
M103-SGO-1 1/4,CE03,Spray Gold,3.46,Wood
M103-SGO-1 3/4,CE05,Spray Gold,3.85,Wood
M103-SIL-1 1/4,CE08,Silver Leaf,5.38,Wood
M103-W-1 1/4,CE03,Walnut,3.46,Wood
M103-W-1 3/4,CE05,Walnut,3.85,Wood
M103-W-2 1/4,CE09,Walnut,5.39,Wood
M105-07B-3/4,CE03,Satin Black,1.98,Wood
M105-17A-1 1/2,CE05,Dove Grey On Ash,3.50,Wood
M105-17A-3/4,CE04,Charcoal,3.59,Wood
M105-35M-1 1/2,CE09,Bleached Maple,5.15,Wood
M105-35WWA-1 1/2,CE06,White Wash Ash,4.00,Wood
M105-35WWA-2 1/2,CE11,White Wash Ash,4.88,Wood
M105-35WWA-3,CE14,White Wash Ash,6.18,Wood
M105-BK-1 1/2,CE05,Black,3.95,Wood
M105-BK-2 1/2,CE08,Black,4.63,Wood
M105-BK-3/4,CE04,Black Ash,2.75,Wood
M105-BKA-3,CE14,Black,5.63,Wood
M105-CH-1 1/2,CE05,Chocolate Ash,3.50,Wood
M105-DW-3/4,CE04,Dark Walnut Ash,3.59,Wood
M105-ESP-1 1/2,CE05,Espresso,3.50,Wood
M105-ESP-3/4,CE04,Espresso,3.59,Wood
M105-LW-1 1/2,CE05,Light Walnut Ash,3.50,Wood
M105-LW-3/4,CE04,Light Walnut Ash,3.59,Wood
M105-RA-1 1/2,CE04,Raw Ash,2.83,Wood
M105-RA-2 1/2,CE07,Raw Ash,4.20,Wood
M105-RA-3,CE13,Raw Ash,5.09,Wood
M105-RA-3/4,CE03,Raw Ash,1.44,Wood
M105-RB-3/4,CE02,Raw Bass,1.38,Wood
M105-RM-1 1/2,CE08,Raw Maple,3.94,Wood
M105-WH-1 1/2,CE05,White,3.50,Wood
M105-WH-2 1/2,CE08,White Ash,5.44,Wood
M105-WH-3,CE14,White On Ash,6.49,Wood
M105-WH-3/4,CE04,White,3.59,Wood
M106-BK-2,CE05,Black N/ Linen,5.30,Wood
M106-BKL-2,CE06,Black W/Linen,5.61,Wood
M106-DW-2,CE05,Dark Walnut N/ Linen,5.30,Wood
M106-DWL-2,CE06,Dark Walnut W/ Linen,5.61,Wood
M106-LW-2,CE05,Light Walnut  N/ Linen,5.30,Wood
M106-LWL-2,CE06,Light Walnut W/ Linen,5.61,Wood
M107-BK-1 3/4,CE05,Black  Discontinued,3.85,Wood
M107-MAH-1 3/4,CE05,Mahogany Discontinued,3.85,Wood
M107-W-1 3/4,CE05,Walnut Discontinued,3.85,Wood
M112-BK-2 1/4,CE17,Black Floater,13.19,Wood
M112-SS-2 1/4,CE17,Spray Silver,13.19,Wood
M112-WH-2 1/4,CE17,White Floater,13.19,Wood
M114-BK-1 1/8,CE04,Black,2.86,Wood
M115-BK-9/16,CE04,Black,2.71,Wood
M115-SI-9/16,CE04,Silver Discontinued,3.66,Wood
M117-MAH-1 1/2,CE08,Mahogany,3.54,Wood
M117-MAH-2 1/2,CE12,Mahogany,5.04,Wood
M117-W-1 1/2,CE08,Walnut,3.54,Wood
M117-W-2 1/2,CE12,Walnut,5.04,Wood
M120-BK-1 3/4,CE10,Black,4.05,Wood
M120-BR-1 3/4,CE10,Brown,4.05,Wood
M120-MAH-1 3/4,CE10,Mahogany,4.05,Wood
M121-290-1 3/4,CE11,Dk Mah & Gold Lip,5.40,Wood
M121-290-2 3/4,CE17,Dk Mah & Gold Lip,9.94,Wood
M121-293-1 3/4,CE11,Dk Mah & Silver Lip,5.40,Wood
M121-293-2 3/4,CE17,Dk Mah & Silver Lip,9.94,Wood
M124-01B-7/8,CE07,Gold Leaf Top,3.99,Wood
M124-02B-7/8,CE07,Silver Leaf Top,3.99,Wood
M124-BK-7/8,CE03,Black,1.97,Wood
M124-BKG-7/8,CE05,Black Gold Lip,2.43,Wood
M124-BKGS-7/8,CE05,BlackGoldLipScratched,2.43,Wood
M124-BKS-7/8,CE05,Black Silver Lip,2.43,Wood
M124-GR-7/8,CE03,Green  Discontinued,3.74,Wood
M124-NB-7/8,CE03,Navy Blue,2.03,Wood
M124-RED-7/8,CE03,Red,3.74,Wood
M124-WH-7/8,CE03,White,1.97,Wood
M124-Y-7/8,CE03,Yellow    Discontinued,3.74,Wood
M126-BK-2 7/16,CE19,Black with Beads,18.42,Wood
M126-GOL-2 7/16,CE19,Gold Leaf with Beads,17.17,Wood
M126-SIL-2 7/16,CE19,Silver Leaf with Beads,17.17,Wood
M127-BR-1 1/2,CE09,Brown,9.94,Wood
M127-BR-2 1/2,CE17,Brown,16.77,Wood
M127-DBR-1 1/2,CE09,Dark Brown Ebany,9.94,Wood
M127-DBR-2 1/2,CE17,Dark Brown Ebony,16.77,Wood
M128-GOL-1 1/4,CE10,Gold Leaf,5.18,Wood
M128-SIL-1 1/4,CE10,Silver Leaf,7.71,Wood
M128-SIL-2 1/8,CE14,Silver Leaf,13.77,Wood
M129-BKG-1,CE08,Black with Gold Leaf,5.56,Wood
M129-BKG-2 1/4,CE11,Black with Gold Leaf,9.98,Wood
M130-01-3/4,CE05,Gold Foil,1.99,Wood
M130-02-3/4,CE05,Silver Foil,1.99,Wood
M130-07-1,CE05,Black,3.05,Wood
M130-08-1,CE05,White,3.05,Wood
M130-17-1,CE05,Charcoal,3.05,Wood
M130-17-1 1/4,CE10,Charcoal,4.81,Wood
M130-17-2 1/4,CE18,Charcoal   Discontinued,10.65,Wood
M130-BK-1 1/4,CE06,Black,2.68,Wood
M130-BK-1 1/8,CE06,Black  Discontinued,4.20,Wood
M130-BK-1 3/4,CE08,Black Bevel,4.98,Wood
M130-BK-1 3/8,CE06,Black Bevel,4.88,Wood
