item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
26B,5/8 SATIN WALNUT POPLAR BURL,2.42,4.48,5.60, 3/8 , 5/8 ,Wood
36C,3/4 SATIN WLNT BURL,2.68,4.96,6.20, 3/8 , 3/4 ,Wood
50F,1 1/4 MAHOGANY VENEER REVERSE,4.40,7.82,9.78, 7/16,1  1/4 ,Wood
52D,1 1/8 SATIN WALNUT POPLAR BURL,3.68,6.57,8.21, 3/8 ,1  1/8 ,Wood
55E,1 1/2 SATIN WALNUT POPLAR BURL,4.50,7.87,9.84, 3/8 ,1  1/2 ,Wood
59C,1/2 BLACK CERTIFICATE,2.31,4.09,5.10, 9/16, 1/2 ,Wood
79A,1/2 ROUND BLACK,1.59,2.88,3.59, 5/16, 1/2 ,Wood
104B,3/4 OG BLACK,1.98,3.56,4.45, 1/4 , 3/4 ,Wood
163A,1/2 OG BLACK,1.74,3.11,3.89, 1/4 , 1/2 ,Wood
024-600,3 ANTIQUE GREY AGED PINE,5.35,10.44,13.57, 1/2 ,3,Wood
024-800,3 ANTIQUE BLACK AGED PINE,5.35,10.44,13.57, 1/2 ,3,Wood
254B,1/2 MAHOGANY VENEER WITH BLACK,2.53,4.69,5.86, 3/8 , 1/2 ,Wood
026-500,2 COFFEE AGED PINE,3.90,7.60,9.88, 1/2 ,2,Wood
026-600,2 GREY AGED PINE,3.90,7.60,9.88, 1/2 ,2,Wood
026-700,2 NATURAL AGED PINE,3.90,7.60,9.88, 1/2 ,2,Wood
026-800,2 BLACK AGED PINE,3.90,7.60,9.88, 1/2 ,2,Wood
263C,1 OG BLACK,2.40,4.18,5.23, 5/16,1,Wood
265C,3/4 BLONDE VENEER,2.78,5.13,6.42, 3/8 , 3/4 ,Wood
028-500,1 1/4 ANTIQUE COFFEE AGED PINE,2.82,5.50,7.15, 1/2 ,1  1/4 ,Wood
028-600,1 1/4 ANTIQUE GREY AGED PINE,2.82,5.50,7.15, 1/2 ,1  1/4 ,Wood
028-700,1 1/4 ANTIQUE NATURAL AGED,2.82,5.50,7.15, 1/2 ,1  1/4 ,Wood
028-800,1 1/4 ANTIQUED BLACK AGED,2.82,5.50,7.15, 1/2 ,1  1/4 ,Wood
334A,3/4 FLAT BLACK,2.05,3.69,4.61, 3/8 , 7/8 ,Wood
381D,3/4 BLACK CERTIFICATE,2.91,5.11,6.38, 7/8 , 3/4 ,Wood
438D,1 1/4 FLAT SHAKER,3.39,6.02,7.52, 3/8 ,1  1/4 ,Wood
440C,1 1/4 HONEY BURL,5.00,9.24,11.55, 7/16,1  1/4 ,Wood
442D,1 5/8 FLAT SHAKER,4.35,7.52,9.39, 3/8 ,1  5/8 ,Wood
445B,3/4 FLAT SHAKER,2.68,4.96,6.20, 3/8 , 3/4 ,Wood
450A,1/2 BLACK,1.72,3.10,3.88, 3/8 , 1/2 ,Wood
571E,1 1/2 BLONDE VENEER,4.40,7.82,9.78, 3/8 ,1  1/2 ,Wood
574B,"5/8 BLACK CAP-3/4"" DEEP",2.46,4.37,5.46,13/16, 5/8 ,Wood
575D,1 1/8 BLONDE VENEER BURL,3.53,6.29,7.87, 3/8 ,1  1/8 ,Wood
664D,3/4 MAHOGANY VENEER WITH BLACK,2.72,5.03,6.29, 3/8 , 3/4 ,Wood
748G,2 1/8 GREEN PANEL WITH GOLD,7.18,13.28,16.60, 1/2 ,2  1/8 ,Wood
773D,7/8 REVERSE BROWN,3.83,7.08,8.86, 1/2 , 7/8 ,Wood
781G,2 1/8 BROWN PANEL WITH GOLD,7.18,13.28,16.60, 1/2 ,2  1/8 ,Wood
825L,1 1/2 REVERSE BURL,9.55,16.40,20.51, 7/8 ,1  1/2 ,Wood
832F,3/4 REVERSE BURL WITH BLACK,5.40,9.42,11.78, 1/2 , 3/4 ,Wood
