category,item,description, cost , dimensions 
BAINBRIDGE,8570B4060,40X60 ICE BLUE ALPHA,  53.10 , 40x60 
BAINBRIDGE,TM8321VB4060,40X60 SPANISH WHITE BC VELLUM,  92.40 , 40x60 
BAINBRIDGE,TM8463VB4060,40X60 SPANISH WHITE VELLUM,  83.30 , 40x60 
BAINBRIDGE,TM8517B4060,40X60 IVORY BLACK,  83.30 , 40x60 
BAINBRIDGE,8260B4060,40X60 ICE WHITE,  53.10 , 40x60 
BAINBRIDGE,8301B4060,40X60 IVORY BLACK SABLE,  64.30 , 40x60 
BAINBRIDGE,8313B4060,40X60 SNOWFLAKE SABLE,  64.30 , 40x60 
BAINBRIDGE,8321B4060,40X60 BRUSHED ONYX SABLE CORE,  64.30 , 40x60 
BAINBRIDGE,8445B4060,40X60 FIDDLEHEAD,  53.10 , 40x60 
BAINBRIDGE,8448B4060,40X60 JALAPENO,  53.10 , 40x60 
BAINBRIDGE,8450B4060,40X60 DENIM BLUE,  53.10 , 40x60 
BAINBRIDGE,8462VB4060,40x60 WHEAT,  53.10 , 40x60 
BAINBRIDGE,8463B4060,40X60 SPANISH WHITE,  53.10 , 40x60 
BAINBRIDGE,8464B4060,40X60 MATTE WHITE,  53.10 , 40x60 
BAINBRIDGE,8465VB4060,40X60 IGLOO,  53.10 , 40x60 
BAINBRIDGE,8466B4060,40X60 FROST,  53.10 , 40x60 
BAINBRIDGE,8479B4060,40X60 IMPERIAL PLUM,  53.10 , 40x60 
BAINBRIDGE,8505B4060,40X60 TEAL GRAY ALPHA,  53.10 , 40x60 
BAINBRIDGE,8506B4060,40X60 TUSCAN BROWN,  53.10 , 40x60 
BAINBRIDGE,8509B4060,40X60 MALACCA ALPHA,  53.10 , 40x60 
BAINBRIDGE,8515B4060,40X60 DOVER GREY,  53.10 , 40x60 
BAINBRIDGE,8517B4060,40X60 IVORY BLACK ALPHA,  53.10 , 40x60 
BAINBRIDGE,8518B4060,40X60 ASH ALPHA,  53.10 , 40x60 
BAINBRIDGE,8519B4060,40X60 SNOWFLAKE ALPHA,  53.10 , 40x60 
BAINBRIDGE,8520B4060,40X60 TALC ALPHA,  53.10 , 40x60 
BAINBRIDGE,8526B4060,40X60 INDIGO ALPHA,  53.10 , 40x60 
BAINBRIDGE,8527B4060,40X60 ALMANDINE ALPHA,  53.10 , 40x60 
BAINBRIDGE,8540B4060,40X60 TARTAN GREEN,  53.10 , 40x60 
BAINBRIDGE,8559B4060,40X60 PHOTO WHITE ALPHA,  53.10 , 40x60 
BAINBRIDGE,8634.8B4060,40X60 WHITE 8PLY ALPHARAG,  160.50 , 40x60 
BAINBRIDGE,8634B4060,40x60 WHITE 4PLY ALPHARAG,  70.70 , 40x60 
BAINBRIDGE,8644B4060,40X60 EBONY,  107.00 , 40x60 
BAINBRIDGE,8647.8B4060,40X60 PEARL WHT 8 PLY ALPHARAG,  160.50 , 40x60 
BAINBRIDGE,8647B4060,40X60 PEARL WHITE,  70.70 , 40x60 
BAINBRIDGE,8655B4060,40X60 PURE WHITE 4PLY,  70.70 , 40x60 
BAINBRIDGE,8667B4060,40X60 COLONIAL CREAM,  73.60 , 40x60 
BAINBRIDGE,8740.8B4060,40X60 SOLID WHITE 8PLY ALPHA E,  135.00 , 40x60 
BAINBRIDGE,8740B4060,40X60 SOLID WHITE ALPHA ESSENT,  65.10 , 40x60 
BAINBRIDGE,8741B4060,40X60 SOLID BLACK ALPHA ESSENT,  65.10 , 40x60 
BAINBRIDGE,4097B4060,40X60 CAMEL NEW THREADS,  114.50 , 40x60 
BAINBRIDGE,4099B4060,40X60 NIGHTSHADE BASICS NEW TH,  114.50 , 40x60 
BAINBRIDGE,4101B4060,40X60 NAVY BASICS NEW THREADS,  114.50 , 40x60 
BAINBRIDGE,4104B4060,40X60 WHITE BASICS NEW THREADS,  114.50 , 40x60 
BAINBRIDGE,4113B4060,40X60 AUTUMN FROST NEW THREADS,  114.50 , 40x60 
BAINBRIDGE,4115B4060,40X60 FOREST FLOOR BASICS NEW,  114.50 , 40x60 
BAINBRIDGE,4126B4060,40X60 MAJESTIC BROWN BASICS N,  114.50 , 40x60 
BAINBRIDGE,4127B4060,40X60 BRICK OVEN BASICS NEW TH,  114.50 , 40x60 
BAINBRIDGE,4135B4060,40X60 CAFE AU LAIT NEW TH BASI,  114.50 , 40x60 
BAINBRIDGE,4150B4060,40X60 MIDNIGHT SUEDE BASICS,  90.70 , 40x60 
BAINBRIDGE,4165B4060,40X60 COAL SUEDE BASICS,  90.70 , 40x60 
BAINBRIDGE,4176B4060,40X60 WHITE SUEDE BASICS,  90.70 , 40x60 
BAINBRIDGE,4180B4060,40X60 CABERNET SUEDE,  90.70 , 40x60 
BAINBRIDGE,4183B4060,40X60 PERSIMMON SUEDE,  90.70 , 40x60 
BAINBRIDGE,4216B4060,40X60 VIVID PURPLE SUEDE,  90.70 , 40x60 
BAINBRIDGE,4223B4060,40X60 BLAZE BASICS SUEDE,  90.70 , 40x60 
BAINBRIDGE,4233B4060,40X60 BALSAM SUEDE BASICS,  90.70 , 40x60 
BAINBRIDGE,4236B4060,40X60 BLUEBERRY SUEDE BASICS,  90.70 , 40x60 
BAINBRIDGE,12058B,MOSAIC BLUE SELECT ORIG BAIN,  16.50 , 32x40 
BAINBRIDGE,12087B,BRIGHTEST WHITE SELECT BAIN,  16.50 , 32x40 
BAINBRIDGE,12091B,CHARTREUSE SELECT ORIG BAIN,  16.50 , 32x40 
BAINBRIDGE,12094B,ULTRA VIOLET SELECT OG BAIN,  16.50 , 32x40 
BAINBRIDGE,4415B,BONSAI BROWN TATAMI SILK,  86.70 , 32x40 
BAINBRIDGE,TM8012B,ONYX 8 PLY,  55.00 , 32x40 
BAINBRIDGE,TM8321VB,SPANISH WHITE BC VELLUM,  42.60 , 32x40 
BAINBRIDGE,TM8463VB,SPANISH WHITE VELLUM,  37.90 , 32x40 
BAINBRIDGE,TM8464VB,MATTE WHITE VELLUM,  37.90 , 32x40 
BAINBRIDGE,TM8465VB,IGLOO VELLUM,  37.90 , 32x40 
BAINBRIDGE,TM8466B,FROST,  37.90 , 32x40 
BAINBRIDGE,TM8517B,IVORY BLACK,  37.90 , 32x40 
BAINBRIDGE,TM8519B,SNOWFLAKE,  37.90 , 32x40 
BAINBRIDGE,TM8520B,TALC,  37.90 , 32x40 
BAINBRIDGE,TM8559VB,PHOTO WHITE VELLUM,  37.90 , 32x40 
BAINBRIDGE,TM8744B,MALACCA 8PLY,  60.30 , 32x40 
BAINBRIDGE,TM8749B,CHROME 8PLY,  60.30 , 32x40 
BAINBRIDGE,TM8751B,ASH 8PLY,  60.30 , 32x40 
BAINBRIDGE,108506B,CHOCOLATE SWIRL ALPHA HERITAGE,  32.40 , 32x40 
BAINBRIDGE,468085B,FORGED IRON ALPHA,  40.20 , 32x40 
BAINBRIDGE,608155B,TORNADO VINTAGE,  32.40 , 32x40 
BAINBRIDGE,608181B,BLACK DENIM VINTAGE,  32.40 , 32x40 
BAINBRIDGE,608512B,JAVA VINTAGE,  32.40 , 32x40 
BAINBRIDGE,648442B,BLACK ASH ALPHA,  32.40 , 32x40 
BAINBRIDGE,768528B,BARNYARD,  32.40 , 32x40 
BAINBRIDGE,8002B,SILVER,  31.50 , 32x40 
BAINBRIDGE,8003B,GOLD,  31.50 , 32x40 
BAINBRIDGE,8004B,WARM GOLD,  31.50 , 32x40 
BAINBRIDGE,8006B,BRUSHED SILVER,  31.50 , 32x40 
BAINBRIDGE,8007B,BRUSHED PALE GOLD,  31.50 , 32x40 
BAINBRIDGE,8008B,BRUSHED GOLD,  31.50 , 32x40 
BAINBRIDGE,8012B,BRUSHED ONYX,  31.50 , 32x40 
BAINBRIDGE,8013B,MATADOR,  24.00 , 32x40 
BAINBRIDGE,8014B,GREY QUARTZ,  31.50 , 32x40 
BAINBRIDGE,8015B,SMOKEY TOPAZ,  31.50 , 32x40 
BAINBRIDGE,8020B,RED RAVE,  31.50 , 32x40 
BAINBRIDGE,8022B,LEMONDROP,  31.50 , 32x40 
BAINBRIDGE,8027B,MANGO,  31.50 , 32x40 
BAINBRIDGE,8037B,LIME,  31.50 , 32x40 
BAINBRIDGE,8042B,LIGHT MARINE,  31.50 , 32x40 
BAINBRIDGE,8052B,PRECIOUS PINK,  24.00 , 32x40 
BAINBRIDGE,8055B,ARDENT BLUE,  24.00 , 32x40 
BAINBRIDGE,8056B,BALMY BLUE,  24.00 , 32x40 
BAINBRIDGE,8061B,URBAN BLACK,  31.50 , 32x40 
BAINBRIDGE,8083B,GOLDEN MOCHA ALPHA PREC METAL,  31.50 , 32x40 
