category,item,description, chop , cost , JOIN , group , size decimal 
BELLA,520263,OXIDE 1 5/8 MOCHA RUST CENTURY,  19.97 ,  11.98 ,  28.53 ,Wood,  1.63 
BELLA,520266,OXIDE 1 5/8 TEAL RUST CENTURY,  19.97 ,  11.98 ,  28.53 ,Wood,  1.63 
BELLA,520267,OXIDE 1 5/8 BLACK RUST CENTURY,  19.97 ,  11.98 ,  28.53 ,Wood,  1.63 
BELLA,520270,OXIDE 1 OXBLOOD RUST MIDCENTUR,  15.34 ,  9.20 ,  21.91 ,Wood,  1.00 
BELLA,520271,OXIDE 1 TEAL RUST MIDCENTURY,  15.34 ,  9.20 ,  21.91 ,Wood,  1.00 
BELLA,520272,OXIDE 1 BLACK RUST MIDCENTURY,  15.34 ,  9.20 ,  21.91 ,Wood,  1.00 
BELLA,520342,BRAMBLE 9/16 CHESTNUT,  9.23 ,  5.54 ,  13.18 ,Wood,  0.56 
BELLA,520343,BRAMBLE 9/16 HONEYSUCKLE,  9.23 ,  5.54 ,  13.18 ,Wood,  0.56 
BELLA,520344,BRAMBLE 9/16 PRIMROSE,  9.23 ,  5.54 ,  13.18 ,Wood,  0.56 
BELLA,520345,BRAMBLE 9/16 THISTLE,  9.23 ,  5.54 ,  13.18 ,Wood,  0.56 
BELLA,520346,BRAMBLE 9/16 GOLDENROD,  9.23 ,  5.54 ,  13.18 ,Wood,  0.56 
BELLA,520521,QUARRY 1 3/16 LILAC AMETHYST,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520522,QUARRY 1 3/16 ROSE QUARTZ,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520523,QUARRY 1 3/16 WHITE MOONSTONE,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520524,QUARRY 1 3/16 TURQUOISE,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520525,QUARRY 1 3/16 GREEN JASPER,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520526,QUARRY 1 3/16 LAPIS LAZULI,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520527,QUARRY 1 3/16 TIGERS EYE,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520528,QUARRY 1 3/16 RED GARNET,  34.78 ,  20.87 ,  49.69 ,Wood,  1.19 
BELLA,520581,GARDA 2 MORNING MIST MTN PINE,  38.69 ,  23.21 ,  55.27 ,Wood,  2.00 
BELLA,520582,GARDA 2 SHADOW BLACK MTN PINE,  38.69 ,  23.21 ,  55.27 ,Wood,  2.00 
BELLA,520583,GARDA 2 LILAC SKY MTN PINE,  38.69 ,  23.21 ,  55.27 ,Wood,  2.00 
BELLA,520584,GARDA 2 CERULEAN MTN PINE,  38.69 ,  23.21 ,  55.27 ,Wood,  2.00 
BELLA,520585,GARDA 2 GILDED SUN MTN PINE,  38.69 ,  23.21 ,  55.27 ,Wood,  2.00 
BELLA,520586,GARDA 2 CASTELLO GREY MTN PINE,  38.69 ,  23.21 ,  55.27 ,Wood,  2.00 
BELLA,520587,GARDA 1 1/16 MORNING MIST ORNA,  31.10 ,  18.66 ,  44.43 ,Wood,  1.06 
BELLA,520588,GARDA 1 1/16 SHADOW BLACK ORNA,  31.10 ,  18.66 ,  44.43 ,Wood,  1.06 
BELLA,520589,GARDA 1 1/16 LILAC SKY ORNATE,  31.10 ,  18.66 ,  44.43 ,Wood,  1.06 
BELLA,520590,GARDA 1 1/16 CERULEAN ORNATE,  31.10 ,  18.66 ,  44.43 ,Wood,  1.06 
BELLA,520591,GARDA 1 1/16 GILDED SUN ORNATE,  31.10 ,  18.66 ,  44.43 ,Wood,  1.06 
BELLA,520592,GARDA 1 1/16 CASTELLO GREY ORN,  31.10 ,  18.66 ,  44.43 ,Wood,  1.06 
BELLA,520625,JARDIN 1 3/8 DUSTED MOON,  36.38 ,  21.83 ,  51.97 ,Wood,  1.38 
BELLA,520626,JARDIN 1 3/8 SUN KING GOLD,  36.38 ,  21.83 ,  51.97 ,Wood,  1.38 
BELLA,520627,JARDIN 1 3/8 SOIL BLACK,  36.38 ,  21.83 ,  51.97 ,Wood,  1.38 
BELLA,520628,JARDIN 1 3/8 FOUNTAIN GREY,  36.38 ,  21.83 ,  51.97 ,Wood,  1.38 
BELLA,520629,JARDIN 1 3/8 BORDEAU BRICK,  36.38 ,  21.83 ,  51.97 ,Wood,  1.38 
BELLA,520630,JARDIN 1 3/8 DELPHINIM BLUE,  36.38 ,  21.83 ,  51.97 ,Wood,  1.38 
BELLA,520631,JARDIN 1 3/8 AQUA VERT,  36.38 ,  21.83 ,  51.97 ,Wood,  1.38 
BELLA,520632,HELENA 3/4 BLACK COINS,  30.61 ,  18.36 ,  43.72 ,Wood,  0.75 
BELLA,520633,HELENA 3/4 GREEN COINS,  30.61 ,  18.36 ,  43.72 ,Wood,  0.75 
BELLA,520634,HELENA 3/4 BLUECOINS,  30.61 ,  18.36 ,  43.72 ,Wood,  0.75 
BELLA,520635,HELENA 3/4 PURPLE COINS,  30.61 ,  18.36 ,  43.72 ,Wood,  0.75 
BELLA,520636,HELENA 3/4 CYPRESS COINS,  30.61 ,  18.36 ,  43.72 ,Wood,  0.75 
BELLA,520637,HELENA 3/4 LINEN COINS,  30.61 ,  18.36 ,  43.72 ,Wood,  1.00 
BELLA,520680,ALHAMBRA 1 COBALT,  16.25 ,  10.57 ,  23.20 ,Wood,  1.00 
BELLA,520681,ALHAMBRA 1 PURPLE,  16.25 ,  10.57 ,  23.20 ,Wood,  1.00 
BELLA,520682,ALHAMBRA 1 RED,  16.25 ,  10.57 ,  23.20 ,Wood,  1.00 
BELLA,520683,ALHAMBRA 1 BROWN,  16.25 ,  10.57 ,  23.20 ,Wood,  1.00 
BELLA,520684,ALHAMBRA 1 TURQUOISE,  16.25 ,  10.57 ,  23.20 ,Wood,  1.00 
BELLA,520685,ALHAMBRA 1 OLIVED PERIDOT,  16.25 ,  10.57 ,  23.20 ,Wood,  1.00 
BELLA,520686,ALHAMBRA 1 CREAM,  16.25 ,  10.57 ,  23.20 ,Wood,  1.00 
BELLA,554623,TAPPO 1 NATURAL CORK,  11.75 ,  7.05 ,  16.78 ,Wood,  1.00 
BELLA,554624,TAPPO 1 DOVE CORK,  11.75 ,  7.05 ,  16.78 ,Wood,  1.00 
BELLA,554625,TAPPO 1 COCOA CORK,  11.75 ,  7.05 ,  16.78 ,Wood,  1.00 
BELLA,554626,TAPPO 1 CONCRETE CORK,  11.75 ,  7.05 ,  16.78 ,Wood,  1.00 
BELLA,554627,TAPPO 1 INDIGO CORK,  11.75 ,  7.05 ,  16.78 ,Wood,  1.00 
BELLA,554628,TAPPO 1 MUSHROOM CORK,  11.75 ,  7.05 ,  16.78 ,Wood,  1.00 
BELLA,554718,FRIDA 1 15/16 BLACK EMBOSSED,  19.80 ,  11.88 ,  28.28 ,Wood,  1.94 
BELLA,554719,FRIDA 1 15/16 XOLO NERO EMBOSS,  19.80 ,  11.88 ,  28.28 ,Wood,  1.94 
BELLA,554720,FRIDA 1 15/16 IRON EMBOSSED,  19.80 ,  11.88 ,  28.28 ,Wood,  1.94 
BELLA,554721,FRIDA 1 15/16 BRONZE EMBOSSED,  19.80 ,  11.88 ,  28.28 ,Wood,  1.94 
BELLA,554722,FRIDA 1 15/16 GOLD EMBOSSED,  19.80 ,  11.88 ,  28.28 ,Wood,  1.94 
BELLA,554723,FRIDA 1 15/16 CALLA LILY EMBOS,  19.80 ,  11.88 ,  28.28 ,Wood,  1.94 
BELLA,554725,FRIDA 11/16 BLACK EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554726,FRIDA 11/16 NERO EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554727,FRIDA 11/16 MOLE ROJO EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554728,FRIDA 11/16 CASA AZUL EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554729,FRIDA 11/16 CORAZON EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554730,FRIDA 11/16 QUINCEANERA EMBOSS,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554731,FRIDA 11/16 MARIGOLD EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554732,FRIDA 11/16 IRON EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554733,FRIDA 11/16 BRONZE EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554734,FRIDA 11/16 AZTEC GOLD EMBOSSE,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554735,FRIDA 11/16 CALLA LILY EMBOSSE,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554737,FRIDA 11/16 NOPALES EMBOSSED,  11.60 ,  6.96 ,  16.58 ,Wood,  0.69 
BELLA,554738,BUNGALOW 1 1/2 BLACK DIAMOND,  27.17 ,  16.30 ,  38.82 ,Wood,  1.50 
BELLA,554739,BUNGALOW 1 1/2 BROWN DIAMOND,  27.17 ,  16.30 ,  38.82 ,Wood,  1.50 
BELLA,554740,BUNGALOW 1 1/2 WHITE DIAMOND,  27.17 ,  16.30 ,  38.82 ,Wood,  1.50 
BELLA,554741,BUNGALOW 1 1/2 BLUE DIAMOND,  27.17 ,  16.30 ,  38.82 ,Wood,  1.50 
BELLA,554742,BUNGALOW 1 1/2 MUSTARD DIAMOND,  27.17 ,  16.30 ,  38.82 ,Wood,  1.50 
BELLA,554743,BUNGALOW 1 1/2 SAGE DIAMOND,  27.17 ,  16.30 ,  38.82 ,Wood,  1.50 
BELLA,554744,BUNGALOW 1 1/2 ORANGE DIAMOND,  27.17 ,  16.30 ,  38.82 ,Wood,  1.50 
BELLA,590001,BIJOU 3/4 BLANC D'ARGENT,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,590002,BIJOU 3/4 ROUGE D'ARGENT,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,590003,BIJOU 3/4 VERT D'OR,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,590004,BIJOU 3/4 BLEU D'ARGENT,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,590005,BIJOU 3/4 GRIS D'ARGENT,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,590006,BIJOU 3/4 TAUPE D'OR,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,590007,BIJOU 3/4 NOIR D'ARGENT,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,590008,BIJOU 3/4 NOIR DI BRONZE,  11.20 ,  6.72 ,  16.01 ,Wood,  0.75 
BELLA,740009,AURORA 1 3/16 BLACK BLOCK,  13.13 ,  7.88 ,  18.75 ,Wood,  1.19 
BELLA,740010,AURORA 1 3/16 GREY GALAXY BLOC,  13.13 ,  7.88 ,  18.75 ,Wood,  1.19 
BELLA,740011,AURORA 1 3/16 SILVER BLOCK,  13.13 ,  7.88 ,  18.75 ,Wood,  1.19 
BELLA,740012,AURORA 1 3/16 MERCURY BLOCK,  13.13 ,  7.88 ,  18.75 ,Wood,  1.19 
BELLA,740013,AURORA 1 3/16 SUN FLARE GOLD B,  13.13 ,  7.88 ,  18.75 ,Wood,  1.19 
BELLA,740014,AURORA 3/4 GREY GALAXY CAP,  12.73 ,  7.64 ,  18.19 ,Wood,  0.75 
BELLA,740015,AURORA 3/4 SOLAR SILVER CAP,  12.73 ,  7.64 ,  18.19 ,Wood,  0.75 
BELLA,740016,AURORA 3/4 MERCURY CAP,  12.73 ,  7.64 ,  18.19 ,Wood,  0.75 
