item,description,width,rabbet,cost,chop,join,group
537CCG-B,Cotton Candy Grande-Blue,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537CCG-G,Cotton Candy Grande-Grey,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537CCG-L,Cotton Candy Grande-Lav.,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537CCG-P,Coton Candy Grande-Pink,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537CCG-Y,Cotton Candy Grande-Yello,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537FD-CL,Fourth Dimension-Clouds,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537FD-IC,Fourth Dimension-Icing,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537FD-RO,Fourth Dimension-Romance,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
537FD-RV,Fourth Dimension-Rivers,"1 1/4""","1 1/4""",$14.00,$15.00,$17.00,Wood
703-LU-WD,Luminous-White Diamond,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-AM,Luminous-Amethyst,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-BP,Luminous-Black Pearl,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-BR,Luminous-Bronzeit,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-CI,Luminous-Citrine,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-EM,Luminous-Emerald,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-GP,Luminous-Grey Pearl,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-IP,Luminous-Ivory Pearl,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-OP,Luminous-Opal,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-PQ,Luminous-Pink Quartz,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-RU,Luminous-Ruby,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-SA,Luminous-Sapphire,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-SL,Luminous-Siltstone,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-TA,Luminous-Tanzanite,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
703LU-TU,Luminous-Turquoise,"13/16""","6/16""",$9.25,$10.25,$12.25,Wood
871B-GOBL,Brocade-Gold on Black,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871B-SIGR,Brocade-Silver on Grey,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871CAM,Camouflage,"1 1/2""","3/8""",$14.00,$15.00,$17.00,Wood
871CCT-B,Cotton Candy Tall-Blue,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871CCT-G,Cotton Candy Tall-Grey,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871CCT-L,Cotton Candy Tall-Lavender,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871CCT-P,Cotton Candy Tall-Pink,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871CCT-Y,Cotton Candy Tall-Yellow,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871L-CO,Lava-Copper,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871L-SH,Lava-Shale,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871O-BV,Overtones-Burg. Vineyard,1 1/2',"3/8""",$12.00,$13.00,$15.00,Wood
871O-OW,Overtones-Ocean Wave,1 1/2',"3/8""",$12.00,$13.00,$15.00,Wood
871O-PG,Overtones-Pastoral Green,1 1/2',"3/8""",$12.00,$13.00,$15.00,Wood
871PARKER,Parker,"1 1/2""","3/8""",N/A,N/A,$14.00,Wood
871TD-CL,Third Dimension-Clouds,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871TD-IC,Third Dimension-Icing,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871TD-RO,Third Dimension-Romance,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
871TD-RV,Third Dimension-Rivers,"1 1/2""","3/8""",$12.00,$13.00,$15.00,Wood
967IMFB,Imperial-Mod. Fres. Bright,"1""","2 1/4""",$18.00,$19.00,$21.50,Wood
