ITEM,description,WIDTH,cost,group
A26200,WINTER WHT 32X40 2PL RAG 50PK,32x40,24.03,Matboard
A3501,LINEN MOON FABRIC 32X40 ARTQ,32x40,129.68,Matboard
A3503,DISC-LINEN MOHAIR FABRIC 32X40,32x40,54.63,Matboard
A3505,DISC-GINGER FABRIC 32X40 ARTQ,32x40,54.63,Matboard
A3506,LINEN DESERT FABRIC 32X40 ARTQ,32x40,162.69,Matboard
A3507,DISC-SADDLE FABRIC 32X40 ARTQ,32x40,54.63,Matboard
A3508,LINEN TWILITE FABRC 32X40 ARTQ,32x40,54.63,Matboard
A3509,LINEN CARBON FABRC 32X40 ARTQ,32x40,162.7,Matboard
A3510,LINEN DRIFTWOOD 32X40 ARTQ,32x40,96.92,Matboard
A3511,LINEN BLUESTONE 32X40 ARTQ,32x40,96.93,Matboard
A3512,LINEN BLUSTN OWLGRY 32X40 ARTQ,32x40,96.92,Matboard
A3513,LINEN PEPPER 32X40 ARTQ,32x40,96.93,Matboard
A3514,LINEN MYSTIC GREY 32X40 ARTQ,32x40,96.93,Matboard
A3515,LINEN SAILCLOTH 32X40 ARTQ,32x40,96.93,Matboard
A3516,LINEN RIVER ROCK 32X40 ARTQ,32x40,77.3,Matboard
A3517,LINEN LICORICE 32X40 ARTQ,32x40,103.92,Matboard
A3518,LINEN GREY FLANNEL 32X40 ARTQ,32x40,114.13,Matboard
A3519,LINEN FEATHER 32X40 ARTQ,32x40,114.22,Matboard
A3700,SUEDE CHILIPPR FBRC 32X40 ARTQ,32x40,56.15,Matboard
A3701,SUEDE SYRAH FABRIC 32X40 ARTQ,32x40,56.15,Matboard
A3702,SUEDE MINK FABRIC 32X40 ARTQ,32x40,56.14,Matboard
A3703,SUEDE RAINFORST FAB 32X40 ARTQ,32x40,56.15,Matboard
A3704,SUEDE BERMUDA FABRC 32X40 ARTQ,32x40,56.15,Matboard
A3705,SUEDE COBALT FABRC 32X40 ARTQ,32x40,56.15,Matboard
A3706,SUEDE JETBLK FABRC 32X40 ARTQ,32x40,56.15,Matboard
A3800,SUEDE JETBLK FABRC 40X60 ARTQ,40x60,98.47,Matboard
A4101,WHITE 40X60 ARTIQUE,40x60,44.14,Matboard
A4102,OFF WHITE 40X60 ARTIQUE,40x60,44.19,Matboard
A4103,IVORY 40X60 ARTIQUE,40x60,44.2,Matboard
A4104,DEVONSHIRE 40X60 ARTIQUE,40x60,44.08,Matboard
A4105,TRUE BLACK 40X60 ARTIQUE,40x60,43.83,Matboard
A4107,LOGANBERRY 40X60 ARTIQUE,40x60,44.2,Matboard
A4108,ADMIRALTY 40X60 ARTIQUE,40x60,43.74,Matboard
A4109,EMERALD 40X60 ARTIQUE,40x60,43.67,Matboard
A4110,HERITAGE BLUE 40X60 ARTIQUE,40x60,44.19,Matboard
A4111,MAGNOLIA 40X60 ARTIQUE,40x60,44.2,Matboard
A4112,LINEN 40X60 ARTIQUE,40x60,43.86,Matboard
A4113,SNOW WHITE 40X60 ARTIQUE,40x60,44.19,Matboard
A4114,SILVER GHOST 40X60 ARTIQUE,40x60,44.07,Matboard
A4115,PEBBLE 40X60 ARTIQUE,40x60,44.2,Matboard
A4117,LAVENDER 40X60 ARTIQUE,40x60,44.2,Matboard
A4118,CHESTNUT 40X60 ARTIQUE,40x60,44.19,Matboard
A4120,THATCH 40X60 ARTIQUE,40x60,44.2,Matboard
A4121,PINEWOOD 40X60 ARTIQUE,40x60,44.2,Matboard
A4122,DUSKY PINK 40X60 ARTIQUE,40x60,44.2,Matboard
A4124,SPRUCE 40X60 ARTIQUE,40x60,44.2,Matboard
A4125,PEWTER 40X60 ARTIQUE,40x60,43.96,Matboard
A4127,RAVEN 40X60 ARTIQUE,40x60,44.14,Matboard
A4128,WHITECAP 40X60 ARTIQUE,40x60,44.19,Matboard
A4129,INK 40X60 ARTIQUE,40x60,44.2,Matboard
A4130,MARINER 40X60 ARTIQUE,40x60,44.2,Matboard
A4131,MIRO 40X60 ARTIQUE,40x60,44.19,Matboard
A4132,FOREST 40X60 ARTIQUE,40x60,44.2,Matboard
A4133,CYPRESS 40X60 ARTIQUE,40x60,44.2,Matboard
A4134,SANGRIA 40X60 ARTIQUE,40x60,44.19,Matboard
A4135,PARCHMENT 40X60 ARTIQUE,40x60,44.19,Matboard
A4136,STONEHENGE 40X60 ARTIQUE,40x60,44.19,Matboard
A4138,CHALK 40X60 ARTIQUE,40x60,44.2,Matboard
A4139,COAL 40X60 ARTIQUE,40x60,44.19,Matboard
A4140,ONYX 40X60 ARTIQUE,40x60,44.16,Matboard
A4141,NIGHT 40X60 ARTIQUE,40x60,44.13,Matboard
A4142,EVEREST 40X60 ARTIQUE,40x60,44.19,Matboard
A4143,DOVER WHITE 40X60 ARTIQUE,40x60,44.2,Matboard
A4144,OYSTER 40X60 ARTIQUE,40x60,44.2,Matboard
A4145,BUFF 40X60 ARTIQUE,40x60,44.19,Matboard
A4146,RAINIER 40X60 ARTIQUE,40x60,44.2,Matboard
A4147,DIGITAL WHITE 40X60 ARTIQUE,40x60,44.17,Matboard
A4148,DRIZZLE 40X60 ARTIQUE,40x60,38.7,Matboard
A4149,GRAPHITE 40X60 ARTIQUE,40x60,43.89,Matboard
A4150,SAFFRON 40X60 ARTIQUE,40x60,43.89,Matboard
A4151,LAPIS 40X60 ARTIQUE,40x60,44.2,Matboard
A4152,BERRY RED 40X60 ARTIQUE,40x60,44.2,Matboard
A4153,BIRCH 40X60 ARTIQUE,40x60,59.9,Matboard
A4154,COTSWOLD GREY 40X60 ARTIQUE,40x60,59.9,Matboard
A4155,DAIRY SCC BILTMORE 40X60 ARTQ,40x60,55.7,Matboard
A4156,SCHOLAR SCC BILTMRE 40X60 ARTQ,40x60,55.7,Matboard
A4157,CANVAS SCC BILTMORE 40X60 ARTQ,40x60,55.7,Matboard
A4158,IRON SCC BILTMORE 40X60 ARTQ,40x60,55.7,Matboard
A4700,DAIRY SCC BILTMORE 32X40 ARTQ,32x40,32.78,Matboard
A4701,SCHOLAR SCC BILTMRE 32X40 ARTQ,32x40,32.62,Matboard
A4702,CERAMIC SCC BILTMRE 32X40 ARTQ,32x40,32.58,Matboard
A4703,CENTURY SCC BILTMRE 32X40 ARTQ,32x40,32.78,Matboard
A4704,LIMESTONE SCC BLTMR 32X40 ARTQ,32x40,32.78,Matboard
A4705,ANTIQUE SCC BILTMRE 32X40 ARTQ,32x40,32.78,Matboard
A4706,SLATE SCC BILTMORE 32X40 ARTQ,32x40,32.61,Matboard
A4707,PISGAH SCC BILTMORE 32X40 ARTQ,32x40,32.78,Matboard
A4708,CANVAS SCC BILTMORE 32X40 ARTQ,32x40,32.57,Matboard
A4709,IRON SCC BILTMORE 32X40 ARTQ,32x40,32.78,Matboard
A4800,MACADAMIA 32X40 ARTIQUE,32x40,22.44,Matboard
A4801,PARCHMENT 32X40 ARTIQUE,32x40,22.36,Matboard
A4802,OYSTER 32X40 ARTIQUE,32x40,22.44,Matboard
A4803,WHITECAP 32X40 ARTIQUE,32x40,22.42,Matboard
A4804,EGGPLANT 32X40 ARTIQUE,32x40,22.37,Matboard
A4805,CINNABAR 32X40 ARTIQUE,32x40,22.4,Matboard
A4806,ANTIQUE BRICK 32X40 ARTIQUE,32x40,22.39,Matboard
A4807,TUDOR 32X40 ARTIQUE,32x40,22.39,Matboard
A4809,KHAKI 32X40 ARTIQUE,32x40,22.44,Matboard
A4810,CANYON 32X40 ARTIQUE,32x40,22.44,Matboard
A4811,PLATINUM 32X40 ARTIQUE,32x40,22.44,Matboard
A4812,SEASPRAY 32X40 ARTIQUE,32x40,22.44,Matboard
A4813,BLUE ASH 32X40 ARTIQUE,32x40,22.44,Matboard
A4814,JETTY 32X40 ARTIQUE,32x40,22.34,Matboard
A4815,GOBELIN 32X40 ARTIQUE,32x40,22.4,Matboard
A4816,HARBOR BLUE 32X40 ARTIQUE,32x40,22.32,Matboard
A4817,SEASIDE 32X40 ARTIQUE,32x40,22.44,Matboard
A4818,BRIDGEWATER 32X40 ARTIQUE,32x40,22.44,Matboard
A4819,TETON SKY 32X40 ARTIQUE,32x40,22.4,Matboard
A4820,BOTANICAL 32X40 ARTIQUE,32x40,22.44,Matboard
A4821,FOREST 32X40 ARTIQUE,32x40,22.44,Matboard
A4822,EVERGREEN 32X40 ARTIQUE,32x40,22.39,Matboard
A4823,ACORN 32X40 ARTIQUE,32x40,22.4,Matboard
A4825,BALMORAL 32X40 ARTIQUE,32x40,22.37,Matboard
A4826,PUMICE 32X40 ARTIQUE,32x40,22.26,Matboard
A4827,IVY 32X40 ARTIQUE,32x40,22.39,Matboard
A4828,SHARROW BAY 32X40 ARTIQUE,32x40,22.34,Matboard
A4830,VANILLA BEAN 32X40 ARTIQUE,32x40,22.44,Matboard
A4832,PUMPKIN 32X40 ARTIQUE,32x40,22.39,Matboard
A4833,GRAPHITE 32X40 ARTIQUE,32x40,22.4,Matboard
A4834,SANGRIA 32X40 ARTIQUE,32x40,22.36,Matboard
A4835,CYPRESS 32X40 ARTIQUE,32x40,22.44,Matboard
A4836,CLOVE 32X40 ARTIQUE,32x40,22.44,Matboard
A4837,BIRCH 32X40 ARTIQUE,32x40,22.38,Matboard
A4838,GREY FELL 32X40 ARTIQUE,32x40,22.44,Matboard
A4840,GULL 32X40 ARTIQUE,32x40,22.44,Matboard
A4841,GOLD METALLIC 32X40 ARTIQUE,32x40,22.44,Matboard
A4842,SILVER METALLIC 32X40 ARTIQUE,32x40,22.23,Matboard
A4843,INK 32X40 ARTIQUE,32x40,22.4,Matboard
A4844,MOSS 32X40 ARTIQUE,32x40,22.44,Matboard
A4846,CUSTARD 32X40 ARTIQUE,32x40,22.44,Matboard
A4849,NICKEL 32X40 ARTIQUE,32x40,22.44,Matboard
A4851,DOESKIN 32X40 ARTIQUE,32x40,22.44,Matboard
A4852,SAFFRON 32X40 ARTIQUE,32x40,22.44,Matboard
