ITEM,description,fortybysixty,UPC,cost,group
A26200,ARTQ RAG WINTER WHITE 3240 2PL,32x40,720472337366,11.34,Matboard
A3501,ARTQ LINEN MOON 32X40,32x40,720472337229,59.17,Matboard
A3506,ARTQ LINEN DESERT 32X40,32x40,720472337274,59.17,Matboard
A3509,ARTQ LINEN CARBON 32X40,32x40,720472337588,59.17,Matboard
A3510,ARTQ LINEN DRIFTWOOD 32X40,32x40,731717633303,39.37,Matboard
A3511,ARTQ LINEN BLUESTONE 32X40,32x40,731717633310,39.37,Matboard
A3512,ARTQ LINEN OWL GREY 32X40,32x40,731717633327,39.37,Matboard
A3513,ARTQ LINEN PEPPER 32X40,32x40,731717633334,39.37,Matboard
A3514,ARTQ LINEN MYSTIC GREY 32X40,32x40,731717633341,39.37,Matboard
A3515,ARTQ LINEN SAILCLOTH 32X40,32x40,731717633358,39.37,Matboard
A3516,ARTQ LINEN RIVER ROCK 32X40,32x40,731717633365,39.37,Matboard
A3517,ARTQ LINEN LICORICE 32X40,32x40,731717633372,59.16,Matboard
A3518,ARTQ LINEN GREY FLANNEL 32X40,32x40,731717633389,59.16,Matboard
A3519,ARTQ LINEN FEATHER 32X40,32x40,731717633396,59.16,Matboard
A3700,ARTQ SUEDE CHILI PEPPER 32X40,32x40,720472337281,35.74,Matboard
A3701,ARTQ SUEDE SYRAH 32X40,32x40,720472337298,35.74,Matboard
A3702,ARTQ SUEDE MINK 32X40,32x40,720472337304,35.74,Matboard
A3703,ARTQ SUEDE RAINFOREST 32X40,32x40,720472337311,35.74,Matboard
A3704,ARTQ SUEDE BERMUDA 32X40,32x40,720472337328,35.74,Matboard
A3705,ARTQ SUEDE COBALT 32X40,32x40,720472337335,35.74,Matboard
A3706,ARTQ SUEDE JET BLACK 32X40,32x40,720472337342,35.74,Matboard
A3800,ARTQ SUEDE JET BLACK 40X60,40x60,720472337359,67.91,Matboard
A4101,ARTIQUE WHITE 40X60,40x60,720472330602,30,Matboard
A4102,ARTIQUE OFF WHITE 40X60,40x60,720472330619,30,Matboard
A4103,ARTIQUE IVORY 40X60,40x60,720472330626,30,Matboard
A4104,ARTIQUE DEVONSHIRE 40X60,40x60,720472330633,30,Matboard
A4105,ARTIQUE TRUE BLACK 40X60,40x60,720472330640,30,Matboard
A4107,ARTIQUE LOGANBERRY 40X60,40x60,720472330664,30,Matboard
A4108,ARTIQUE ADMIRALTY 40X60,40x60,720472330671,30,Matboard
A4109,ARTIQUE EMERALD 40X60,40x60,720472330688,30,Matboard
A4110,ARTIQUE HERITAGE BLUE 40X60,40x60,720472330695,30,Matboard
A4111,ARTIQUE MAGNOLIA 40X60,40x60,720472330701,30,Matboard
A4112,ARTIQUE LINEN 40X60,40x60,720472330718,30,Matboard
A4113,ARTIQUE SNOW WHITE 40X60,40x60,720472330725,30,Matboard
A4114,ARTIQUE SILVER GHOST 40X60,40x60,720472330732,30,Matboard
A4115,ARTIQUE PEBBLE 40X60,40x60,720472330749,30,Matboard
A4117,ARTIQUE LAVENDER 40X60,40x60,720472330763,30,Matboard
A4118,ARTIQUE CHESTNUT 40X60,40x60,720472330770,30,Matboard
A4120,ARTIQUE THATCH 40X60,40x60,720472330794,30,Matboard
A4121,ARTIQUE PINEWOOD 40X60,40x60,720472330800,30,Matboard
A4122,ARTIQUE DUSKY PINK 40X60,40x60,720472330817,30,Matboard
