ITEM,description,WIDTH,cost,group
B4008,GOLDDST RICE PPR FAB 32X40,32x40,85.55,Matboard
B4013,CANDLELT SIL RICEPPR 32X40,32x40,109.24,Matboard
B4020,RAPHAEL CLD LINEN ART32X40,32x40,140.46,Matboard
B4021,MONET LILY LINEN ART32X40,32x40,112.57,Matboard
B4022,SEURAT SAND LINENART32X40,32x40,140.46,Matboard
B4023,REMBRANDT LINEN ART32X40,32x40,140.46,Matboard
B4024,VERMEER BLACK ALPHALINEN 32X40,32x40,140.46,Matboard
B4025,TITIAN GD ALPHALINEN 32X40,32x40,140.46,Matboard
B4027,GAUGUI GRN ALPHALINEN32X40,32x40,140.45,Matboard
B4078C,BRICK WALLGLZ LIN32X40BAIN,32x40,85.48,Matboard
B4079C,OATME GLZ LINEN 32X40 BAI,32x40,107.73,Matboard
B4080C,CHARD BLK GLZ LIN32X40 BAI,32x40,85.48,Matboard
B4091,FABRIC MERINGUE 32X40,32x40,87.47,Matboard
B4097,CAMEL NEW THREAD 32X40,32x40,87.48,Matboard
B4097L,CAMEL NEW THREADS 40X60,40x60,129.2,Matboard
B4099,FABRIC NIGHTSHADE 32X40,32x40,140.71,Matboard
B4099L,NIGHTSHADE NEWTHREADS40X60,40x60,251.41,Matboard
B4101,NAVY NEW THREADS 32X40,32x40,70.09,Matboard
B4101L,NAVY NEW THREADS 40X60,40x60,127.93,Matboard
B4104,FABRIC WHITE 32X40,32x40,140.71,Matboard
B4104L,WHITE NEW THREADS 40X60,40x60,127.93,Matboard
B4111,SCARLETT NEW THREADS 32X40,32x40,140.71,Matboard
B4112,WATCHE BLU NEWTHREADS32X40,32x40,87.48,Matboard
B4113,AUTUM FRST NEWTHREADS32X40,32x40,87.47,Matboard
B4113L,ATMN FRST NEWTHREADS 40X60,40x60,161.19,Matboard
B4114,ENCH PURPL NEWTHREADS32X40,32x40,69.42,Matboard
B4115,FOREST FLOOR NEWTHREADS 32X40,32x40,140.7,Matboard
B4116,COURTYARD NEWTHREADS32X40,32x40,140.71,Matboard
B4117,GRECIAN WHT NEW THREADS 32X40,32x40,87.47,Matboard
B4119,GRAPPA NEW THREADS 32X40,32x40,87.47,Matboard
B4121,ORANGE ZESTNEWTHREADS32X40,32x40,69.42,Matboard
B4125,ANCNT STON NEW THREAD32X40,32x40,75.2,Matboard
B4126,MAJESTIBRN NEW THREAD32X40,32x40,140.71,Matboard
B4126L,MAJESTI BRN NEW THREA40X60,40x60,251.41,Matboard
B4127,BRICK OVEN NEW THREAD32X40,32x40,70.09,Matboard
B4146,SUEDE WILLOW 32X40,32x40,83.93,Matboard
B4149,SUEDE WINE 32X40,32x40,123.99,Matboard
B4150,SUEDE MIDNIGHT 32X40,32x40,123.99,Matboard
B4150L,MIDNIGHT  SUEDE 40X60,40x60,216.6,Matboard
B4151,SONOMA SUEDE 32X40,32x40,123.99,Matboard
B4153,SUEDE JACANA 32X40,32x40,83.1,Matboard
B4157,GREY SUEDE 32X40,32x40,83.93,Matboard
B4162,SUEDE ROSEWOOD 32X40,32x40,83.93,Matboard
B4165,SUEDE COAL 32X40,32x40,123.99,Matboard
B4165L,COAL SUEDE 40X60,40x60,150.57,Matboard
B4169,SUEDE LAPIS 32X40,32x40,83.93,Matboard
B4179,SUEDE NOEL 32X40,32x40,83.93,Matboard
B4180,SUEDE CABERNET 32X40,32x40,83.93,Matboard
B4180L,CABERNET SUEDE 40X60,40x60,147.66,Matboard
B4183,SUEDE PERSIMMON 32X40,32x40,83.93,Matboard
B4183L,PERSIMMON SUEDE 40X60,40x60,149.14,Matboard
B4197,SUEDE SHADOW 32X40,32x40,123.99,Matboard
B4216,SUEDE VIVID PURPLE 32X40,32x40,83.93,Matboard
B4216L,VIVID PURPLE SUEDE 40X60,40x60,156.44,Matboard
B4223,BLAZE SUEDE 32X40,32x40,123.99,Matboard
B4223L,BLAZE SUEDE 40X60,40x60,152.08,Matboard
B4228,RASPBERRY FIZZ SUEDE 32X40,32x40,83.93,Matboard
B4231,CYBERGREEN SUEDE 32X40,32x40,83.93,Matboard
B4232,TURQUOISE SUEDE 32X40,32x40,83.93,Matboard
B4281,OASIS GLAZED LINEN 32X40,32x40,86.33,Matboard
B4300,CINNABAR OLDWLDMETALS32X40,32x40,98.64,Matboard
B4301,FABERGE GLDOLDWLDMTL 32X40,32x40,124.31,Matboard
B4302,SILVER LF OLD WLD MTL32X40,32x40,124.31,Matboard
B4303,ARAGON OLD WRLD MTLS 32X40,32x40,98.64,Matboard
B4310,ASTROTURF WRLD MTALS 32X40,32x40,127.77,Matboard
B4312,GILDED CRM OLDWLD MTL32X40,32x40,102.84,Matboard
B4314,WORN BRAS OLD WLD MTL32X40,32x40,129.59,Matboard
B4315,TRAVERTINE OLD WLDMTL32X40,32x40,102.84,Matboard
B4316,GREY SLATE OLDWLD MTL32X40,32x40,129.59,Matboard
B4340,SMOKEHOUSE 32 X 40,32x40,47.85,Matboard
