ITEM,description,fortybysixty,UPC,cost,group
B108506,BAIN CHOCOLATE SWIRL 32 X 40,32x40,702946132370,32.67,Matboard
B4008,RICE PAPER GOLD DUST 32x40,32x40,702946087632,62.75,Matboard
B4013,CANDLELIGHT SILVER 32X40,32x40,702946105299,63.69,Matboard
B4020,LINEN RAPHAEL CLOUD 32X40,32x40,702946062141,76.36,Matboard
B4021,LINEN MONET LILY 32X40,32x40,702946062134,74.01,Matboard
B4022,LINEN SEURAT SAND 32X40,32x40,702946062127,73.88,Matboard
B4023,LINEN REMBRANDT SHADOW 32X40,32x40,702946062110,73.82,Matboard
B4024,LINEN VERMEER BLACK 32X40,32x40,702946062103,74.26,Matboard
B4025,LINEN TITAN GOLD 32X40,32x40,702946062097,73.93,Matboard
B4027,LINEN GAUGUIN GREEN 32X40,32x40,702946062158,74.22,Matboard
B4075C,Bain Peatmoss 32x40,32x40,720472337748,65.41,Matboard
B4078C,Bain Brick Wall 32x40,32x40,720472337755,64.51,Matboard
B4079C,Bain Oatmeal 32x40,32x40,720472337762,65.41,Matboard
B4080C,Bain Charred Black 32x40,32x40,720472337779,65.41,Matboard
B4091,FABRIC MERINGUE 32X40,32x40,702946042846,50.04,Matboard
B4097,FABRIC CAMEL 32X40,32x40,702946042891,50.02,Matboard
B4097L,ALPHAMAT CAMEL 40X60,40x60,702946118541,92.05,Matboard
B4099,FABRIC NIGHTSHADE 32X40,32x40,702946042907,47.24,Matboard
B4099L,ALPHAMAT NIGHTSHADE 40X60,40x60,702946118640,69.54,Matboard
B4101,FABRIC NAVY 32X40,32x40,702946042938,47.61,Matboard
B4101L,ALPHAMAT NAVY 40X60,40x60,702946118633,69.54,Matboard
B4104,FABRIC WHITE 32X40,32x40,702946042952,47.24,Matboard
B4104L,ALPHAMAT WHITE 40X60,40x60,702946118619,69.54,Matboard
B4111,ALPHAMAT SCARLET 32X40,32x40,702946118480,47.61,Matboard
B4112,ALPHAMAT WATCHET BLUE 32X40,32x40,702946118497,49.63,Matboard
B4113,ALPHAMAT AUTUMN FROST 32X40,32x40,702946118503,49.82,Matboard
B4113L,ALPHAMAT AUTUMN FROST 40X60,40x60,702946118572,90.9,Matboard
B4114,ALPHAMAT ENCHANTED PURPLE 32X4,32x40,702946118510,49.65,Matboard
B4115,ALPHAMAT FOREST FLOOR 32X40,32x40,702946118527,47.61,Matboard
B4115L,ALPHAMAT FOREST FLOOR 40X60,40x60,702946118596,86.25,Matboard
B4116,ALPHAMAT COURTYARD 32X40,32x40,702946118534,37.07,Matboard
B4117,GRECIAN WHITE 32X40,32x40,702946122883,50.31,Matboard
B4119,GRAPPA 32X40,32x40,702946122913,49.63,Matboard
B4121,ORANGE ZEST 32X40,32x40,702946122920,50.14,Matboard
B4125,ANCIENT STONE 32X40,32x40,702946122951,49.6,Matboard
B4126,MAJESTIC BROWN 32X40,32x40,702946122968,37.07,Matboard
B4126L,MAJESTIC BROWN 40X60,40x60,702946123064,69.54,Matboard
B4127,BRICK OVEN 32X40,32x40,702946122975,37.07,Matboard
B4132,32x40 New Threads Bamboo,32x40,702946149743,49.63,Matboard
B4135,32x40 New Threads Café au Lait,32x40,702946149774,49.63,Matboard
B414,PAPERMAT SEA FOAM 32X40,32x40,702946000068,11.46,Matboard
B4146,SUEDE WILLOW 32X40,32x40,702946043157,61.39,Matboard
B4147,SPRUCE 32X40,32x40,702946043164,61.39,Matboard
B4149,WINE 32X40,32x40,702946043188,41.73,Matboard
B4150,SUEDE - MIDNIGHT 32X40,32x40,702946043195,41.73,Matboard
B4150L,SUEDE-MIDNIGHT 40X60,40x60,702946036050,75.57,Matboard
B4151,SUEDE SONOMA 32X40,32x40,702946043201,41.73,Matboard
B4153,SUEDE JACANA 32X40,32x40,702946043218,61.39,Matboard
B4157,SUEDE GREY 32X40,32x40,702946043256,61.39,Matboard
B4162,SUEDE ROSEWOOD 32X40,32x40,702946043287,61.39,Matboard
B4165,SUEDE COAL 32X40,32x40,702946043317,41.73,Matboard
B4165L,SUEDE-COAL 40X60,40x60,702946036043,75.57,Matboard
B4169,SUEDE - LAPIS 32X40,32x40,702946043331,61.39,Matboard
B4176,32x40 Suede White,32x40,702946043393,61.18,Matboard
B4176L,40x60 Suede White,40x60,702946106340,75.28,Matboard
B4179,SUEDE-NOEL 32X40,32x40,702946043423,61.39,Matboard
B4180,SUEDE-CABERNET 32X40,32x40,702946043430,61.39,Matboard
B4180L,SUEDE-CABERNET 40X60,40x60,702946076377,108.67,Matboard
B4183,SUEDE-PERSIMMON 32X40,32x40,702946043478,61.55,Matboard
B4183L,SUEDE-PERSIMMON 40X60,40x60,702946106050,108.67,Matboard
B4197,SUEDE-SHADOW 32X40,32x40,702946066453,41.73,Matboard
B4199,BAIN MATB-VERDE SUEDE 32X40,32x40,702946096733,61.18,Matboard
B4216,VIVID PURPLE 32X40,32x40,702946109150,61.39,Matboard
B4216L,VIVID PURPLE 40X60,40x60,702946123385,108.67,Matboard
B4221,SUNDRENCHED 32X40,32x40,702946122371,61.18,Matboard
B4223,BLAZE 32X40,32x40,702946122326,41.73,Matboard
B4223L,BLAZE 40X60,40x60,702946122333,75.57,Matboard
B4228,RASPBERRY FIZZ 32X40,32x40,702946134572,61.39,Matboard
B4231,CYBERGREEN 32X40,32x40,702946134602,61.39,Matboard
B4232,VIVID TURQUOISE 32X40,32x40,702946134619,61.39,Matboard
B4233L,40x60 Suede Balsam,40x60,702946149705,75.28,Matboard
B4236,32x40 Suede Blueberry,32x40,702946149699,60.57,Matboard
B4236L,40x60 Suede Blueberry,40x60,702946149712,75.57,Matboard
B4281,GLZED LINENS OASIS 32X40,32x40,702946142485,65.61,Matboard
B4300,CINNABAR 32X40,32x40,702946134473,63.78,Matboard
B4301,FABERGE GOLD 32X40,32x40,702946134480,63.84,Matboard
B4302,SILVER LEAF 32X40,32x40,702946134497,63.69,Matboard
B4303,ARAGON 32X40,32x40,702946134503,63.82,Matboard
B4310,BAIN ASTROTURF 32X40,32x40,702946143024,83.61,Matboard
B4312,OLDWRLD 32X40 GILDED CREAM,32x40,702946143451,72.39,Matboard
B4314,OLDWRLD 32X40 WORN BRASS,32x40,702946143475,73.99,Matboard
B4315,OLDWRLD 32X40 TRAVERTINE,32x40,702946143482,72.39,Matboard
B4316,OLDWRLD 32X40 GREY SLATE,32x40,702946143499,72.82,Matboard
B4340,SMOKEHOUSE  32 X 40    NEW,32x40,93924197765,50.89,Matboard
B4341,Bain COASTAL DRIFT 32 X 40,32x40,93924197789,50.89,Matboard
B4342,Bain SUNWASHED 32 X 40,32x40,93924197796,50.89,Matboard
B4352,OLD WLD METAL VRDI SLATE 32X40,32x40,702946145653,64.92,Matboard
B4355,OLD WLD METAL SLT VERONA 32X40,32x40,702946146681,64.92,Matboard
B4356,SANDLEWOOD     32X40,32x40,93924197741,50.89,Matboard
B4358,TEAK TRAIL     32X40,32x40,93924197758,50.89,Matboard
B4360,OBSIDIAN BLAZE 32X40,32x40,93924197772,50.89,Matboard
B4366,BAIN SPUN GOLD 32X40,32x40,702946146698,70.33,Matboard
B4410,GOLDEN SAMURAI 32X40,32x40,702946123415,78.64,Matboard
B4411,CHAI 32X40,32x40,702946123422,78.64,Matboard
B4412,SAKE 32X40,32x40,702946123446,78.64,Matboard
B4413,SALT GRASS 32X40,32x40,702946123439,78.64,Matboard
B4415,ALPHAMAT BONSAI BROWN 32X40,32x40,702946127499,78.64,Matboard
B4417,ALPHAMAT HIBACHI 32X40,32x40,702946127512,78.64,Matboard
B4418,ALPHAMAT HARMONY BLUE 32X40,32x40,702946127529,78.64,Matboard
B4419,ALPHAMAT KYOTO PEARL 32X40,32x40,702946127536,78.64,Matboard
B4421,BAIN FAWN 32 X 40,32x40,702946145585,77.57,Matboard
B4423,BAIN CANDLESTICK 32 X 40,32x40,702946145592,77.57,Matboard
B4424,BAIN JASPER 32 X 40,32x40,702946145608,90.89,Matboard
B4426,BAIN CARAMEL 32 X 40,32x40,702946145615,90.89,Matboard
B4427,Bain Chino 32x40,32x40,702946146711,72.89,Matboard
B4428,Bain Heather Grey 32x40,32x40,702946146728,72.89,Matboard
B4429,BAIN DELFT 32 X 40,32x40,702946145622,82.25,Matboard
B4430,JUNDO SILK     32X40,32x40,,103.61,Matboard
B4432,UMI SILK     32X40,32x40,,103.61,Matboard
B4433,KATANA SILK 32X40,32x40,,103.61,Matboard
B4434,KAZAN  SILK 32X40,32x40,,103.61,Matboard
B4435,SUMI SILK 32X40,32x40,,103.61,Matboard
B4436,TORII SILK  32X40,32x40,,103.61,Matboard
B4440,BAIN DILL 32 X 40,32x40,702946146704,81.13,Matboard
B4451,BAIN PISTACHIO 32 X 40,32x40,702946147664,97.59,Matboard
B4452,BAIN PEACH MELBA 32 X 40,32x40,702946147671,96.26,Matboard
B4454,BAIN VIOLETTA  32 X 40,32x40,702946147695,96.26,Matboard
B4457,TATAMI SILKS PHANTOM 32X40,32x40,702946148517,75.38,Matboard
B4459,TATAMI SILKS NIGHTSHADE 32X40,32x40,702946148531,75.38,Matboard
B4460,TATAMI SILKS TOURMALINE 32X40,32x40,702946148548,75.38,Matboard
B4461,TATAMI SILKS CHINCHILLA 32X40,32x40,702946148555,76.42,Matboard
B468085,FORGED METALS FORGD IRON 32X40,32x40,702946151050,35.98,Matboard
B4700,ALPHAMAT WHITE ARMOR 32X40,32x40,702946118114,64.63,Matboard
B4702,ALPHAMAT GOLD COIN 32X40,32x40,702946118145,63.78,Matboard
B4704,MRICE PAPER BRIDAL PATH 32X40,32x40,702946148333,64.44,Matboard
B4705,MRICE PAPER CRYSTAL 32X40,32x40,702946150077,63.69,Matboard
B4706,MRICE PAPER GENTIAN 32X40,32x40,702946150084,66.12,Matboard
B4707,MRICE PAPER NIAGRA 32X40,32x40,702946150091,63.69,Matboard
B4709,MRICE PAPER MOONLIGHT 32X40,32x40,702946151098,63.69,Matboard
B4710,MRICE PAPER PUMICE 32X40,32x40,702946151104,64.29,Matboard
B4830,SILKEN SNOW 32X40,32x40,702946044871,73.37,Matboard
B4834,PETAL GREEN SILKENS 32X40,32x40,702946044918,73.37,Matboard
B4836,IMPERIAL BLUE SILKENS 32x40,32x40,702946044932,73.37,Matboard
B4837,BURGUNDY SILKENS 32X40,32x40,702946044949,76.73,Matboard
B4838,DYNASTY RED SILKENS 32X40,32x40,702946044956,73.37,Matboard
B4840,WHITE SILKENS 32X40,32x40,702946044970,73.37,Matboard
B4843,SILKEN WHEATFIELD-32X40,32x40,702946113935,73.37,Matboard
B4844,SILKEN BURNT UMBER-32X40,32x40,702946113942,73.37,Matboard
B4846,SILKEN MOLTEN-32X40,32x40,702946113966,76.73,Matboard
B4848,SHITAKE 32X40 (SILK),32x40,702946134510,73.37,Matboard
B4850,WASABI 32X40,32x40,702946134534,73.37,Matboard
B4851,TABRIZ 32X40,32x40,702946134541,73.37,Matboard
B4853,BAIN DOLPHIN SHANTUNG 32X40,32x40,702946146452,62.32,Matboard
B4854,BAIN CAFFE SHANTUNG 32X40,32x40,702946146469,62.64,Matboard
B4855,BAIN NEW MOON SHANTUNG 32X40,32x40,702946146476,62.32,Matboard
B4960,RAW SILK OYSTER 32X40,32x40,702946045250,79.31,Matboard
B4964,RAW SILK GREENBRIER 32X40,32x40,702946045298,79.31,Matboard
B4970,RAW SILK BLACK KNIGHT 32X40,32x40,702946045359,79.31,Matboard
B5089L,(BC) BLACK 40X60,40x60,702946007937,32.87,Matboard
B5501,BROOK 32X40,32x40,,45.3,Matboard
B5512,CLEMENTINE 32X40,32x40,,45.3,Matboard
