ITEM,description,WIDTH,cost,group
C1000,POMPANO BEACH WHITE 32X4,32x40,13.22,Matboard
C1015,GREY VIOLET 32X40,32x40,13.22,Matboard
C1019,PHOTO GREY 32X40,32x40,13.22,Matboard
C1027,SILVER GRAY 32X40,32x40,13.22,Matboard
C1029,WHEAT 32X40,32x40,13.22,Matboard
C1033,DARK ASH 32X40,32x40,13.22,Matboard
C1042,WILLIAMSBURG RED 32X40,32x40,13.22,Matboard
C1045,GRASS GREEN 32X40,32x40,13.22,Matboard
C1047,WILLIAMSBURG BLUE 32X40,32x40,13.22,Matboard
C1053,DELFT BLUE 32X40,32x40,13.22,Matboard
C1057,REDWOOD 32X40,32x40,13.22,Matboard
C1061,SANDSTONE 32X40,32x40,13.22,Matboard
C1073,BISCAY BLUE 32X40,32x40,13.22,Matboard
C1078,MADAGASCAR PINK 32X40,32x40,13.22,Matboard
C1080,BIMINI BLUE 32X40,32x40,13.22,Matboard
C1081,VOLCANO BLUE 32X40,32x40,13.22,Matboard
C1084,AVOCADO 32X40,32x40,13.22,Matboard
C1088,MIST 32X40,32x40,13.22,Matboard
C1092,AZURE 32X40,32x40,13.22,Matboard
C1095,ANTIQUE BUFF 32X40,32x40,13.22,Matboard
C1096,SEPIA 32X40,32x40,13.22,Matboard
C1097,FUDGE 32X40,32x40,22.08,Matboard
C1100,ARCHIVAL MIST4PLYRAG32X40,32x40,44.18,Matboard
C1102,VNTGE GRAY 4PL RAG 32X40,32x40,44.18,Matboard
C1104,ANTQ TAN 4 PLY RAG 32X40,32x40,48.72,Matboard
C1105,DESER SAND 4 PLY RAG32X40,32x40,44.18,Matboard
C1106,ANTIQUE GRAY 4 PLY RAG 32X40,32x40,44.17,Matboard
C1114,ALMOND RAG MUSEUM 32X40,32x40,44.17,Matboard
C1115,BLACK RAG MUSEUM 32X40,32x40,61.03,Matboard
C1117,GRAY RAG MUSEUM 32X40,32x40,44.18,Matboard
C1121,INVERNESS 4 PLY RAG 32X4,32x40,35.08,Matboard
C1123,NEW CASTLE 4PL RAG 32X40,32x40,61.03,Matboard
C1125,SHETLAND 4 PLY RAG 32X40,32x40,44.18,Matboard
C1126,SAND DOLLAR 4PL RAG 32X4,32x40,41.8,Matboard
C1127,SPROUT 4 PLY RAG 32X40,32x40,35.08,Matboard
C1128,SHORELINE 4 PLY RAG 32X4,32x40,44.17,Matboard
C1129,BLUFF 4 PLY RAG 32X40,32x40,44.17,Matboard
C1133,BRIAR 4PLY RAG 32X40 CRE,32x40,35.08,Matboard
C1136,LOAM 4 PLY RAG 32X40,32x40,61.03,Matboard
C1137,FIELDSTONE 4PL RAG 32X40,32x40,61.03,Matboard
C1170,COOL WHT 4PL 32X40 MUSSO,32x40,41.88,Matboard
C1171,SILK 4PL 32X40 MUS SOLID,32x40,41.78,Matboard
C1173,SOFT CRM 4PL 32X40 MUSSO,32x40,35.43,Matboard
C1174,BEIGE 4PL 32X40 MUS SOLI,32x40,44.18,Matboard
C1175,CLAY 4PL 32X40 MUS SOLID,32x40,44.18,Matboard
C1176,SUNTAN 4PL 32X40 MUS SOL,32x40,44.18,Matboard
C1177,BRNSTONE 4PL 32X40 MUSSO,32x40,61.03,Matboard
C1184,SABLE 4PL 32X40 MUS SOLI,32x40,61.03,Matboard
C1186,COOL GRY 4PL 32X40 MUS SLD,32x40,35.08,Matboard
C1187,ESS GRY 4PL 32X40 MUS SLD,32x40,48.72,Matboard
C1188,RAG MUS WINTER WHITE 32X40,32x40,51.21,Matboard
C1189,SANGUINE RAG MUS 32X40,32x40,75.38,Matboard
C12058,OSAIC BLUE BASICS 32X40,32x40,14.62,Matboard
C12087,BRIGHT WHT 32X40 BASICS PK25,32x40,24.66,Matboard
C12091,CHARTREUSE 32X40 BAS,32x40,14.62,Matboard
C12094,ULT VIOLET 32X40 BAS BAIN,32x40,14.62,Matboard
C1515.17,32X40RAGMAT MUS WHTSHEET,32x40,9.96,Matboard
