ITEM,description,fortybysixty,UPC,cost,group
C1008,IVORY 32X40,32x40,93924201288,10.23,Matboard
C1015,CRES GREY VIOLET 32X40,32x40,93924201356,10.23,Matboard
C1019,PHOTO GRAY 32X40,32x40,93924201394,10.23,Matboard
C1027,SILVER GRAY 32X40,32x40,93924201578,10.23,Matboard
C1029,WHEAT 32X40,32x40,93924201592,10.23,Matboard
C1033,DARK ASH 32X40,32x40,93924201639,10.23,Matboard
C1038,MAROON 32X40,32x40,93924201660,10.23,Matboard
C1042,WILLIAMSBURG RED 32X40,32x40,93924201707,10.23,Matboard
C1045,GRASS GREEN 32X40,32x40,93924201738,10.23,Matboard
C1051,OLDE TAN 32X40,32x40,93924201790,10.23,Matboard
C1053,CRES DELFT BLUE 32X40,32x40,93924201813,10.23,Matboard
C1054,BALTIC BLUE 32X40,32x40,93924201820,10.23,Matboard
C1057,CRES REDWOOD 32X40,32x40,93924201844,10.23,Matboard
C1061,SANDSTONE 32X40,32x40,93924201882,10.23,Matboard
C1073,BISCAY BLUE 32X40,32x40,93924201981,10.23,Matboard
C1078,MADAGASCAR PINK 32X40,32x40,93924202032,10.23,Matboard
C1080,BIMINI BLUE 32X40,32x40,93924202056,10.23,Matboard
C1081,VOLCANO BLUE 32X40,32x40,93924202063,10.23,Matboard
C1084,AVOCADO 32X40,32x40,93924202094,10.23,Matboard
C1092,AZURE 32X40,32x40,93924202162,10.23,Matboard
C1095,ANTIQUE BUFF 32X40,32x40,93924202179,10.23,Matboard
C1096,SEPIA 32X40,32x40,93924202186,10.23,Matboard
C1097,FUDGE 32X40,32x40,93924202193,12,Matboard
C1100,100%RAG ARCHIV MIST 32X40,32x40,93924106569,28.04,Matboard
C1101,100% RAG NEUTRAL GRAY 32X40,32x40,93924106576,28.04,Matboard
C1102,100% RAG VINTAGE GRAY 32X40,32x40,93924106583,28.04,Matboard
C1104,100% RAG ANTIQUE TAN32X40,32x40,93924106606,28.04,Matboard
C1105,100% RAG DESERT SAND32X40,32x40,93924106613,28.04,Matboard
C1106,100% RAG ANTIQUE GRAY 32X40,32x40,93924117374,28.04,Matboard
C1112,100% RAG SOFT WHITE 32X40,32x40,93924134708,26.54,Matboard
C1114,100% RAG ALMOND 32X40,32x40,93924134715,28.04,Matboard
C1115,100% RAG BLACK 32X40,32x40,93924134722,36.07,Matboard
C1117,100% RAG GREY 32X40,32x40,93924134746,28.04,Matboard
C1121,100% RAG INVERNESS 32X40 4PLY,32x40,93924138416,28.04,Matboard
C1122,100% RAG STRATFORD 32X40 4PLY,32x40,93924138430,28.04,Matboard
C1123,100% RAG NEW CASTLE 32X40 4PLY,32x40,93924138461,36.07,Matboard
C1125,100% RAG SHETLAND 32X40 4PLY,32x40,93924138492,28.04,Matboard
C1126,RAG MUSEUM-SAND DOLLAR 32X40,32x40,93924155185,26.54,Matboard
C1127,RAG MUSEUM-SPROUT 32X40,32x40,93924155192,28.04,Matboard
C1128,RAG MUSEUM-SHORELINE 32X40,32x40,93924155208,28.04,Matboard
C1129,RAG MUSEUM-BLUFF 32X40,32x40,93924155215,28.04,Matboard
C1133,RAG MUSEUM-BRIAR 32X40,32x40,93924155222,28.04,Matboard
C1136,RAG MUSEUM-LOAM 32X40,32x40,93924155253,36.22,Matboard
C1137,RAG MUSEUM-FIELDSTONE 32X40,32x40,93924155260,36.22,Matboard
C1150,2-PLY MUSEUM BOARD WHITE 32X40,32x40,93924106538,11.93,Matboard
C1170,100%RAG COOL WHITE-32X40,32x40,93924159596,26.54,Matboard
C1171,100%RAG SILK-32X40,32x40,93924159602,26.54,Matboard
C1173,100%RAG SOFT CREAM-32X40,32x40,93924159626,28.04,Matboard
C1174,100%RAG BEIGE-32X40,32x40,93924159640,28.04,Matboard
C1175,100%RAG CLAY-32X40,32x40,93924159657,28.04,Matboard
C1176,100%RAG SUNTAN-32X40,32x40,93924159664,28.04,Matboard
C1177,100%RAG BROWNSTONE-32X40,32x40,93924159671,36.22,Matboard
C1184,100%RAG SABLE 32X40,32x40,93924159749,36.22,Matboard
C1186,32X40 RAG MUS Cool Gray,32x40,93924193927,28.05,Matboard
C1187,32X40 RAG MUS Essential Gray,32x40,93924193934,28.04,Matboard
C1188,100%RAG 4 PLY WINTER WHT 32X40,32x40,93924194962,26.54,Matboard
C1189,100%RAG 4 PLY SANGUINE 32X40,32x40,93924194955,35.52,Matboard
C12058,Basics MOSAIC BLUE 32x40,32x40,,10.63,Matboard
C12087,BASICS BRIGHTEST WHITE 32X40,32x40,,9.96,Matboard
C12091,BAIN BASICS CHARTREUSE 32X40,32x40,,9.96,Matboard
C12094,BAIN BASICS ULTRA VIOLET 32X40,32x40,,9.96,Matboard
C132,FLAWBOARD 32X40,32x40,,3.26,Matboard
C146,FLAWBOARD 40X60,40x60,,6.84,Matboard
C1515.17,32X40 RagMat MUS White Sheet,32x40,,6.03,Matboard
C1536,MUSEUM BOARD 32X40 6 PLY,32x40,93924106736,44.72,Matboard
C21104,8 PLY ANTIQUE TAN 32X40 RAG,32x40,93924159770,62.31,Matboard
C21106,8 PLY ANTIQUE GRAY 32X40 RAG,32x40,93924159800,62.31,Matboard
C21112,8 PLY SOFT WHITE 32X40 RAG,32x40,93924134982,59.42,Matboard
C21115,8 PLY BLACK 32X40 RAG,32x40,93924135163,83.2,Matboard
C21126,8 PLY SAND DOLLAR 32X40 RAG,32x40,93924159824,59.42,Matboard
C21171,100%RAG SILK-32X40 8ply,32x40,,62.32,Matboard
C21188,8 PLY WINTER WHITE 32X40 RAG,32x40,93924194993,59.42,Matboard
C22255,8 PLY CREAM 32X40 RAG,32x40,93924138515,62.31,Matboard
C22263,48X72 RAG MUS White 8 Ply,48x72,93924194016,187.95,Matboard
C22269,48X72 RAG MUS Antique White 8,48x72,93924194023,188.89,Matboard
C22273,48X96 RAG MUS White 8 Ply,48x96,93924193989,288.72,Matboard
C2238,8 PLY WHITE 32X40 RAG,32x40,93924106811,59.42,Matboard
C2239,8 PLY ANTIQUE WHITE 32X40 RAG,32x40,93924134760,59.42,Matboard
C2253,100%RAG 4 PLY WHITE 32X40,32x40,93924106750,26.45,Matboard
C2255,100%RAG 4 PLY CREAM 32X40,32x40,93924106767,28.04,Matboard
C2259,100%RAG 4 PLY ANT.WHT.32X40,32x40,93924106774,26.45,Matboard
C2260,100%RAG ANT WHITE 40X60,40x60,93924106781,51.09,Matboard
C2261,100%RAG 4PLY CREAM 40X60,40x60,93924106798,55.36,Matboard
C2262,100%RAG 4PLY WHITE 40X60,40x60,93924106804,51.09,Matboard
C2263,100%RAG 4 PLY WHITE 48X72,48x72,93924111136,83.77,Matboard
C2268,8 PLY WHITE 40X60,40x60,93924106828,117.66,Matboard
C2269,48X72 RAG MUS Antique White 4,48x72,93924194009,83.76,Matboard
C2273,100%RAG 4 PLY WHITE 48X96,48x96,93924118067,107.95,Matboard
C2275,48X96 RAG MUS Black,48x96,93924185236,130.58,Matboard
C2279,48X96 RAG MUS Ant White,48x96,,107.95,Matboard
C2283,60X104 RAG MUS White,60x104,93924185250,144.25,Matboard
C2289,60X104 RAG MUS Ant White,60x104,93924185267,143.85,Matboard
C229502,32X40 SEL White Sale 8 Ply,32x40,93924194047,31.54,Matboard
C229508,32X40 SEL White Sands,32x40,93924194054,31.54,Matboard
C229598,32X40 SEL Before Dark 8 Ply,32x40,93924194061,31.54,Matboard
C2296,100% RAG OPTIC BLACK 32X40,32x40,93924134784,36.22,Matboard
C229613,32X40 SEL Super White 8 Ply,32x40,93924194030,31.54,Matboard
C2297,PHOTORAG CREAM 32X40,32x40,93924118074,28.04,Matboard
C2298,PHOTORAG ANTIQUE WHITE 32X40,32x40,93924113550,26.54,Matboard
C229848,32X40 SEL Jet Black 8 Ply,32x40,93924194078,31.54,Matboard
C2299,100%RAG 4 PLY WHITE 32X40,32x40,93924106835,26.54,Matboard
C25700,SELECT VIVID WHITE 32X40 8PLY,32x40,93924177156,35.05,Matboard
