item,Description,Width,cost,chop,group,
36722,35x21x30 Chagall Blue,21,$24.31,$39.35,Wood,
36723,35x21x30 Chagall Tan,21,$24.31,$39.35,Wood,
36724,35x21x30 Chagall Light Grey,21,$24.31,$39.35,Wood,
36726,35x21x30 Chagall Red,21,$24.31,$39.35,Wood,
36727,35x21x30 Chagall Green,21,$24.31,$39.35,Wood,
36728,35x21x30 Chagall Blue Grey,21,$24.31,$39.35,Wood,
36729,35x21x30 Chagall White,21,$24.31,$39.35,Wood,
44271,20x65x12 442-71 Ivory,65,$5.64,,Wood,
44272,20x65x12  442-72 Luta Moulding,65,$5.40,,Wood,
67003,32x50x12 670-03 Gold Antique Imprezzio,50,$26.06,$42.17,Wood,
80914,38x19x28 Microtech Veneer Nordic Oak,19,$14.64,$24.38,Wood,
80915,38x19x28 Microtech Veneer Light Grey,19,$15.06,$24.38,Wood,
80916,38x19x28 Microtech Veneer Charcoal,19,$14.64,$24.38,Wood,
80917,38x19x28 Microtech Veneer Light Walnut,19,$15.06,$24.38,Wood,
80918,38x19x28 Microtech Veneer Mocha,19,$15.06,$24.38,Wood,
80919,21x31x16 Microtech Veneer Nordic Oak,31,$15.80,$26.32,Wood,
80920,21x31x16 Microtech Veneer Light Grey,31,$16.25,$26.32,Wood,
80921,21x31x16 Microtech Veneer Charcoal,31,$16.25,$26.32,Wood,
80922,21x31x16 Microtech Veneer Light Walnut,31,$16.25,$26.32,Wood,
80923,21x31x16 Microtech Veneer Mocha,31,$16.25,$26.32,Wood,
80924,38x28x28 Microtech Veneer Nordic Oak,28,$17.64,$29.37,Wood,
80925,38x28x28 Microtech Veneer Light Grey,28,$18.14,$29.37,Wood,
80926,38x28x28 Microtech Veneer Charcoal,28,$18.14,$29.37,Wood,
80927,38x28x28 Microtech Veneer Light Walnut,28,$18.14,$29.37,Wood,
80928,38x28x28 Microtech Veneer Mocha,28,$18.14,$29.37,Wood,
165001,31x16x27 1650-01 Black Open Grain,16,$6.77,$10.95,Wood,
200285,17x17x11 Matt Black Tribeca,17,$9.70,$16.49,Wood,
212285,22x22x16 Matt Black Tribeca,22,$9.70,$16.49,Wood,
230285,18x22x12 Matt Black Tribeca,18,$11.17,$18.98,Wood,
230286,18x22x12 Matt White Tribeca,18,$11.17,$18.98,Wood,
350285,22x37x16 Matt Black Tribeca,22,$15.19,$25.81,Wood,
350286,22x37x16 Matt White Tribeca,22,$15.19,$25.82,Wood,
370285,21x40x15 Matt Black Tribeca,21,$16.66,$28.31,Wood,
390285,23x41x17 Matt Black Tribeca,23,$17.93,$30.48,Wood,
390286,23x41x17 Matt White Tribeca,23,$17.93,$30.48,Wood,
542285,29x52x13 Matt Black Tribeca,29,$22.59,$38.40,Wood,
552285,29x63x14 Matt Black Tribeca,29,$26.86,$45.66,Wood,
555722,15x15x10 Chagall Blue,15,$10.99,$17.78,Wood,
555723,15x15x10 Chagall Tan,15,$10.99,$17.78,Wood,
555724,15x15x10 Chagall Light Grey,15,$10.99,$17.78,Wood,
555726,15x15x10 Chagall Red,15,$10.99,$17.78,Wood,
555727,15x15x10 Chagall Green,15,$10.99,$17.78,Wood,
555728,15x15x10 Chagall Blue Grey,15,$10.99,$17.78,Wood,
555729,15x15x10 Chagall White,15,$10.99,$17.78,Wood,
600648,30x40x17 6006-48 Matrix Black Gloss,40,$42.19,$75.10,Wood,
600649,30x40x17 6006-49 Matrix White Gloss,40,$46.40,$75.10,Wood,
956205,25x35x14 956-205 Silver,35,$5.00,$9.00,Wood,
2021202,20x25x10 2021-202 Silver Verde Fresco,25,$24.03,$40.26,Wood,
2021205,20x25x10 2021-205 Silver Fresco,25,$24.03,$40.26,Wood,
3089086,H41xW89xR20 Wash White Valencia,89,$78.25,$133.00,Wood,
3089602,H41xW89xR20 Champagne Valencia,89,$78.25,$133.00,Wood,
3089650,H41xW89xR20 Silver Valencia,89,$78.25,$133.00,Wood,
3089702,H41xW89xR20 Antique Gold Valencia,89,$78.25,$133.00,Wood,
5474605,H31xW43xR7 Silver Alhambra,43,$29.45,$50.07,Wood,
5474607,H31xW43xR7 Champagne Alhambra,43,$29.45,$50.07,Wood,
5474705,H31xW43xR7 Gold Alhambra,43,$29.45,$50.07,Wood,
5474874,H31xW43xR7 Black Alhambra,43,$29.45,$50.07,Wood,
5474884,H31xW43xR7 Ivory Alhambra,43,$29.45,$50.07,Wood,
5478605,H56xW85xR16 Silver Alhambra,86,$73.75,$125.36,Wood,
5478607,H56xW85xR16 Champagne Alhambra,86,$73.75,$125.36,Wood,
5478705,H56xW85xR16 Gold Alhambra,86,$73.75,$125.36,Wood,
5478874,H56xW85xR16 Black Alhambra,86,$73.75,$125.36,Wood,
5478884,H56xW85xR16 Ivory Alhambra,86,$73.75,$125.36,Wood,
5899380,H43xW99xR20 Marbella Ivory,99,$72.22,$122.76,Wood,
5899570,H43xW99xR20 Marbella Black,99,$72.22,$122.76,Wood,
5899602,H43xW99xR20 Marbella Champagne,99,$72.22,$122.76,Wood,
5899650,H43xW99xR20 Marbella Silver,99,$72.22,$122.76,Wood,
5899702,H43xW99xR20 Marbella Gold,99,$72.22,$122.76,Wood,
10623501,15x23x10 106-23-501 Black,23,$6.44,$10.01,Wood,
11830301,20x30x15 118-30-301 Black Open Grain,30,$11.41,$18.46,Wood,
11840301,20x40x15 118-40-301 Black Open Grain,40,$12.97,$21.73,Wood,
65040003,650-40-003 White Moulding,23,$5.40,$9.92,Wood,
90108370,21x102x15 Daintree Bunya Veneer,100,$4.00,$22.52,Wood,
90108403,21x102x15 Daintree Blond Veneer,100,$4.00,$22.52,Wood,
90108453,21x102x15 Daintree Graphite Veneer,100,$4.32,$22.52,Wood,
217170471,17x17x12 Black Andover,17,$9.37,$15.92,Wood,
217170476,17x17x12 Aged Bronze Andover,17,$9.37,$15.92,Wood,
217170653,17x17x12 Silver Andover,17,$9.37,$15.92,Wood,
217170673,17x17x12 Champagne Andover,17,$9.37,$15.92,Wood,
217170753,17x17x12 Gold Andover,17,$9.37,$15.92,Wood,
217170759,17x17x12 Aged Gold Andover,17,$9.37,$15.92,Wood,
217170773,17x17x12 Bronze Andover,17,$9.37,$15.92,Wood,
232170471,22x23x18 Black Andover,22,$11.54,$19.61,Wood,
232170476,22x23x18 Aged Bronze Andover,22,$11.54,$19.61,Wood,
232170653,22x23x18 Silver Andover,22,$11.54,$19.61,Wood,
232170673,22x23x18 Champagne Andover,22,$11.54,$19.61,Wood,
232170753,22x23x18 Gold Andover,22,$11.54,$19.61,Wood,
232170759,22x23x18 Aged Gold Andover,22,$11.54,$19.61,Wood,
