ITEM,description,WIDTH,UPC,cost,chop,join,group
100750,SOFIA BRONZE FILLET,0.25,720472154925,6.11,10.26,11.26,Fillet
100751,SOFIA GOLD FILLET,0.25,720472154871,6.11,10.26,11.26,Fillet
100752,SOFIA/OLMSTED IRON FILLET,0.25,720472154826,6.11,10.26,11.26,Fillet
103180,HUDSON GOLD FILLET/BEAD,0.5625,,3.94,6.62,7.62,Fillet
103190,HUDSON SILVER FILLET/BEAD,0.5625,,3.94,6.62,7.62,Fillet
103235,ACADEMIE GOLD FILLET,0.3125,720472139243,6.77,11.36,12.36,Fillet
103237,ACADEMIE SILVER FILLET,0.3125,720472139250,6.27,10.53,11.53,Fillet
106180,HUDSON GOLD FILLET/SMOOTH,0.5,,3.95,6.64,7.64,Fillet
106190,HUDSON SILVER FILLET/SMOOTH,0.5,,3.95,6.64,7.64,Fillet
108185,"L7 GOLD FILLET 1/8""",0.125,,9.42,15.82,16.82,Fillet
114153,"SPENCER II SILVER FILLET 5/16""",0.3125,,1.86,3.12,4.12,Fillet
114154,"SPENCER II GOLD FILLET 5/16""",0.3125,,1.86,3.12,4.12,Fillet
119286,WHITE FILLET,0.3125,720472142687,3.73,6.27,7.27,Fillet
120660,MANTILLA GOLD FILLET,0.25,720472150422,7.84,13.18,14.18,Fillet
120662,MANTILLA SILVER FILLET,0.25,720472150446,7.84,13.18,14.18,Fillet
131014,DISC-CHATEAU FILLET,0.375,720472135283,11.94,20.06,21.06,Fillet
132902,"FOUNDRY IRON FILLET 5/8""",0.625,,7.95,13.36,14.36,Fillet
138120,DRESDEN SILVER FILLET,0.25,720472163385,6.85,11.51,12.51,Fillet
150CG,WOOD FILLET,0.25,720472100144,5.02,8.43,9.43,Fillet
150CS,VIENNA II FILLET,0.1875,720472114165,4.42,7.43,8.43,Fillet
150G,WOOD FILLET,0.25,720472100151,4.41,7.41,8.41,Fillet
150S,WOOD FILLET,0.25,720472100168,4.41,7.41,8.41,Fillet
154BL,DISC-FILLETS,0.1875,720472100182,5.97,10.04,11.04,Fillet
166900,LISBON AGED HONEY FILLET,0.3125,720472158251,10.59,17.8,18.8,Fillet
197440,"BAUHAUS II WHITE FILLET 1/4""",0.25,,5.38,9.04,10.04,Fillet
197450,"BAUHAUS II BLACK FILLET 1/4""",0.25,,5.25,8.82,9.82,Fillet
102CG,MARQUIS,0.5,720472100021,7.08,11.9,12.9,Wood
10-507M,GARRETT HAND RUB GRY MAPLE CAP,0.625,720472191241,14.51,24.37,25.37,Wood
105CB,VIENNA,0.5,720472100052,6.63,11.14,12.14,Wood
11-036M,GARRETT WHTWASH MAPLE STEM,0.625,720472191180,18.46,31.01,32.01,Wood
11-100M,"GARRETT NAT MAPLE CAP 5/8""",0.625,720472191197,18.05,30.32,31.32,Wood
11-507M,"SO-GARRETT GRY MAPLE 5/8""",0.625,,13.02,20.83,21.83,Wood
119206,"SHOJI DARK WALNUT 1"" TALL CAP",1,,5.13,8.61,9.61,Wood
119208,"SHOJI EBONIZED WAL 1"" TALL CAP",1,,5.13,8.61,9.61,Wood
119630,"CONFETTI BLACK 1""",1,720472149891,7.04,11.82,12.82,Wood
119631,"CONFETTI WHITE 1""",1,720472149907,7.04,11.82,12.82,Wood
123960,FLAX OYSTER LINEN LINER,0.75,720472159845,3.83,6.43,7.43,Liner
123962,FLAX SAND LINEN LINER,0.75,720472159852,3.83,6.43,7.43,Liner
123964,FLAX PEBBLE LINEN LINER,0.75,720472159869,3.83,6.43,7.43,Liner
