ITEM,description,WIDTH,UPC,cost,chop,join,group
100750,"W0 SOFIA BRONZE FILLET 1/4""",0.25,720472154925,4.65,7.07,8.07,Fillet
100751,"W0 SOFIA GOLD FILLET 1/4""",0.25,720472154871,4.65,7.07,8.07,Fillet
100752,"W0 SOFIA IRON FILLET 1/4""",0.25,720472154826,4.65,7.07,8.07,Fillet
103180,W0 HUDSON GLD BEAD FILLET 5/16,0.5625,720472172790,3.58,5.84,6.84,Fillet
103190,W0 HUDSON SLV BEAD FILLET 5/16,0.5625,720472172806,3.42,5.57,6.57,Fillet
103235,"W0 ACADEMIE GOLD FILLET 5/16""",0.3125,720472139243,3.65,5.92,6.92,Fillet
103237,W0 ACADEMIE SILVER FILLET 7/16,0.3125,720472139250,3.61,5.87,6.87,Fillet
106180,"W0 HUDSON GOLD FILLET 1/4""",0.5,720472172813,3.44,5.58,6.58,Fillet
106190,"W0 HUDSON SILVER FILLET 1/4""",0.5,720472172820,3.25,5.34,6.34,Fillet
108185,"W0 L7 GOLD W/BLACK FILLET 1/8""",0.125,720472168717,8.1,10.28,11.28,Fillet
114153,"W0 SPENCER II SILVER FIL 5/16""",0.3125,720472199018,1.69,2.3,3.3,Fillet
114154,"W0 SPENCER II GOLD FIL 5/16""",0.3125,720472199025,1.69,2.3,3.3,Fillet
115632,"W0 CONFETTI YELLOW FILLET 1/4""",0.25,720472163590,2.39,3.95,4.95,Fillet
115635,"W0 CONFETTI RED FILLET 1/4""",0.25,720472163613,2.39,3.95,4.95,Fillet
115636,"W0 CONFETTI LT BLUE FLT 1/4""",0.25,720472163620,2.38,3.94,4.94,Fillet
115640,"W0 CONFETTI BLUE FILLET 1/4""",0.25,720472163668,2.37,3.92,4.92,Fillet
115651,W0 CONFETTI METALLIC GLD FLT,0.25,720472163767,2.37,3.92,4.92,Fillet
115652,"W0 CONFETTI BLACK FILLET 1/4""",0.25,720472163774,2.39,3.95,4.95,Fillet
115653,"W0 CONFETTI WHITE FILLET 1/4""",0.25,720472163781,2.39,3.95,4.95,Fillet
119286,"W0 WHITE FILLET 5/16""",0.3125,720472142687,3.1,5.6,6.6,Fillet
120660,"W0 MANTILLA GOLD FILLET 1/4""",0.25,720472150422,5.78,8.88,9.88,Fillet
120662,"W0 MANTILLA SILVER FIL 1/4""",0.25,720472150446,5.77,8.87,9.87,Fillet
132902,"W0 FOUNDRY IRON FILLET 3/8""",0.625,720472179898,5.48,9.73,10.73,Fillet
138120,"W0 DRESDEN SILVER FILLET 1/4""",0.25,720472163385,5.3,7.3,8.3,Fillet
150CG,"W0 FILLETS GOLD FILLET  1/4""",0.25,720472100144,3.45,5.06,6.06,Fillet
150CS,W0 VIENNA 2 SILVER FILLET 3/16,0.1875,720472114165,3.2,5.02,6.02,Fillet
150G,"W0 FL/GOLD FILLET 1/4""",0.25,720472100151,3.46,5.6,6.6,Fillet
150S,"W0 FL/SILVER FILLET 1/4""",0.25,720472100168,3.46,5.6,6.6,Fillet
160810,"W0 CALAIS GOLD FILLET 1/4""",0.25,720472156202,3.73,6.03,7.03,Fillet
160812,"W0 CALAIS SILVER FILLET 1/4""",0.25,720472156219,3.7,5.99,6.99,Fillet
160814,"W0 CALAIS BLACK FILLET 1/4""",0.25,720472156226,3.65,5.88,6.88,Fillet
161810,"W0 CALAIS GOLD BEAD FLT 5/16""",0.3125,720472156233,4.52,7.21,8.21,Fillet
161812,W0 CALAIS SILVER BEAD FLT 5/16,0.3125,720472156240,4.51,7.19,8.19,Fillet
166900,"W0 LISBON AGED HONEY FLT 5/16""",0.3125,720472158251,7.01,10.5,11.5,Fillet
197440,"W0 BAUHAUS II WHITE FILET 1/4""",0.25,720472199131,3.62,4.64,5.64,Fillet
197450,"W0 BAUHAUS II BLACK FILET 1/4""",0.25,720472199148,3.5,4.55,5.55,Fillet
X0466,"W0 FL/GOLD FILLET 3/16""",0.1875,720472103596,3.58,6.1,7.1,Fillet
10-036M,"WHITE WASH MAPLE CAP 5/8""",0.625,720472184441,10.05,13.52,14.52,Wood
10-100M,"NATURAL MAPLE CAP 5/8""",0.625,720472184458,9.71,12.75,13.75,Wood
102CG,W0 CLASSIC GOLD 1/2,0.5,720472100021,4.26,6.75,7.75,Wood
10-507M,"MSTEMS HANDRUBBED GRY CAP 5/8""",0.625,720472191241,9.91,13,14,Wood
105CB,W0 CLASSIC BLACK 1/2 VIENNA,0.5,720472100052,3.81,6,7,Wood
11-036M,"WHITE WASH MAPLE STEM 5/8""",0.625,720472191180,12.66,16.13,17.13,Wood
11-100M,"NATURAL MAPLE CAP 5/8""",0.625,720472191197,12.38,15.74,16.74,Wood
112-060C,"MSTEMS NATURAL CHERRY 1/2""",0.5625,720472187411,8.66,11.34,12.34,Wood
112-100M,"MSTEMS NATURAL MAPLE 1 1/8""",0.5625,720472187428,8.84,11.3,12.3,Wood
112-500A,"MSTEMS SATIN BLACK ASH 1 1/8""",0.5625,720472187435,5.84,7.8,8.8,Wood
112-506W,"MSTEMS ESPRESSO WAL 1 1/8""",0.5625,720472187442,8.62,11.48,12.48,Wood
115-100M,"MSTEMS NATURAL MAPLE 1/2""",0.5625,720472187466,10.45,14.1,15.1,Wood
115-500A,"MSTEMS BLACK ASH 1/2""",0.5625,720472187473,5.84,7.77,8.77,Wood
115-506W,"MSTEMS ESPRESSO WALNUT 1/2""",0.5625,720472187480,11.1,15.42,16.42,Wood
119206,"W0 SHOJI DK WAL TALL CAP 1""",1,720472199575,4.16,5.44,6.44,Wood
119208,"W0 SHOJI EB WAL TALL CAP 1""",1,720472199582,4.16,5.44,6.44,Wood
119630,"W1 CONFETTI BLACK CAP 1""",1,720472149891,7.45,11,12,Wood
119631,"W1 CONFETTI WHITE CAP 1""",1,720472149907,7.45,11,12,Wood
12-100M,"NATURAL MAPLE CAP 13/16""",0.8125,720472187497,17.02,22.55,23.55,Wood
123960,"W1 FLAX OYSTER LINER 3/4""",0.75,720472159845,2.99,6.42,7.42,Liner
123962,"W1 FLAX SAND LINER 3/4""",0.75,720472159852,2.96,6.34,7.34,Liner
123964,"W1 FLAX PEBBLE LINER 3/4""",0.75,720472159869,2.85,6.13,7.13,Liner
123966,"W1 FLAX BLACK LINER 3/4""",0.75,720472159876,2.67,5.72,6.72,Liner
12-507M,"MSTEMS GREY MAPLE CAP 13/16""",0.8125,720472187503,16.63,22.25,23.25,Wood
140632,"W1 CONFETTI YELLOW 7/8""",0.875,720472150019,3.35,5.36,6.36,Wood
140634,"W1 CONFETTI ORANGE 7/8""",0.875,720472150033,3.35,5.36,6.36,Wood
140635,"W1 CONFETTI RED 7/8""",0.875,720472150040,3.35,5.36,6.36,Wood
140636,"W1 CONFETTI LT BLUE 7/8""",0.875,720472150057,3.35,5.36,6.36,Wood
140638,"W1 CONFETTI MAROON 7/8""",0.875,720472150071,3.35,5.36,6.36,Wood
140639,"W1 CONFETTI PURPLE 7/8""",0.875,720472150088,3.35,5.36,6.36,Wood
140640,"W1 CONFETTI BLUE 7/8""",0.875,720472150095,3.35,5.36,6.36,Wood
140641,"W1 CONFETTI DK BLUE 7/8""",0.875,720472150101,3.35,5.36,6.36,Wood
140642,"W1 CONFETTI BABY GREEN 7/8""",0.875,720472160148,3.35,5.36,6.36,Wood
140643,"W1 CONFETTI BABY BLUE 7/8""",0.875,720472160155,3.35,5.36,6.36,Wood
140644,"W1 CONFETTI BABY YELLOW 7/8""",0.875,720472160162,3.35,5.36,6.36,Wood
140645,"W1 CONFETTI BABY PINK 7/8""",0.875,720472160179,3.35,5.34,6.34,Wood
140646,"W1 CONFETTI CITRON GREEN 7/8""",0.875,720472160186,3.35,5.36,6.36,Wood
140647,"W1 CONFETTI TWEEN PINK 7/8""",0.875,720472160193,3.35,5.36,6.36,Wood
140648,"W1 CONFETTI TEAL 7/8""",0.875,720472160209,3.35,5.36,6.36,Wood
140649,"W1 CONFETTI RED ORANGE 7/8""",0.875,720472160216,3.35,5.36,6.36,Wood
140650,"W1 CONFETTI SHAMROCK 7/8""",0.875,720472160223,3.35,5.36,6.36,Wood
140651,"W1 CONFETTI METALLIC GOLD 7/8""",0.875,720472160230,3.35,5.36,6.36,Wood
140652,"W1 CONFETTI BLACK 7/8""",0.875,720472160247,3.35,5.36,6.36,Wood
140653,"W1 CONFETTI WHITE 7/8""",0.875,720472160254,3.35,5.36,6.36,Wood
144508,W1 Lancaster II Deep Cap,0.8125,720472196437,3.74,6.7,7.7,Wood
144510,W1 Lancaster II Deep Cap 13/16,0.8125,720472196444,4.29,7.04,8.04,Wood
145790,"W1 GRAMERCY BLACK CAP 13/16""",0.8125,720472153287,4.7,6.58,7.58,Wood
145791,"W1 GRAMERCY SILVER CAP 13/16""",0.8125,720472153294,3.97,5.25,6.25,Wood
145BL,W0 145BL 1/2,0.5,720472100137,4.86,6.86,7.86,Wood
146790,"GRAMERCY BLACK CAP 5/8""",0.625,720472153300,4.92,7.21,8.21,Wood
147791,"GRAMERCY SILVER CAP 9/16""",0.5625,720472153331,3.15,4.25,5.25,Wood
184508,W1 Lancaster II Rev Bev Cap 1,1.125,720472196451,6.13,9.71,10.71,Wood
192706,"W1 OLSEN MAPLE SM CUBE 3/4""",0.75,720472199674,4.16,5.8,6.8,Wood
192708,"W1 OLSEN OAK SM CUBE 3/4""",0.75,720472199681,4.16,5.8,6.8,Wood
195203,"MADISON NATURAL CAP 1""",1.125,720472197649,5.67,8.53,9.53,Wood
195204,"MADISON BLACK CAP 1""",1.125,720472197656,5.57,8.36,9.36,Wood
195205,"MADISON GREY CAP 1""",1.125,720472197663,5.58,8.41,9.41,Wood
196870,W1 COLOSSEUM II SFT PEWTER 3/4,0.75,720472199308,4.92,7.19,8.19,Wood
196871,"W1 COLOSSEUM II TARN SIL 3/4""",0.75,720472199315,4.92,7.19,8.19,Wood
