Item,Description,Dimensions*,Cost per Sheet**,Group,UPC
100-01,white,32x40,11.25,Matboard,012345678915
200-01,blue,32x40,11.25,Matboard,012345678916
350-AB,walnut,32x40,11.25,Matboard,012345678917
555-55,gold,32x40,12.25,Matboard,012345678918
DRF-55,flat black,32x40,12.25,Matboard,012345678919
DRF-66,silver,32x40,12.25,Matboard,012345678910
JV-35,cream,32x40,12.25,Matboard,012345678911
99-55,rosewood,40x60,23.5,Matboard,012345678912
N05-10,velvet blue,54,11.99,Fabric,012345678913
N05-50,brass,54,20.99,Fabric,012345678914
