item,cost,chop,join,width,description,group
304-988,18.09,28.94,34.73,,"2-11/16"" Black Wax w/Gold Lip",Wood
304-989,18.09,28.94,34.73,,"2-11/16"" Ivory Wax w/Gold Lip",Wood
305-988,13.35,21.36,25.63,,"2-7/16"" Black Wax w/Gold Lip",Wood
305-989,13.35,21.36,25.63,,"2-7/16"" Ivory Wax w/Gold Lip",Wood
306-988,9.78,15.65,18.78,,"1-9/16"" Black Wax w/Gold Lip",Wood
306-989,9.78,15.65,18.78,,"1-9/16"" Ivory Wax w/Gold Lip",Wood
307-988,6.67,10.67,12.8,,"1"" Black Wax w/Gold Lip",Wood
307-989,6.67,10.67,12.8,,"1"" Ivory Wax w/Gold Lip",Wood
317-416,6.33,10.12,12.14,1.25,"1-1/4"" Golden Silver w/ Wash",Wood
317-417,6.33,10.12,12.14,1.25,"1-1/4"" Golden Silver w/ Dark Shimmer",Wood
317-418,6.33,10.12,12.14,1.25,"1-1/4"" Golden Silver w/ Black Shimmer",Wood
317-419,6.33,10.12,12.14,1.25,"1-1/4"" Golden Silver w/ Creamy Ivory",Wood
328-602,4.26,7.02,8.42,0.63,"5/8"" Oxford Gold Brown",Wood
328-603,4.26,7.02,8.42,0.63,"5/8"" Oxford Gold",Wood
328-606,4.26,7.02,8.42,0.63,"5/8"" Oxford Gold Red",Wood
328-607,4.26,7.02,8.42,0.63,"5/8"" Oxford Gold Green",Wood
328-608,4.26,7.02,8.42,0.63,"5/8"" Oxford Gold Black",Wood
328-609,4.26,7.02,8.42,0.63,"5/8"" Oxford Gold White",Wood
328-613,4.26,7.02,8.42,0.63,"5/8"" Oxford Silver",Wood
328-614,4.26,7.02,8.42,0.63,"5/8"" Oxford Silver Blue",Wood
328-615,4.26,7.02,8.42,0.63,"5/8"" Oxford Silver Hazelnut",Wood
328-616,4.26,7.02,8.42,0.63,"5/8"" Oxford Silver Red",Wood
328-617,4.26,7.02,8.42,0.63,"5/8"" Oxford Silver Green",Wood
