item,cost,description,fortybysixty
B8632,15.09,White 2 ply,32x40
B8654,15.09,Pure White 2 ply,32x40
B8629,36.48,Fresh Hay,32x40
B8634,28.89,White,32x40
B8640,28.89,Antique White,32x40
B8642,30.3,Cream,32x40
B8643,30.3,Dove Grey,32x40
B8644,36.48,Ebony,32x40
B8645,30.3,Ivory,32x40
B8646,30.3,Khaki,32x40
B8647,28.89,Pearl White,32x40
B8655,28.89,Pure White,32x40
B8656,28.89,Natural White,32x40
B8663,37,Natural Black,32x40
B8664,30.3,Special Cream,32x40
B8665,30.3,Tumbleweed,32x40
B8666,30.3,Sand,32x40
B8667,30.3,Colonial Cream,32x40
B8668,30.3,Ecru,32x40
B8669,37,Black Shadow,32x40
B8673,37,Deep Sage,32x40
B8674,30.3,Stone,32x40
B8678,37,Coir,32x40
B8688,28.89,Glacier White,32x40
B8690,37,Toasted Wheat,32x40
B8634L,54.64,White,40x60
B8640L,54.64,Antique White,40x60
B8644L,82.21,Ebony,40x60
B8647L,54.64,Pearl White,40x60
B8655L,54.64,Pure White,40x60
B8667L,57.97,Colonial Cream,40x60
B86408,65.88,Antique White,32x40
B86468,68.85,Khaki,32x40
B86478,65.88,Pearl White,32x40
B8653,65.88,Pure White,32x40
B8660,65.88,White,32x40
B86348L,126.89,White,40x60
B86478L,126.89,Pearl White,40x60
B8661,83.45,White 48 x 72,48x72
B8662,150.33,White 48 x 96,48x96
B8013,20.91,Matador,32x40
B8052,20.91,Precious Pink,32x40
B8055,20.91,Ardent Blue,32x40
B8056,20.91,Balmy Blue,32x40
B8108,20.91,Sherry,32x40
B8151,20.91,Palm,32x40
B8153,20.91,Jute,32x40
B8155,20.91,Fiori,32x40
B8156,20.91,Prato,32x40
B8157,20.91,Verde,32x40
B8158,20.91,Sole,32x40
B8159,20.91,Mare,32x40
B8160,20.91,Luna,32x40
B8162,20.91,Fango,32x40
B8180,20.91,Mocha,32x40
B8181,20.91,Matte Black,32x40
B8182,20.91,Rainforest Green,32x40
B8183,20.91,Darkest Blue,32x40
B8189,20.91,Toasted Almond,32x40
B8192,20.91,Fiery Red,32x40
B8260,20.91,Ice White,32x40
B8262,20.91,Polar White,32x40
B8263,23,Beeswax,32x40
B8264,20.91,Wild Olive,32x40
B8265,20.91,Tabasco,32x40
B8267,20.91,Crystal Blue,32x40
B8268,20.91,Moonrock,32x40
B8269,20.91,Claret,32x40
B8270,20.91,Clementine,32x40
B8271,20.91,Dreamweaver,32x40
B8272,20.91,Goldenrod,32x40
B8273,20.91,Beryl,32x40
B8274,20.91,Dawn,32x40
B8275,20.91,Dried Sage,32x40
B8276,20.91,Paloma,32x40
B8277,20.91,Pagoda,32x40
B8278,20.91,Bijou,32x40
B8401,20.91,Biscotti,32x40
B8409,20.91,Amber,32x40
B8412,20.91,Green Olive,32x40
B8417,20.91,Venetian Blue,32x40
B8420,20.91,Softly Pink,32x40
B8425,20.91,Sea Green,32x40
B8426,20.91,Parakeet,32x40
B8428,20.91,Papaya,32x40
B8431,20.91,Antique,32x40
B8432,20.91,Angora,32x40
B8433,20.91,Jet,32x40
B8435,20.91,Chrome,32x40
B8437,20.91,Clover,32x40
B8438,20.91,Chalk,32x40
B8440,20.91,Aubergine,32x40
B8442,23,Kona,32x40
B8443,20.91,Teak,32x40
B8444,20.91,Pecan,32x40
B8445,20.91,Fiddlehead,32x40
B8446,20.91,Raffia,32x40
B8447,20.91,Black Spruce,32x40
B8448,20.91,Jalapeno,32x40
B8450,20.91,Denim Blue,32x40
B8451,20.91,Mulberry,32x40
B8453,20.91,Cayenne,32x40
B8454,20.91,Marigold,32x40
