Item,Description,Width*,Rabbet Height*,Lip Size*,Length**,Chop**,Join**,Group,UPC
ECO1-N,Rustic Treasure - Natural,1.5,0.375,0.313,3.20,4.25,,Wood,
ECO1-W,Rustic Treasure - White,1.5,0.375,0.313,3.20,2.25,,Wood,
ECO1-S,Rustic Treasure - Sage,1.5,0.375,0.313,3.20,1.45,,Wood,
ECO1-B,Rustic Treasure - Porch Blue,1.5,0.375,0.313,3.20,5.50,,Wood,
ECO1-R,Rustic Treasure - Red Barn,1.5,0.375,0.313,3.20,9.23,,Wood,
ECO1-C,Rustic Treasure - Carbon,1.5,0.375,0.313,3.20,8.45,,Wood,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
