item,Description,size decimal,Chop,join,cost,group
L-295,Antique gold,0.750,7.24,9.05,4.71,Wood
L-552,Onyx,0.750,5.01,6.26,3.26,Wood
L-555,Rich brown with black back,0.750,6.29,7.86,4.09,Wood
L-556,Dark mahogany with black back,0.750,6.29,7.86,4.09,Wood
L-572,Sea blue,1.250,6.37,7.96,4.14,Wood
L-579,Onyx,1.250,6.53,8.16,4.24,Wood
L-590,Distressed light gray with wash,1.500,8.57,10.71,5.57,Wood
L-656,Strawberry cream,0.500,4.44,5.55,2.89,Wood
L-666,Nutmeg,0.500,4.88,6.10,3.17,Wood
L-668,Teak brown,0.500,4.56,5.70,2.96,Wood
L-747,Walnut ash,0.750,7.97,9.96,5.18,Wood
L-750,Honey brown ash,0.750,7.36,9.20,4.78,Wood
L-824,Sea green teal,0.750,5.45,6.81,3.54,Wood
L-856,Czar green,1.500,7.09,8.86,4.61,Wood
L-869,Light brown,0.500,6.69,8.36,4.35,Wood
L-889,Wormy pecan,1.500,9.66,12.08,6.28,Wood
L-893,Wormy pecan,1.000,6.90,8.63,4.49,Wood
L-895,Matte black,1.000,6.19,7.74,4.02,Wood
L-898,Matte black,0.500,4.51,5.64,2.93,Wood
L-2060,Deep chestnut brown,0.500,5.08,6.35,3.30,Wood
L-2073,Provincial maple,1.000,8.09,10.11,5.26,Wood
L-2078,Deep chestnut brown,1.000,8.09,10.11,5.26,Wood
L-2081,Matte black with gold line,1.000,6.18,7.73,4.02,Wood
L-2096,Gold shadow box,1.000,15.25,19.06,9.91,Wood
L-2106,Antique gold ornate,1.750,13.93,17.41,9.05,Wood
L-2107,Antique silver ornate,1.750,13.98,17.48,9.09,Wood
L-2125,Gold ornate heavy antique wash,1.500,11.44,14.30,7.44,Wood
L-2143,Mahogany bead on lip,1.750,14.38,17.98,9.35,Wood
L-2162,Natural,1.000,5.66,7.08,3.68,Wood
L-2167,Antique gold with black texture,2.500,16.58,20.73,10.78,Wood
L-2185,Embossed black with light green wash,1.250,8.80,11.00,5.72,Wood
L-2189,Embossed provincial maple stain,1.250,7.37,9.21,4.79,Wood
L-2193,Mahogany,0.750,6.02,7.53,3.91,Wood
L-2194,Matte black,0.750,4.69,5.86,3.05,Wood
L-2197,Distressed light gray with wash,1.250,7.41,9.26,4.82,Wood
L-3009,Distressed mahogany,1.750,10.93,13.66,7.10,Wood
L-3029,Transversal zebra wood veneer,1.250,10.26,12.83,6.67,Wood
L-3030,Transversal ebony veneer,1.250,10.26,12.83,6.67,Wood
L-3038,Gold with gray wash,3.750,36.87,46.09,23.97,Wood
L-3042,Silver and black,0.500,6.14,7.68,3.99,Wood
L-3044,Silver and black,1.000,6.87,8.59,4.47,Wood
L-3047,Silver and black,1.000,8.78,10.98,5.71,Wood
L-3051,Cottage white with gold lip,1.000,8.60,10.75,5.59,Wood
L-3053,Coal black with gold lip,1.000,8.36,10.45,5.43,Wood
L-3058,Gold with ornate lip,1.250,9.34,11.68,6.07,Wood
L-3060,Coal black with ornate gold lip,1.250,9.03,11.29,5.87,Wood
L-3072,Antique amber with gold overleaf,1.750,14.75,18.44,9.59,Wood
L-3074,Gothic silver with black,1.750,14.75,18.44,9.59,Wood
L-3075,Gold ,1.750,14.75,18.44,9.59,Wood
L-3087,Satin white,1.500,9.50,11.88,6.18,Wood
L-3102,Brown with embossed lip,1.500,9.11,11.39,5.92,Wood
L-3107,Brown,1.000,7.36,9.20,4.78,Wood
L-3109,Brown,1.250,7.34,9.18,4.77,Wood
L-3111,Ebony,1.250,7.34,9.18,4.77,Wood
L-3117,Mahogany with gold lip,0.750,5.63,7.04,3.66,Wood
L-3118,Walnut with black embossed lip,1.250,9.20,11.50,5.98,Wood
L-3119,Mahogany with black embossed lip,1.250,9.20,11.50,5.98,Wood
L-3120,Ebony,1.000,7.36,9.20,4.78,Wood
L-3121,Walnut two tone,1.250,8.04,10.05,5.23,Wood
L-3123,Walnut,1.000,6.59,8.24,4.28,Wood
L-3124,Mahogany,1.000,6.59,8.24,4.28,Wood
L-3125,Walnut,0.500,7.14,8.93,4.64,Wood
L-3126,Mahogany,0.500,6.96,8.70,4.52,Wood
L-3130,Gold,2.000,14.25,17.81,9.26,Wood
L-3132,Silver,1.250,9.57,11.96,6.22,Wood
L-3134,Duotone copper,1.250,10.18,12.73,6.62,Wood
L-3135,Gold,1.250,10.18,12.73,6.62,Wood
L-3142,Distressed golden green,1.250,11.28,14.10,7.33,Wood
L-3144,Distressed golden pacific blue,1.250,11.28,14.10,7.33,Wood
L-3160,Bronze,0.750,7.31,9.14,4.75,Wood
L-3162,White on maple veneer with black lip,1.500,11.72,14.65,7.62,Wood
L-3163,Transversal mahogany veneer with black lip,1.500,11.81,14.76,7.68,Wood
L-3191,Colonial,1.000,8.06,10.08,5.24,Wood
L-3196,Silver cream with soft gold lip,2.750,13.19,16.49,8.57,Wood
L-3197,Antique rough brown with gold lip,2.750,12.20,15.25,7.93,Wood
L-3207,Antique silver,1.750,14.45,18.06,9.39,Wood
L-3208,Antique gold,1.750,12.46,15.58,8.10,Wood
L-3209,Antique textured brown,1.750,12.41,15.51,8.07,Wood
L-3212,Antique gold with textured black panel,1.250,8.06,10.08,5.24,Wood
L-3214,Antique silver,1.250,7.93,9.91,5.15,Wood
L-3215,Antique gold,1.250,7.93,9.91,5.15,Wood
L-3216,Antique textured brown,1.250,7.93,9.91,5.15,Wood
L-3217,Gold with brushed panel,1.250,7.93,9.91,5.15,Wood
L-3222,Black shadow box,1.000,14.15,17.69,9.20,Wood
L-3223,Black extender for shadow box,1.000,6.84,8.55,4.45,Wood
L-3224,Dark rich brown,0.500,6.04,7.55,3.93,Wood
L-3225,Dark rich brown,1.500,8.17,10.21,5.31,Wood
L-3226,Dark rich brown,1.000,7.48,9.35,4.86,Wood
L-3227,Dark rich brown,0.750,7.82,9.78,5.08,Wood
L-3228,Dark rich brown,2.500,12.65,15.81,8.22,Wood
L-3229,Black forest silver,3.250,13.19,16.49,8.57,Wood
L-3230,Black forest gold,3.250,13.19,16.49,8.57,Wood
L-3231,Black forest silver,1.500,7.34,9.18,4.77,Wood
L-3232,Black forest gold,1.500,7.34,9.18,4.77,Wood
L-3234,Roman bronze,0.750,7.12,8.90,4.63,Wood
L-3239,Antique rough brown with gold lip,1.750,12.41,15.51,8.07,Wood
L-3240,Arabian bronze,1.750,12.39,15.49,8.05,Wood
L-3241,Matte black,0.500,3.80,4.75,2.47,Wood
L-3242,Matte black,1.500,5.67,7.09,3.69,Wood
L-3243,Matte black,1.000,5.63,7.04,3.66,Wood
L-3244,Matte black,0.750,6.14,7.68,3.99,Wood
L-3245,Matte black,2.500,9.52,11.90,6.19,Wood
L-3256,Dark rich brown shadow box,1.000,15.07,18.84,9.80,Wood
L-3257,Dark rich brown extender shadow box,1.000,6.66,8.33,4.33,Wood
L-3261,Black,1.500,9.89,12.36,6.43,Wood
L-3263,Yellow,0.500,5.04,6.30,3.28,Wood
L-3265,White  ,0.500,5.04,6.30,3.28,Wood
L-3266,Silver,0.500,5.04,6.30,3.28,Wood
L-3268,Grey,0.500,5.04,6.30,3.28,Wood
L-3270,Green  ,0.500,5.04,6.30,3.28,Wood
L-3271,Blue  ,0.500,5.04,6.30,3.28,Wood
L-3272,Red,0.500,5.04,6.30,3.28,Wood
