Item,Description,Price,FortybySixty
CX,WHITE MOUNT BOARD 32 X 40,6.42,
C3X,WHITE DOUBLE THICK 32X40,11.85,
CAF3X,ACID FREE DOUBLE TH MOUNT 32 X 40,12.01,
C11W,ACID FREE NEEDLEWORK BOARD 32 X 40,17.52,
C132,FLAW BOARD 32X40,2.93,
C141,FLAW BOARD 40 X 60,9.07,
C1100,ARCHIVAL MIST MUSEUM 32 X 40,32.96,
C1101,NEUTRAL GRAY MUSEUM 32 X 40,32.96,
C1102,VINTAGE GRAY MUSEUM 32 X 40,32.96,
C1104,ANTIQUE TAN MUSEUM 32 X 40,36.39,
C1105,DESERT SAND MUSEUM 32 X 40,32.96,
C1106,ANTIQUE GRAY MUSEUM 32 X 40,32.96,
C1112,SOFT WHITE MUSEUM 32 X 40,31.18,
C1114,ALMOND MUSEUM 32 X 40,32.96,
C1115,BLACK MUSEUM 32 X 40,42.57,
C1117,GRAY MUSEUM 32 X 40,32.96,
C1121,INVERNESS MUSEM 32 X 40,32.96,
C1122,STRATFORD MUSEUM 32 X 40,32.96,
C1123,NEW CASTLE MUSEUM 32 X 40,42.57,
C1125,SHETLAND MUSEUM 32 X 40,32.96,
C1126,SAND DOLLAR MUSEUM SOLID 32 X 40,31.18,
C1127,SPROUT MUSEUM SOLID 32 X 40,32.96,
C1128,SHORELINE MUSEUM SOLID 32 X 40,32.96,
C1129,BLUFF MUSEUM SOLID 32 X 40,32.96,
C1133,BRIAR MUSEUM SOLID 32 X 40,32.96,
C1136,LOAM MUSEUM SOLID 32 X 40,42.57,
C1137,FIELDSTONE MUSEUM SOLID 32 X 40,42.57,
C1150,WHITE 2 PLY MUSEUM 32 X 40,13.61,
C1152,CREAM 2 PLY MUSEUM 32 X 40,13.61,
C1153,WHITE MUSEUM 32 X 40,24.12,
C1157,ANTIQUE WHITE 2 PLY MUSEUM 32 X 40,13.61,
C1159,ANTIQUE WHITE MUSEUM 32 X 40,23.64,
C1170,COOL WHITE RAG SOLID 32 X 40,31.18,
C1171,SILK RAG SOLID 32 X 40,31.18,
C1173,SOFT CREAM RAG SOLID 32 X 40,32.96,
C1174,BEIGE RAG SOLID 32 X 40,32.96,
C1175,CLAY RAG SOLID 32 X 40,32.96,
C1176,SUNTAN RAG SOLID 32 X 40,32.96,
C1177,BROWNSTONE RAG SOLID 32 X 40,42.57,
C1184,SABLE RAG SOLID 32 X 40,42.57,
C1186,COOL GRAY 32 X 40,32.98,
C1187,ESSENTIAL GRAY 32 X 40,36.39,
C1188,WINTER WHITE RAG/MUS/SOLID 32 X 40,31.18,
C1189,SANGUINE RAGMAT SOLID MUS. 32 X 40,42.59,
C12058,MOSAIC BLUE 32 X 40,18.11,
C12087,BRIGHTEST WHITE 32 X 40,18.11,
C12091,CHARTREUSE 32 X 40,18.11,
C12094,ULTRA VIOLET 32 X 40,18.11,
C1515,WHITE BARRIER PAPER .015 32 X 40,7.3,
C1530,WHITE/ANTIQUE WHITE MUSEUM 32 X 40,26.63,
C1531,OFF WHITE/CREAM MUSEUM 32 X 40,26.63,
C1536,WHITE 6 PLY MUSEUM 32 X 40,52.55,
C2238,WHITE 8 PLY. MUSEUM 32 X 40,69.84,
C2239,8 PLY ANTIQUE WHITE MUSEUM 32 X 40,69.84,
C2253,CLASSIC RAG WHITE 32 X 40,31.18,
C2255,CLASSIC RAG CREAM 32 X 40,32.96,
C2259,CLASSIC RAG ANTIQUE WHITE 32 X 40,31.18,
C2296,UNBUFFERED OPTIC BLACK MUS. 32 X 40,42.57,
C2297,ARCH. PHOTO MOUNT CREAM 32 X 40,32.96,
C2298,ARCH. PHOTO MOUNT ANT. W. 32 X 40,31.18,
C2299,ARCHIVAL PHOTO MOUNT 32 X 40,31.18,
C5400,BRUSHED BRASS ETCHED METAL/SEL32X40,21.01,
C5402,GUNMETAL ETCHED METALS SELECT 32X40,21.01,
C5403,OIL-RUBBED BRONZE/ETCH/MET/SEL32X40,21.01,
C5501,BROOK SUEDE 32 X 40 BT,51.63,
C5512,CLEMENTINE SUEDE 32 X 40 BT,51.63,
C5515,THICKET SUEDE 32 X 40 BT,51.63,
C5533,VINTAGE WHITE 32 X 40 BT,62.66,
C5539,CREAM JUTE 32 X 40 BT,66.01,
C5540,BARNWOOD JUTE 32 X 40 BT,66.01,
C5542,BLACK JUTE 32 X 40 BT,66.01,
C5559,BRITISH TAN 32 X 40 BT,90.59,
C5561,SAHARA SAND 32 X 40 BT,90.59,
C5579,ETCHED BLACK 32 X 40,28.47,
C5598,ETCHED BLACK 32 X 40,21.01,
C5632,WARM WHITE 32 X 40 BT,90.59,
C5636,PURPLE TORCH SUEDE 32 X 40 BT,51.63,
C5638,TILE BLUE SUEDE 32 X 40 BT,51.63,
C5647,CARNATION 32 X 40,18.11,
C5648,PEONY 32 X 40,18.11,
C5651,BLUEBIRD 32 X 40,18.11,
C5654,NATURAL JUTE 32 X 40 BT,66.01,
C5657,MOONLIT SAND 32 X 40 BT,52.45,
C5658,BRONZED SAND 32 X 40 BT,52.45,
C5698,SILVER SAND 32 X 40 BT,52.45,
C5699,GRAPHITE SAND 32 X 40 BT,52.45,
C5660,WHITE SHIMMER 32 X 40 BT,57.3,
C5661,IVORY SHIMMER 32 X 40 BT,57.3,
C5700,VIVID WHITE CON. SOLIDS 32 X 40,23.86,
C5701,ARTIC WHITE CON. SOLIDS 32 X 40,23.86,
C5702,WHITE CONSERVATION SOLIDS 32 X 40,23.86,
C5703,ANTIQUE WHITE CON. SOLIDS 32 X 40,23.86,
C5704,CREAM CONSERVATION SOLID 32 X 40,23.86,
C5705,BUFF CONSERV. SOLIDS 32X40,23.86,
C5706,TAN CONSERVATION SOLIDS 32 X 40,23.86,
C5708,DARK BROWN CONSERVATION SOLIDS32X40,26.99,
C5709,GRAY CONSERVATION SOLIDS 32 X 40,26.99,
C5710,DARK GRAY CONSERVATION SOLIDS 32X40,30.54,
C5711,DEEP BLACK CONSERVATION SOLIDS32X40,26.99,
C5712,CLOUD GRAY 32 X 40,23.86,
C5713,NEUTRAL GRAY 32 X 40,30.54,
C5714,CLASSIC GRAY 32 X 40,26.99,
C5851,GOLDEN SHIMMER 32 X 40 BTEND,57.3,
C5852,SILVER SHIMMER 32 X 40 BT,57.3,
C5853,EBONY SHIMMER 32 X 40 BT,57.3,
C7100,MOUTARDE SUEDE 32 X 40,61.47,
C7101,PERLE SUEDE 32 X 40,61.47,
C7102,DUNE SUEDE 32 X 40,61.47,
C7104,CHAMOIS SUEDE 32 X 40,61.47,
C7105,DARK RUST SUEDE 32 X 40,61.47,
C7106,ANTELOPE SUEDE 32 X 40,61.47,
C7109,TAUPE SUEDE 32 X 40,61.47,
C7111,SHAMROCK GREEN SUEDE 32 X 40,61.47,
C7112,BORDEAUX SUEDE 32 X 40,61.47,
C7113,MARINE BLUE SUEDE 32 X 40,61.47,
C7114,CARBON BLACK SUEDE 32 X 40,61.47,
C7115,MOKA SUEDE 32 X 40,61.47,
C7116,CHINESE RED SUEDE 32 X 40,61.47,
C7120,POLARIS SUEDE 32 X 40,61.47,
C7127,MILKWEED SUEDE 32 X 40,61.47,
C7128,OFF WHITE SUEDE 32 X 40,61.47,
C7132,WHISPER SUEDE 32 X 40,61.47,
C7133,DUSTY GREEN SUEDE 32 X 40,61.47,
C7134,ASPARAGUS SUEDE 32 X 40,61.47,
C7135,PINE GREEN SUEDE 32 X 40,61.47,
C7136,LE BEIGE SUEDE 32 X 40,61.47,
C7139,ANTHRACITE SUEDE 32 X 40,61.47,
C7140,WEESP BLUE SUEDE 32 X 40,61.47,
C7141,PLATINUM SUEDE 32 X 40,61.47,
C7155,WILDGRASS SUEDE 32 X 40,61.47,
C7156,SUMMER SKY SUEDE 32 X 40,61.47,
C7157,CATTAIL SUEDE 32 X 40,61.47,
C7158,STORM GRAY SUEDE 32 X 40,61.47,
C7159,COTTAGE STONE SUEDE 32 X 40,61.47,
C7160,EMBER SUEDE 32 X 40,61.47,
C7162,REED SUEDE 32 X 40,61.47,
