ITEM,DESC,WIDTH,UM,UPC,LISTPRICE,CHOPPRICE,JOINPRICE,CLASS,BOXQTY,BOXPRICE,ISFILLET,ISCUTMAT,ISMATBOARD
10-036M,"WHITE WASH MAPLE CAP 5/8""",0.625,FT,720472184441,10.05,13.52,14.52,Frame Moulding,276,6.62,N,N,N
100750,"W0 SOFIA BRONZE FILLET 1/4""",0.25,FT,720472154925,4.65,7.07,8.07,Fillet,1200,3.02,Y,N,N
100751,"W0 SOFIA GOLD FILLET 1/4""",0.25,FT,720472154871,4.65,7.07,8.07,Fillet,1587,3.02,Y,N,N
100752,"W0 SOFIA IRON FILLET 1/4""",0.25,FT,720472154826,4.65,7.07,8.07,Fillet,1000,3.02,Y,N,N
10-100M,"NATURAL MAPLE CAP 5/8""",0.625,FT,720472184458,9.71,12.75,13.75,Frame Moulding,375,6.34,N,N,N
102CG,W0 CLASSIC GOLD 1/2,0.5,FT,720472100021,4.26,6.75,7.75,Frame Moulding,350,2,N,N,N
103180,W0 HUDSON GLD BEAD FILLET 5/16,0.5625,FT,720472172790,3.58,5.84,6.84,Fillet,900,1.68,Y,N,N
103190,W0 HUDSON SLV BEAD FILLET 5/16,0.5625,FT,720472172806,3.42,5.57,6.57,Fillet,900,1.61,Y,N,N
103235,"W0 ACADEMIE GOLD FILLET 5/16""",0.3125,FT,720472139243,3.65,5.92,6.92,Fillet,1290,1.66,Y,N,N
103237,W0 ACADEMIE SILVER FILLET 7/16,0.3125,FT,720472139250,3.61,5.87,6.87,Fillet,1296,1.64,Y,N,N
10-507M,"MSTEMS HANDRUBBED GRY CAP 5/8""",0.625,FT,720472191241,9.91,13,14,Frame Moulding,306,6.52,N,N,N
10545,*100 grit sanding disk PK of 3,0,EA,720472218917,32.1,0,0,Supplies,0,0,N,N,N
10554,*Putnam 7mm V-nails HW 4000/bx,0,EA,720472218948,64.35,0,0,Supplies,0,0,N,N,N
10558,*Putnam 10mm V-nails HW 3000/b,0,EA,720472218962,53.59,0,0,Supplies,0,0,N,N,N
10562,*Putnam 12mm V-nails HW 3000/b,0,EA,720472218986,59.44,0,0,Supplies,0,0,N,N,N
10566,*Putnam 15mm V-nails HW 2000/b,0,EA,720472219006,42.67,0,0,Supplies,0,0,N,N,N
105CB,W0 CLASSIC BLACK 1/2 VIENNA,0.5,FT,720472100052,3.81,6,7,Frame Moulding,270,2.54,N,N,N
106180,"W0 HUDSON GOLD FILLET 1/4""",0.5,FT,720472172813,3.44,5.58,6.58,Fillet,900,1.6,Y,N,N
106190,"W0 HUDSON SILVER FILLET 1/4""",0.5,FT,720472172820,3.25,5.34,6.34,Fillet,900,1.52,Y,N,N
108185,"W0 L7 GOLD W/BLACK FILLET 1/8""",0.125,FT,720472168717,8.1,10.28,11.28,Fillet,950,5.52,Y,N,N
11-036M,"WHITE WASH MAPLE STEM 5/8""",0.625,FT,720472191180,12.66,16.13,17.13,Frame Moulding,200,7.9,N,N,N
11-100M,"NATURAL MAPLE CAP 5/8""",0.625,FT,720472191197,12.38,15.74,16.74,Frame Moulding,195,7.71,N,N,N
112-060C,"MSTEMS NATURAL CHERRY 1/2""",0.5625,FT,720472187411,8.66,11.34,12.34,Frame Moulding,375,5.51,N,N,N
112-100M,"MSTEMS NATURAL MAPLE 1 1/8""",0.5625,FT,720472187428,8.84,11.3,12.3,Frame Moulding,360,5.74,N,N,N
112-500A,"MSTEMS SATIN BLACK ASH 1 1/8""",0.5625,FT,720472187435,5.84,7.8,8.8,Frame Moulding,483,4.41,N,N,N
112-506W,"MSTEMS ESPRESSO WAL 1 1/8""",0.5625,FT,720472187442,8.62,11.48,12.48,Frame Moulding,360,5.48,N,N,N
11415,"CO8 Staples 35,000/box",0,EA,720472200066,71.06,0,0,Supplies,0,0,N,N,N
114153,"W0 SPENCER II SILVER FIL 5/16""",0.3125,FT,720472199018,1.69,2.3,3.3,Fillet,1080,1.15,Y,N,N
114154,"W0 SPENCER II GOLD FIL 5/16""",0.3125,FT,720472199025,1.69,2.3,3.3,Fillet,1080,1.15,Y,N,N
11440,*Senco Brad Nailer #SLP20,0,EA,720472205764,395.63,0,0,Equipment,0,0,N,N,N
115-100M,"MSTEMS NATURAL MAPLE 1/2""",0.5625,FT,720472187466,10.45,14.1,15.1,Frame Moulding,330,6.87,N,N,N
115-500A,"MSTEMS BLACK ASH 1/2""",0.5625,FT,720472187473,5.84,7.77,8.77,Frame Moulding,378,4.24,N,N,N
115-506W,"MSTEMS ESPRESSO WALNUT 1/2""",0.5625,FT,720472187480,11.1,15.42,16.42,Frame Moulding,300,6.95,N,N,N
115632,"W0 CONFETTI YELLOW FILLET 1/4""",0.25,FT,720472163590,2.39,3.95,4.95,Fillet,1080,1.41,Y,N,N
115635,"W0 CONFETTI RED FILLET 1/4""",0.25,FT,720472163613,2.39,3.95,4.95,Fillet,1080,1.41,Y,N,N
