item,description,cost,Chop,join,WIDTH,rabbet,group
100,GOLD ROUND FILLET,2.05,4.20,5.79, 3/8 , 1/4 ,Fillet
110,SILVER ROUND FILLET,2.05,4.20,5.79, 3/8 , 1/4 ,Fillet
130,SHINY BLACK ROUND FILLET,2.04,4.18,5.77, 3/8 , 1/4 ,Fillet
170,MATT BLACK ,2.00,4.11,5.69, 3/8 , 1/4 ,Fillet
200,GOLD FILLET,2.05,4.20,5.79, 3/8 , 1/8 ,Fillet
210,SILVER FILLET,2.05,4.20,5.79, 3/8 , 1/8 ,Fillet
270,MATT BLACK ,2.04,4.18,5.77, 3/8 , 1/8 ,Fillet
365,CRUSHED GOLD SCOOP FILLET,2.12,4.32,5.93, 3/8 , 1/8 ,Fillet
368,CRUSHED GOLD ROUND FILLET,2.12,4.32,5.93, 3/8 , 1/4 ,Fillet
712,MATT BLACK,1.52,3.20,4.58, 1/2 , 5/8 ,Wood
714,MATT BLACK,2.06,4.22,5.81, 3/4 , 7/8 ,Wood
715,MATT BLACK,2.00,4.11,5.69, 3/4 ,13/16,Wood
716,MATT BLACK,2.01,4.13,5.71,1, 5/8 ,Wood
717,MATT BLACK,3.38,6.41,8.31,1,1  3/8 ,Wood
718,MATT BLACK,3.02,5.85,7.65,1  3/8 , 7/8 ,Wood
1420,B&B SABLE BROWN ,9.77,15.05,17.93,3,1  7/16,Wood
1520,B&B SABLE BROWN ,7.43,11.74,14.31,2  1/8 ,1  7/16,Wood
1620,B&B SABLE BROWN,5.02,8.59,10.85,1  7/16,1  7/16,Wood
1720,B&B SABLE BROWN ,3.66,6.83,8.81, 7/8 ,1  3/8 ,Wood
1820,B&B SABLE BROWN ,3.59,6.72,8.69,1  3/16, 7/8 ,Wood
2511,LIGHT SILVER GRAY ,3.79,7.01,9.04,1  1/4 , 7/8 ,Wood
2512,DARK SILVER GRAY,3.79,7.01,9.04,1  1/4 , 7/8 ,Wood
2611,LIGHT SILVER GRAY ,6.16,9.90,12.30,2,1  1/8 ,Wood
2612,DARK SILVER GRAY ,6.16,9.90,12.30,2,1  1/8 ,Wood
3020,MADERA COFFEE BROWN ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3024,MADERA HONEY PECAN ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3028,MADERA WALNUT ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3029,MADERA NATURAL CLEAR ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3059,MADERA BLACK ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3120,MADERA COFFEE BROWN ,6.28,10.07,12.49,1,2  1/8 ,Wood
3124,MADERA HONEY PECAN ,6.28,10.07,12.49,1,2  1/8 ,Wood
3125,MADERA CHERRY ,6.28,10.07,12.49,1,2  1/8 ,Wood
3128,MADERA WALNUT ,6.28,10.07,12.49,1,2  1/8 ,Wood
3129,MADERA NATURAL CLEAR ,6.28,10.07,12.49,1,2  1/8 ,Wood
3145,MADERA GRAY ,6.28,10.07,12.49,1,2  1/8 ,Wood
3225,MADERA CHERRY ,4.14,7.50,9.61,1  5/8 , 7/8 ,Wood
