"Studio Moulding",".ST","263"
"Complete Framer's Supply Inc.",".CF","142"
"Aetna",".AE","101"
"AMCI Regence",".AMCI","103"
"AMPF",".AMPF","105"
"Roma Moulding",".RM","250"
"Aspen",".AS","111"
"Azuelas","none","115"
"Bravura",".BR","124"
"Bresler Eitel",".BE","125"
"Cash Moulding",".CM","129"
"Chop Express",".CE","131"
"Colonial Moulding",".CO","140"
"Columbia Framers Supply",".CB","289"
"Crescent","C","144"
"Crossroads",".CR","145"
"International Moulding of OH",".CV","146"
"Delta Mats & Mldg",".DL","148"
"Designer Moulding",".DS","150"
"Designer Profile",".DP","292"
"Discover Wildlife",".DW","152"
"DJ Wholesale",".DJ","153"
"Bainbridge","B","286"
"Frameguild",".FG","297"
"Nurre Caxton",".N","304"
"Don Mar - Frame & Moulding",".DM","154"
"Engelsen",".EN","157"
"Evald",".EV","159"
"Fine Arts Framers",".FAF","161"
"Fotiou",".FU","294"
"Frame Specialties",".FS","165"
"Framers Supply Co",".FSC","180"
"Framers Market",".FM","175"
"Framer's Warehouse",".FW","298"
"Gemini Moulding",".GM","185"
"Husar Picture Frame",".HU","192"
"Southern Moulding and Supply Co.",".SO","258"
"Nelson's",".NEL","223"
"Indian River, Moulding Inc.",".IR","194"
"J. Orr Moulding, Services",".ORR","231"
"Kendall Moulding & Frames",".KD","199"
"La Marche Moulding",".LM","201"
"International Moulding of PA (formerly LeWinter Moulding)","none","203"
"Louisianna (LMS)",".LMS","206"
"Max Moulding",".MAX","208"
"International Moulding of WV (Formerly Mayne Framing Supply)",".MY","209"
"Monarch Moulding",".MN","215"
"New Jersey",".NJ","224"
"Nurre Caxton",".NC","228"
"Peterboro","P","306"
"Picture Woods","none","239"
"Presto Frame & Moulding",".PR","240"
"Roanoke Moulding Design",".RMD","249"
"Roma Moulding",".RM","308"
"Singleton Mouldings Inc.",".SN","257"
"South Star Moulding and Supply, Inc.",".SS","259"
"Triple Touch Framing Inc.",".TT","311"
"Turner Assoc. Inc.",".TU","269"
"United Mfrs. Supplies",".UMS","270"
"International Moulding of North Hollywood",".VY","273"
"Verbec/Impact Mouldings Inc",".VB","314"
"Wall Moulding & Associates",".WL","277"
"Williamson Company","none","281"
"Zinsel Co. Inc.",".ZN","285"
"USA Wholesale Framing Supplies",".UW","272"
"Shenandoah Framing",".SH","256"
"Garrett",".GA","184"
"Emperia",".EM","156"
"CMI Moulding",".CMI","137"
"Gullo",".GU","299"
"Larson Juhl",".LJ","302"
"Montana Moulding",".MT","216"
"Framecraft",".FC","295"
"Larson Juhl, matboard","A","204"
"Crescent (Folkgraphis)","C","290"
"Folkgraphis Frames Ltd.",".FGS","293"
"Multiframe",".ML","303"
"Sorensen's",".SR","309"
"Forest Gallery USA LLC",".FO","166"
"ABC Moulding",".ABC","100"
"Art-O-Rama",".AO","109"
"Bainbridge","B","117"
"Bella Moulding",".BL","119"
"Bendix Moulding Inc.",".BX","120"
"Blue Ridge Moulding",".BR","122"
"Rechenbach's",".RE","246"
"Stix Moulding",".SX","262"
"International Moulding of MN (Formerly TC Moulding)",".TC","265"
"MPF",".MPF","217"
"Gullo",".GU","190"
"Raphael's Inc (Fabrics)","R","252"
"Ludwig",".LW","207"
"Universal - Arquati",".UN","271"
"Gryphon",".GR","188"
"Raphael's Inc (Liners)",".RA","253"
"Nielsen",".N","225"
"PFI",".PFI","238"
"Tracy Chop Service",".TR","266"
"Design Guild Moulding",".DG","155"
"Metropolitan Picture Framing",".MP","212"
"Framing Suppliers",".FM","177"
"Yale",".YA","284"
"Connecticut",".CT","138"
"Superior Moulding Corp",".SP","264"
"Putnum Distributors",".PD","242"
"Fotiou",".FU","167"
"FPF Moulding",".FPF","169"
"Framers Market CT",".FR","171"
"Delta Picture Frame Co",".DE","149"
"Vicki Schober Faux Fillets","F","276"
"Vicki Schober Embos","CVS","275"
"Franks_L","FE-","174"
"Franks_Fabrics","FE-","173"
"Meridian Moulding",".MM","211"
"Vermont Hardwoods",".VH","274"
"Oxford Picture Frame",".OX","305"
"Chop Right - Marquis",".CP","132"
"Framers' Inventory",".FI","179"
"International Moulding of NY",".QT","243"
"MTS Frames",".MTS","218"
"House of Frames",".HF","300"
"Image Design",".ID","193"
"Larson Juhl, matboard","A","301"
"Pacific Framing Supply OR",".PF","234"
"Burnich Frame and Moulding",".BN","126"
"Milburn Universal",".MB","214"
"Furst Bros",".FB","182"
"Classic Imports of Miami",".CI","136"
"International Moulding of KY (Frame King Moulding)",".FK","170"
"Kellar and Klein",".KK","198"
"La Chey",".LC","200"
"MFA",".MF","213"
"MBL",".MBL","210"
"Nickell",".NI","414"
"Wyman",".WY","283"
"C&J Picture Frames",".CJ","134"
"Chop Southwest",".CS","133"
"Vestate",".VS","315"
"South Mountain Moulding",".SM","254"
"American Moulding",".AM","104"
"NEI Group",".NEI","227"
"West Shore",".WS","280"
"Colorado",".CL","141"
"Cutting Corners",".CC","127"
"Art Express",".AX","107"
"Artisan",".AR","108"
"Wallack's","none","316"
"New York Frame",".NY","229"
"Designer Metal","D","291"
"Fox Moulding",".FX","168"
"Frameworks",".FRW","172"
"Tuscaloosa",".TL","268"
"JR Moulding",".JR","197"
"Genuine Gold & Burl",".GG","186"
"Laville Frames Inc",".LV","202"
"Bob Victor's",".BV","123"
"Cabhail Moulding Inc",".CA","128"
"Gudbrandsen",".GB","267"
"Palmetto Group",".PG","235"
"Ramen Moulding & Supplies",".RN","245"
"Vanilla",".VA","313"
"European Art & Frame",".EU","158"
"Jayeness Moulding Co",".JY","196"
"Omega Moulding Co.",".OM","230"
"A Street Frames",".SF","112"
"Warehouse Framing ",".WF","282"
"Artistic Wholesale",".AW","110"
"Evergreen Moulding",".EG","160"
"Mouldings & More",".PW","307"
"AWS",".AWS","114"
"Cottonwood",".CW","143"
"B&S Picture Frames",".BS","116"
"Schofield",".SCF","255"
"Framers Supply KY",".FSK","181"
"Northeast Framing","NE","226"
"Bainbridge (Bevelled Accents)","BA","121"
"Coastal",".CST","139"
"Rhonda Feinman Custom Frames Inc",".RF","244"
"Pacific Framing Supply CA",".PA","233"
"Specialty Matboard Co",".SMC","261"
"CFS Alberta",".CFS","288"
"Decor Moulding",".DC","147"
"Global Art",".GL","187"
"Peterboro","P","237"
"Huneywood Inc",".HW","191"
"River City Moulding",".RC","248"
"Perkiomen Hardwoods",".PM","236"
"Martin & MacArthur",".MC","178"
"Accent Art",".AA","317"
"Jorh Frame & Moulding",".JO","195"
"Rambrich",".RB","247"
"InLine Ovals",".IO","342"
"Milburn Universal",".MB","318"
"Bainbridge (Bevelled Accents) CDN","BA","287"
"Master's Frame Shop Supply",".MST","163"
"Rustic Creations",".RTC","364"
"Duncan Matthews LLC",".DN","151"
"Admiral Moulding",".ADM","113"
"International Moulding of NC (G&G Moulding)",".GGM","183"
"Falcon East Liners",".FE","328"
"M & S Finishing",".MS","219"
"Regence Picture Frames",".RP","260"
"American Distribution",".AMD","130"
"Armel",".AML","162"
"Omega Moulding Co.",".OM","319"
"Marquis Art & Frame",".MQ","353"
"Unik Moulding Ltd",".UK","321"
"Unik Moulding Ltd",".UK","164"
"CDNV Wood Carvings Frames Inc",".CD","118"
"Platte River Art Services",".PRA","220"
"Larson-Juhl",".LJ","205"
"Cimarron Wholesale Framing & Supplies Ltd",".CN","323"
"Rising Matboard (Folkgraphis)","RS","322"
"Adhisa Inc",".AH","102"
"PB & H Moulding",".PH","326"
"InLine Ovals",".IO","341"
"Framing Fabrics (Liners)",".FF","221"
"Framing Fabrics (fabrics)",".FF","222"
"Proframe Moulding","","241"
"House of Mercier",".HM","312"
"Profile Frame & Moulding",".PO","251"
"Moulding Service Inc",".MDS","325"
"Falcon East Fabrics","FE","327"
"Direct Moulding",".DR","329"
"Rising Matboard","RS","332"
"East Side Moulding",".ES","324"
"APF Munn",".APF","330"
"Carre International",".CIN","331"
"Sun Set Mouldings",".SUN","310"
"NGF Distributors",".NGF","333"
"Lavinia's Framing",".LA","334"
"Chops",".CH","335"
"New West Co.",".NWC","336"
"Florida Framing Supplies",".FL","337"
"Megawood Larson-Juhl (Moulding)",".LJ","338"
"Megawood Larson-Juhl (Matboard)","","339"
"International Guerrini ",".GUI","340"
"San Marcos Frames",".SA","344"
"International Moulding",".IN","345"
"NDC Frame & Moulding",".NDC","346"
"StyleCraft ",".STC","347"
"Raphael's Inc (Inlay Liners)",".RA","348"
"Raphael's Inc (Custom Wrap Mats)","R","374"
"Artisan Frames, LLC",".RT","350"
"Oxford Picture Frame",".OX","351"
"DVG Fine Arts",".DV","352"
"Michelangelo Inc",".MH","354"
"Antons Mouldings, matboard",".AN","356"
"Antons Mouldings",".AN","357"
"Vicki Schober",".CVS","358"
"Valley Matboard","IM","359"
"MyMoulding.com",".MMC","361"
"Christopher Setlock",".CHS","363"
"Hays Framing",".HA","365"
"Crescent, AUS","C","366"
"Marks & Co",".MK","367"
"Marks_Co Matboard","","368"
"Jonah Frameworks",".JF","385"
